split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1,fit_id
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,train,,30,0.8666666666666667,0.8611111111111112,0.8597883597883599,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,test,,28,0.8571428571428571,0.85,0.8515037593984962,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,train,,30,0.8666666666666667,0.8611111111111112,0.8597883597883599,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,test,,84,0.6666666666666666,0.6582491582491583,0.6376226654004432,three_class_with_air|LDA|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,LDA,train,,30,0.8666666666666667,0.8611111111111112,0.8597883597883599,three_class_with_air|LDA|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,LDA,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|LDA|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,LDA,test,,81,0.6666666666666666,0.6632258064516129,0.6398418375106087,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,train,,30,0.8666666666666667,0.8611111111111112,0.8597883597883599,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,46,0.9130434782608695,0.9077380952380952,0.9122102747909199,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,30,0.8666666666666667,0.8611111111111112,0.8597883597883599,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,34,0.7941176470588235,0.7888888888888889,0.7925925925925927,three_class_with_air|LDA|seed=deterministic
