split,description,task,model,test_batch,fit_scope,training_randomness,protocol_version,preprocessing,seed_count,seed_values,tuning_random_state,tuning_seed_values,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,train_accuracy_variance,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_variance,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_variance,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,validation_accuracy,validation_accuracy_variance,validation_accuracy_std,validation_accuracy_min,validation_accuracy_max,validation_balanced_accuracy,validation_balanced_accuracy_variance,validation_balanced_accuracy_std,validation_balanced_accuracy_min,validation_balanced_accuracy_max,validation_macro_f1,validation_macro_f1_variance,validation_macro_f1_std,validation_macro_f1_min,validation_macro_f1_max,test_accuracy,test_accuracy_variance,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_variance,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_variance,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
PB1_train_period_i_internal_val_test_batch1,Train fixed Period I subset; validate fixed Period I holdout; test batch1 only.,three_class_with_air,LDA,batch1,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,28,0.8666666666666667,,,,,0.8611111111111112,,,,,0.8597883597883599,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.8571428571428571,,,,,0.85,,,,,0.8515037593984962,,,,
PB2_train_period_i_internal_val_test_batch2,Train fixed Period I subset; validate fixed Period I holdout; test batch2 only.,three_class_with_air,LDA,batch2,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,84,0.8666666666666667,,,,,0.8611111111111112,,,,,0.8597883597883599,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.6666666666666666,,,,,0.6582491582491583,,,,,0.6376226654004432,,,,
PB3_train_period_i_internal_val_test_batch3,Train fixed Period I subset; validate fixed Period I holdout; test batch3 only.,three_class_with_air,LDA,batch3,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,81,0.8666666666666667,,,,,0.8611111111111112,,,,,0.8597883597883599,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.6666666666666666,,,,,0.6632258064516129,,,,,0.6398418375106087,,,,
PB4_train_period_i_internal_val_test_batch4,Train fixed Period I subset; validate fixed Period I holdout; test batch4 only.,three_class_with_air,LDA,batch4,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,46,0.8666666666666667,,,,,0.8611111111111112,,,,,0.8597883597883599,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.9130434782608695,,,,,0.9077380952380952,,,,,0.9122102747909199,,,,
PB5_train_period_i_internal_val_test_batch5,Train fixed Period I subset; validate fixed Period I holdout; test batch5 only.,three_class_with_air,LDA,batch5,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,34,0.8666666666666667,,,,,0.8611111111111112,,,,,0.8597883597883599,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.7941176470588235,,,,,0.7888888888888889,,,,,0.7925925925925927,,,,
PB1_train_period_i_internal_val_test_batch1,Train fixed Period I subset; validate fixed Period I holdout; test batch1 only.,three_class_with_air,Logistic Regression,batch1,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,28,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.8928571428571429,,,,,0.8833333333333333,,,,,0.8913588318622643,,,,
PB2_train_period_i_internal_val_test_batch2,Train fixed Period I subset; validate fixed Period I holdout; test batch2 only.,three_class_with_air,Logistic Regression,batch2,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,84,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.7976190476190477,,,,,0.8114478114478114,,,,,0.8140798488069927,,,,
PB3_train_period_i_internal_val_test_batch3,Train fixed Period I subset; validate fixed Period I holdout; test batch3 only.,three_class_with_air,Logistic Regression,batch3,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,81,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.7283950617283951,,,,,0.7247311827956989,,,,,0.7176787176787177,,,,
PB4_train_period_i_internal_val_test_batch4,Train fixed Period I subset; validate fixed Period I holdout; test batch4 only.,three_class_with_air,Logistic Regression,batch4,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,46,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.8913043478260869,,,,,0.8869047619047619,,,,,0.8927327327327328,,,,
PB5_train_period_i_internal_val_test_batch5,Train fixed Period I subset; validate fixed Period I holdout; test batch5 only.,three_class_with_air,Logistic Regression,batch5,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,34,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.9117647058823529,,,,,0.9111111111111111,,,,,0.9151160730108098,,,,
PB1_train_period_i_internal_val_test_batch1,Train fixed Period I subset; validate fixed Period I holdout; test batch1 only.,three_class_with_air,kNN,batch1,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,n_neighbors=1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,28,1.0,,,,,1.0,,,,,1.0,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.75,,,,,0.75,,,,,0.7548500881834214,,,,
PB2_train_period_i_internal_val_test_batch2,Train fixed Period I subset; validate fixed Period I holdout; test batch2 only.,three_class_with_air,kNN,batch2,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,n_neighbors=1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,84,1.0,,,,,1.0,,,,,1.0,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.6428571428571429,,,,,0.6548821548821548,,,,,0.6407733091943618,,,,
PB3_train_period_i_internal_val_test_batch3,Train fixed Period I subset; validate fixed Period I holdout; test batch3 only.,three_class_with_air,kNN,batch3,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,n_neighbors=1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,81,1.0,,,,,1.0,,,,,1.0,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.5555555555555556,,,,,0.5483870967741935,,,,,0.5559474135221142,,,,
PB4_train_period_i_internal_val_test_batch4,Train fixed Period I subset; validate fixed Period I holdout; test batch4 only.,three_class_with_air,kNN,batch4,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,n_neighbors=1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,46,1.0,,,,,1.0,,,,,1.0,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.6956521739130435,,,,,0.7053571428571429,,,,,0.6747579150679925,,,,
PB5_train_period_i_internal_val_test_batch5,Train fixed Period I subset; validate fixed Period I holdout; test batch5 only.,three_class_with_air,kNN,batch5,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,n_neighbors=1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,34,1.0,,,,,1.0,,,,,1.0,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.7352941176470589,,,,,0.7388888888888889,,,,,0.7453482190324294,,,,
PB1_train_period_i_internal_val_test_batch1,Train fixed Period I subset; validate fixed Period I holdout; test batch1 only.,three_class_with_air,Random Forest,batch1,fixed_period_i_all_batches,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,28,0.9066666666666666,0.00022222222222222212,0.014907119849998594,0.9,0.9333333333333333,0.9222222222222222,0.00015432098765432237,0.012422599874998887,0.9166666666666666,0.9444444444444445,0.9210863210863212,0.0001648761185520722,0.012840409594404386,0.9153439153439153,0.9440559440559441,0.8,0.0,0.0,0.8,0.8,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8222222222222223,0.0,0.0,0.8222222222222223,0.8222222222222223,0.7285714285714286,0.00038265306122448945,0.01956151991089878,0.7142857142857143,0.75,0.7466666666666667,0.000333333333333331,0.018257418583505474,0.7333333333333334,0.7666666666666666,0.7031610364943697,0.0007973254479834325,0.02823695181820149,0.6825396825396824,0.7340930674264007
PB2_train_period_i_internal_val_test_batch2,Train fixed Period I subset; validate fixed Period I holdout; test batch2 only.,three_class_with_air,Random Forest,batch2,fixed_period_i_all_batches,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,84,0.9066666666666666,0.00022222222222222212,0.014907119849998594,0.9,0.9333333333333333,0.9222222222222222,0.00015432098765432237,0.012422599874998887,0.9166666666666666,0.9444444444444445,0.9210863210863212,0.0001648761185520722,0.012840409594404386,0.9153439153439153,0.9440559440559441,0.8,0.0,0.0,0.8,0.8,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8222222222222223,0.0,0.0,0.8222222222222223,0.8222222222222223,0.9404761904761905,0.0,0.0,0.9404761904761905,0.9404761904761905,0.9494949494949495,0.0,0.0,0.9494949494949495,0.9494949494949495,0.9493903841729928,0.0,0.0,0.9493903841729928,0.9493903841729928
PB3_train_period_i_internal_val_test_batch3,Train fixed Period I subset; validate fixed Period I holdout; test batch3 only.,three_class_with_air,Random Forest,batch3,fixed_period_i_all_batches,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,81,0.9066666666666666,0.00022222222222222212,0.014907119849998594,0.9,0.9333333333333333,0.9222222222222222,0.00015432098765432237,0.012422599874998887,0.9166666666666666,0.9444444444444445,0.9210863210863212,0.0001648761185520722,0.012840409594404386,0.9153439153439153,0.9440559440559441,0.8,0.0,0.0,0.8,0.8,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8222222222222223,0.0,0.0,0.8222222222222223,0.8222222222222223,0.888888888888889,7.620789513793628e-05,0.008729713347982067,0.8765432098765432,0.9012345679012346,0.8800000000000001,8.88888888888893e-05,0.009428090415820656,0.8666666666666667,0.8933333333333334,0.8769628280511187,8.40865106044431e-05,0.009169869715783485,0.8647186147186147,0.8905309250136836
PB4_train_period_i_internal_val_test_batch4,Train fixed Period I subset; validate fixed Period I holdout; test batch4 only.,three_class_with_air,Random Forest,batch4,fixed_period_i_all_batches,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,46,0.9066666666666666,0.00022222222222222212,0.014907119849998594,0.9,0.9333333333333333,0.9222222222222222,0.00015432098765432237,0.012422599874998887,0.9166666666666666,0.9444444444444445,0.9210863210863212,0.0001648761185520722,0.012840409594404386,0.9153439153439153,0.9440559440559441,0.8,0.0,0.0,0.8,0.8,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8222222222222223,0.0,0.0,0.8222222222222223,0.8222222222222223,0.9130434782608695,0.002126654064272214,0.04611565964260095,0.8695652173913043,0.9782608695652174,0.9166666666666666,0.0019531249999999987,0.0441941738241592,0.875,0.9791666666666666,0.9144653436275707,0.002141322608772901,0.04627442715769587,0.8704453441295547,0.9791463017269469
