split,description,task,model,random_state,tuning_random_state,tuning_seed_values,protocol_version,preprocessing,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,LDA,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",shrinkage=0.1,,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.608058608058608,1.0,,0.6168981481481481,1.0,,0.5290960735870915
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,Logistic Regression,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",C=1.0,,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.8205128205128205,1.0,,0.820216049382716,1.0,,0.8267239643133975
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,kNN,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",n_neighbors=3,,fixed_default_no_validation,train_only_no_validation,30,30,0,273,0.7333333333333333,,0.6336996336996337,0.6944444444444445,,0.6431327160493827,0.6984848484848486,,0.632916147261697
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,Random Forest,0.0,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=4;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.9084249084249084,1.0,,0.9131944444444445,1.0,,0.9131920896291675
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,Random Forest,1.0,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=4;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.9120879120879121,1.0,,0.9166666666666666,1.0,,0.9165217391304347
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,Random Forest,2.0,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=4;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.9157509157509157,1.0,,0.9201388888888888,1.0,,0.9200325954094799
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,Random Forest,3.0,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=4;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.9084249084249084,1.0,,0.9131944444444443,1.0,,0.9131732465065797
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,Random Forest,4.0,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=4;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.9047619047619048,1.0,,0.9097222222222222,1.0,,0.9096830221450283
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,RBF SVM,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",C=1.0;gamma=scale,,fixed_default_no_validation,train_only_no_validation,30,30,0,273,0.8666666666666667,,0.7142857142857143,0.8888888888888888,,0.7253086419753086,0.8647619047619047,,0.7224132404855297
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP,0.0,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.7985347985347986,1.0,,0.8019547325102879,1.0,,0.7993324989570295
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP,1.0,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.7948717948717948,1.0,,0.7971965020576132,1.0,,0.7992624789126529
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP,2.0,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.7326007326007326,1.0,,0.737525720164609,1.0,,0.735876068604498
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP,3.0,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.7289377289377289,1.0,,0.7334104938271605,1.0,,0.7253392916252897
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP,4.0,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,0.7326007326007326,1.0,,0.737525720164609,1.0,,0.7430811941681507
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,LDA,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,0.8666666666666667,0.8,0.7435897435897436,0.8611111111111112,0.8333333333333334,0.7415123456790124,0.8597883597883599,0.8222222222222223,0.7386251652787162
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Logistic Regression,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,1.0,1.0,0.8168498168498168,1.0,1.0,0.8167438271604938,1.0,1.0,0.8231666880588714
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,kNN,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",n_neighbors=1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,1.0,0.8,0.6483516483516484,1.0,0.8333333333333334,0.6531635802469137,1.0,0.8222222222222223,0.6554260713817159
