split,description,task,model,training_randomness,protocol_version,preprocessing,seed_count,seed_values,tuning_random_state,tuning_seed_values,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,train_accuracy_variance,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_variance,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_variance,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,validation_accuracy,validation_accuracy_variance,validation_accuracy_std,validation_accuracy_min,validation_accuracy_max,validation_balanced_accuracy,validation_balanced_accuracy_variance,validation_balanced_accuracy_std,validation_balanced_accuracy_min,validation_balanced_accuracy_max,validation_macro_f1,validation_macro_f1_variance,validation_macro_f1_std,validation_macro_f1_min,validation_macro_f1_max,test_accuracy,test_accuracy_variance,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_variance,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_variance,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,LDA,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,shrinkage=0.1,,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.608058608058608,,,,,0.6168981481481481,,,,,0.5290960735870915,,,,
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,Logistic Regression,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=1.0,,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.8205128205128205,,,,,0.820216049382716,,,,,0.8267239643133975,,,,
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,kNN,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,n_neighbors=3,,fixed_default_no_validation,train_only_no_validation,30,30,0,273,0.7333333333333333,,,,,0.6944444444444445,,,,,0.6984848484848486,,,,,,,,,,,,,,,,,,,,0.6336996336996337,,,,,0.6431327160493827,,,,,0.632916147261697,,,,
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,Random Forest,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,,max_features=sqrt;max_depth=4;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,0.9098901098901099,1.7442874585731605e-05,0.004176466758604887,0.9047619047619048,0.9157509157509157,0.9145833333333332,1.5673225308641865e-05,0.0039589424482608816,0.9097222222222222,0.9201388888888888,0.914520538564138,1.534227798479165e-05,0.00391692200391987,0.9096830221450283,0.9200325954094799
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,RBF SVM,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=1.0;gamma=scale,,fixed_default_no_validation,train_only_no_validation,30,30,0,273,0.8666666666666667,,,,,0.8888888888888888,,,,,0.8647619047619047,,,,,,,,,,,,,,,,,,,,0.7142857142857143,,,,,0.7253086419753086,,,,,0.7224132404855297,,,,
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,,"hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,fixed_default_no_validation,train_only_no_validation,30,30,0,273,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,0.7575091575091576,0.0012840639214265607,0.03583383765976735,0.7289377289377289,0.7985347985347986,0.761522633744856,0.0012123439061203379,0.0348187292433302,0.7334104938271605,0.8019547325102879,0.7605783064535241,0.001289122573646932,0.03590435312948741,0.7253392916252897,0.7993324989570295
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,LDA,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,0.8666666666666667,,,,,0.8611111111111112,,,,,0.8597883597883599,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.7435897435897436,,,,,0.7415123456790124,,,,,0.7386251652787162,,,,
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Logistic Regression,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.8168498168498168,,,,,0.8167438271604938,,,,,0.8231666880588714,,,,
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,kNN,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,n_neighbors=1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,1.0,,,,,1.0,,,,,1.0,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.6483516483516484,,,,,0.6531635802469137,,,,,0.6554260713817159,,,,
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,0.9066666666666666,0.00022222222222222212,0.014907119849998594,0.9,0.9333333333333333,0.9222222222222222,0.00015432098765432237,0.012422599874998887,0.9166666666666666,0.9444444444444445,0.9210863210863212,0.0001648761185520722,0.012840409594404386,0.9153439153439153,0.9440559440559441,0.8,0.0,0.0,0.8,0.8,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8222222222222223,0.0,0.0,0.8222222222222223,0.8222222222222223,0.8989010989010989,0.0001382012371023362,0.011755902224088809,0.8864468864468864,0.9157509157509157,0.9041666666666666,0.0001241801697530862,0.011143615649917499,0.892361111111111,0.9201388888888888,0.9041383594625284,0.00012384839838444476,0.011128719530316359,0.892334825668159,0.9200846928526832
