split,task,partition,n,class_counts,period_days,batches
S1_train_I_test_all,three_class_with_air,train,30,air:6; alcohol:12; acetone:12,Period_I Day1-Day3,Period_I
S1_train_I_test_all,three_class_with_air,validation,0,,,
S1_train_I_test_all,three_class_with_air,test,273,air:81; alcohol:96; acetone:96,Period_II Day1-Day17; Period_III Day18-Day21; Period_IV Day22-Day24,batch1; batch2; batch3; batch4; batch5
S2_train_I_internal_val_test_all,three_class_with_air,train,25,air:5; alcohol:10; acetone:10,Period_I Day1-Day3,Period_I
S2_train_I_internal_val_test_all,three_class_with_air,validation,5,air:1; alcohol:2; acetone:2,Period_I Day1-Day3,Period_I
S2_train_I_internal_val_test_all,three_class_with_air,test,273,air:81; alcohol:96; acetone:96,Period_II Day1-Day17; Period_III Day18-Day21; Period_IV Day22-Day24,batch1; batch2; batch3; batch4; batch5
S3_train_I_internal_20_10_test_all,three_class_with_air,train,20,air:4; alcohol:8; acetone:8,Period_I Day1-Day3,Period_I
S3_train_I_internal_20_10_test_all,three_class_with_air,validation,10,air:2; alcohol:4; acetone:4,Period_I Day1-Day3,Period_I
S3_train_I_internal_20_10_test_all,three_class_with_air,test,273,air:81; alcohol:96; acetone:96,Period_II Day1-Day17; Period_III Day18-Day21; Period_IV Day22-Day24,batch1; batch2; batch3; batch4; batch5
S4_train_I_val_D1_2,three_class_with_air,train,30,air:6; alcohol:12; acetone:12,Period_I Day1-Day3,Period_I
S4_train_I_val_D1_2,three_class_with_air,validation,28,air:8; alcohol:10; acetone:10,Period_II Day1-Day2,batch1
S4_train_I_val_D1_2,three_class_with_air,test,245,air:73; alcohol:86; acetone:86,Period_II Day3-Day17; Period_III Day18-Day21; Period_IV Day22-Day24,batch2; batch3; batch4; batch5
S5_train_I_D1_val_D2_3,three_class_with_air,train,46,air:12; alcohol:17; acetone:17,Period_I Day1-Day3; Period_II Day1-Day1,Period_I; batch1
S5_train_I_D1_val_D2_3,three_class_with_air,validation,26,air:6; alcohol:10; acetone:10,Period_II Day2-Day3,batch1; batch2
S5_train_I_D1_val_D2_3,three_class_with_air,test,231,air:69; alcohol:81; acetone:81,Period_II Day4-Day17; Period_III Day18-Day21; Period_IV Day22-Day24,batch2; batch3; batch4; batch5
S6_train_I_D1_2_val_D3_5,three_class_with_air,train,58,air:14; alcohol:22; acetone:22,Period_I Day1-Day3; Period_II Day1-Day2,Period_I; batch1
S6_train_I_D1_2_val_D3_5,three_class_with_air,validation,40,air:10; alcohol:15; acetone:15,Period_II Day3-Day5,batch2
S6_train_I_D1_2_val_D3_5,three_class_with_air,test,205,air:63; alcohol:71; acetone:71,Period_II Day6-Day17; Period_III Day18-Day21; Period_IV Day22-Day24,batch2; batch3; batch4; batch5
S7_train_I_D1_3_val_D4_5,three_class_with_air,train,72,air:18; alcohol:27; acetone:27,Period_I Day1-Day3; Period_II Day1-Day3,Period_I; batch1; batch2
S7_train_I_D1_3_val_D4_5,three_class_with_air,validation,26,air:6; alcohol:10; acetone:10,Period_II Day4-Day5,batch2
S7_train_I_D1_3_val_D4_5,three_class_with_air,test,205,air:63; alcohol:71; acetone:71,Period_II Day6-Day17; Period_III Day18-Day21; Period_IV Day22-Day24,batch2; batch3; batch4; batch5
