feature_set,split,interpretation,family,method,method_family,representation,head,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
48D,S1_train_I_test_all,descriptive test ranking only; not used for model selection,domain-adaptation,mk-mmd+lc+cdan,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7875457875457876,0.684981684981685,0.8827838827838828,0.07511390715901052,0.7770061728395061,0.6698816872427984,0.8753858024691358,0.07799902309849871,0.7804215999752694,0.6699419916811221,0.8794642857142857,0.0799693613547728
48D,S2_train_I_internal_val_test_all,descriptive test ranking only; not used for model selection,domain-adaptation,cdan+c-dann,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.9866666666666667,0.9333333333333332,1.0,0.02981423969999724,0.7677655677655677,0.6666666666666666,0.8608058608058609,0.07455809784667494,0.7609567901234567,0.665380658436214,0.8519804526748972,0.07067059288930572,0.7659027781182325,0.670514375197909,0.8575334384898499,0.07003758993979482
48D,S3_train_I_internal_20_10_test_all,descriptive test ranking only; not used for model selection,domain-adaptation,mk-mmd+c-dann,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.9800000000000001,0.9333333333333333,1.0,0.029814239699997188,0.8051282051282052,0.7545787545787546,0.8717948717948718,0.05851641186143843,0.7977880658436214,0.7371399176954733,0.8681841563786007,0.06047586849554763,0.8005612464850141,0.735821987995901,0.8706658427923696,0.06249654576287054
48D,S4_train_I_val_D1_2,descriptive test ranking only; not used for model selection,domain-adaptation,mk-mmd+lc+cdan,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.993103448275862,0.9827586206896552,1.0,0.009443492370778685,0.9167346938775511,0.8979591836734694,0.9306122448979592,0.014020868601892,0.9160985451842413,0.9010300520335562,0.9306573218647128,0.012803627786285509,0.9173295910043786,0.8986663719422342,0.9305774659709648,0.013900897738844073
48D,S5_train_I_D1_val_D2_3,descriptive test ranking only; not used for model selection,classical-ml,logistic-regression,classical-ml,raw,logistic-regression,-1,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.01964185503295964,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.01389333899210491,0.9525854356772232,0.9525854356772232,0.9525854356772232,0.012959625479530433,0.9540819702669412,0.9540819702669412,0.9540819702669412,0.013023963379786703
48D,S6_train_I_D1_2_val_D3_5,descriptive test ranking only; not used for model selection,classical-ml,logistic-regression,classical-ml,raw,logistic-regression,-1,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.010204081632653017,0.9609756097560976,0.9609756097560976,0.9609756097560976,0.017452237873169,0.9618451449437364,0.9618451449437364,0.9618451449437364,0.017909415355386673,0.96176508883444,0.96176508883444,0.96176508883444,0.01736854479650994
48D,S7_train_I_D1_3_val_D4_5,descriptive test ranking only; not used for model selection,classical-ml,logistic-regression,classical-ml,raw,logistic-regression,-1,0.979591836734694,0.979591836734694,0.979591836734694,0.010204081632653017,0.9804878048780488,0.9804878048780488,0.9804878048780488,0.013623648823189172,0.9812206572769954,0.9812206572769954,0.9812206572769954,0.013840535246937171,0.9812057441598836,0.9812057441598836,0.9812057441598836,0.013440431128498173
54D,S1_train_I_test_all,descriptive test ranking only; not used for model selection,domain-adaptation,mk-mmd+lc,project-extension,bottleneck16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.9098901098901099,0.8901098901098901,0.945054945054945,0.02465394676991038,0.9069958847736626,0.8849022633744856,0.942772633744856,0.0256208537950128,0.9100601033893847,0.8896021173550633,0.9447728295096716,0.024137077721542315
54D,S2_train_I_internal_val_test_all,descriptive test ranking only; not used for model selection,domain-adaptation,mk-mmd+lc+cdan,project-extension,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9128205128205129,0.8974358974358975,0.9304029304029304,0.012794321755731116,0.9105452674897119,0.8950617283950617,0.9288837448559673,0.013385795214272297,0.9131644239161938,0.8984662810749766,0.930346194827274,0.012398769332182326
54D,S3_train_I_internal_20_10_test_all,descriptive test ranking only; not used for model selection,domain-adaptation,mk-mmd+cdan,project-extension,bottleneck16,linear,"0,1,2,3,4",0.9866666666666667,0.9666666666666668,1.0,0.018257418583505474,0.9025641025641026,0.8827838827838828,0.9230769230769232,0.015454229384416877,0.9003086419753087,0.8792438271604938,0.9212962962962964,0.016372102041775388,0.9025621771495672,0.8819839032804895,0.921885603273082,0.01600724160797474
