feature_set,split,mode,classifier_strategy,method,accuracy,accuracy_std,balanced_accuracy,macro_f1,seed_count,best_within_feature_split,best_overall_split
48D,S1_train_I_test_all,uda,End-to-end LR,c-dann,0.756043956043956,0.07781620011550261,0.7450874485596708,0.746563767996204,5,False,False
48D,S1_train_I_test_all,uda,End-to-end LR,cdan,0.7435897435897436,0.045604027831460565,0.7310956790123456,0.7316690871642005,5,False,False
48D,S1_train_I_test_all,uda,End-to-end LR,cdan+c-dann,0.7765567765567766,0.09363972916603822,0.7691615226337449,0.7704886954924465,5,True,False
48D,S1_train_I_test_all,uda,End-to-end LR,dann,0.6813186813186813,0.10431524443881422,0.6723251028806584,0.6727643277099842,5,False,False
48D,S1_train_I_test_all,uda,End-to-end LR,deep-coral,0.7472527472527473,0.04740724947086001,0.7409979423868313,0.74402701566722,5,False,False
48D,S1_train_I_test_all,uda,End-to-end LR,mk-mmd,0.7714285714285715,0.028795961915067485,0.7610853909465021,0.76424975817744,5,False,False
48D,S1_train_I_test_all,uda,End-to-end LR,source-only,0.6505494505494506,0.0568415083993284,0.6475308641975308,0.651842576526643,5,False,False
48D,S1_train_I_test_all,uda,MLP Head,c-dann,0.7384615384615385,0.0668736472152141,0.7294495884773663,0.7320011733035894,5,False,False
48D,S1_train_I_test_all,uda,MLP Head,cdan,0.7106227106227105,0.09363972916603819,0.7006172839506173,0.7043098496078158,5,False,False
48D,S1_train_I_test_all,uda,MLP Head,cdan+c-dann,0.6974358974358974,0.09783031794506569,0.6852880658436213,0.6892773439457947,5,False,False
48D,S1_train_I_test_all,uda,MLP Head,dann,0.76996336996337,0.013558062654448184,0.7627829218106996,0.7642233655422022,5,False,False
48D,S1_train_I_test_all,uda,MLP Head,deep-coral,0.701098901098901,0.05498167277980597,0.6966049382716049,0.7008760151310434,5,False,False
48D,S1_train_I_test_all,uda,MLP Head,mk-mmd,0.7304029304029304,0.05368518962801829,0.7193672839506172,0.7196751331985738,5,False,False
48D,S1_train_I_test_all,uda,MLP Head,source-only,0.6586080586080586,0.06805699142853383,0.6556841563786009,0.6564080166348315,5,False,False
48D,S1_train_I_test_all,uda,Post-hoc LR,c-dann,0.7216117216117216,0.06506344200854061,0.7154063786008231,0.7197843050779158,5,False,False
48D,S1_train_I_test_all,uda,Post-hoc LR,cdan,0.7135531135531135,0.09354654458451822,0.7068672839506173,0.7139194509111388,5,False,False
48D,S1_train_I_test_all,uda,Post-hoc LR,cdan+c-dann,0.6879120879120879,0.10116125910392007,0.6815329218106996,0.6901945331639425,5,False,False
48D,S1_train_I_test_all,uda,Post-hoc LR,dann,0.7619047619047619,0.02497835475638437,0.7548868312757202,0.7591867290398608,5,False,False
48D,S1_train_I_test_all,uda,Post-hoc LR,deep-coral,0.6915750915750916,0.058630947911258155,0.6877057613168724,0.6931369962005881,5,False,False
48D,S1_train_I_test_all,uda,Post-hoc LR,mk-mmd,0.7443223443223443,0.05078249619230288,0.736548353909465,0.7405725468852047,5,False,False
48D,S1_train_I_test_all,uda,Post-hoc LR,source-only,0.6761904761904762,0.06576086326743248,0.6729938271604938,0.6763145219519726,5,False,False
48D,S2_train_I_internal_val_test_all,uda,End-to-end LR,c-dann,0.6490842490842491,0.11162849659531404,0.6461419753086419,0.641516809306417,5,False,False
48D,S2_train_I_internal_val_test_all,uda,End-to-end LR,cdan,0.6344322344322344,0.08910214057852361,0.627366255144033,0.6215327544694533,5,False,False
48D,S2_train_I_internal_val_test_all,uda,End-to-end LR,cdan+c-dann,0.7223443223443223,0.06580165785154676,0.7215020576131688,0.7138928725949307,5,False,False
48D,S2_train_I_internal_val_test_all,uda,End-to-end LR,dann,0.7377289377289378,0.053560078319221195,0.7299125514403292,0.7342379454021316,5,False,False
48D,S2_train_I_internal_val_test_all,uda,End-to-end LR,deep-coral,0.6534798534798535,0.09986640568423394,0.6458076131687243,0.639691727921554,5,False,False
48D,S2_train_I_internal_val_test_all,uda,End-to-end LR,mk-mmd,0.6476190476190476,0.08269793587019181,0.6443672839506173,0.6425909589292711,5,False,False
48D,S2_train_I_internal_val_test_all,uda,End-to-end LR,source-only,0.6278388278388278,0.05261226112606522,0.6290895061728394,0.6279917481560873,5,False,False
48D,S2_train_I_internal_val_test_all,uda,MLP Head,c-dann,0.7084249084249084,0.05654567257998595,0.7040637860082304,0.7060185627564362,5,False,False
48D,S2_train_I_internal_val_test_all,uda,MLP Head,cdan,0.7098901098901098,0.10802445601739695,0.7032664609053498,0.7064233510890683,5,False,False
48D,S2_train_I_internal_val_test_all,uda,MLP Head,cdan+c-dann,0.7677655677655678,0.07455809784667494,0.7609567901234568,0.7659027781182324,5,True,False
48D,S2_train_I_internal_val_test_all,uda,MLP Head,dann,0.6989010989010989,0.051634061359241507,0.6898919753086419,0.6900768127607702,5,False,False
48D,S2_train_I_internal_val_test_all,uda,MLP Head,deep-coral,0.6871794871794872,0.040508912237213895,0.6822530864197531,0.681674360914519,5,False,False
48D,S2_train_I_internal_val_test_all,uda,MLP Head,mk-mmd,0.6857142857142857,0.05931351977402567,0.68369341563786,0.678493616020999,5,False,False
48D,S2_train_I_internal_val_test_all,uda,MLP Head,source-only,0.6432234432234433,0.058813741645205274,0.6426440329218107,0.6324594535520214,5,False,False
48D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,c-dann,0.7135531135531136,0.04436621810590407,0.7062242798353909,0.710517639285319,5,False,False
48D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,cdan,0.7069597069597069,0.1068253961276021,0.7029320987654322,0.7107641543710277,5,False,False
48D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,cdan+c-dann,0.7626373626373626,0.08298138455469078,0.7564814814814815,0.7625284617007152,5,False,False
48D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,dann,0.6945054945054945,0.05570897518961137,0.6898405349794239,0.6961288194744691,5,False,False
48D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,deep-coral,0.6967032967032967,0.048067764695455685,0.6921810699588478,0.6951193578878042,5,False,False
48D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,mk-mmd,0.6945054945054945,0.049321497594029075,0.6868827160493828,0.6910523589407089,5,False,False
48D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,source-only,0.6783882783882784,0.02365404291716181,0.6752057613168725,0.6762660006422919,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,c-dann,0.7098901098901099,0.053484871057711283,0.7000514403292181,0.6973961594443999,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,cdan,0.6923076923076923,0.06275399889747915,0.6849279835390947,0.6885551754992776,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,cdan+c-dann,0.761904761904762,0.06286081429205317,0.7554012345679013,0.7575914718338315,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,dann,0.6505494505494506,0.08148022103091151,0.6420010288065844,0.6425939636361176,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,deep-coral,0.6783882783882784,0.07579851275996996,0.6728909465020576,0.6723005196446463,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,mk-mmd,0.7421245421245422,0.055648729713796134,0.7353652263374485,0.7410158251098337,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,source-only,0.5912087912087912,0.05171196041488879,0.5941100823045268,0.5940458888505287,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,MLP Head,c-dann,0.7443223443223443,0.0656996238967686,0.7362911522633745,0.738640950186355,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,MLP Head,cdan,0.7047619047619047,0.08143904236500214,0.7025205761316873,0.7076109064034826,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,MLP Head,cdan+c-dann,0.7714285714285715,0.06176263025439556,0.7666152263374486,0.7682207035271796,5,True,False
