feature_set,split,mode,method,representation,classifier_strategy,seed,input_dimensions,latent_dimensions,neural_checkpoint,probe_checkpoint,label_usage,final_training,lr_parameters,confusion_matrix,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
48D,S1_train_I_test_all,uda,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,0,48,16,D:\thesis\tables\opensource_da_48_54\checkpoints\48D\S1_train_I_test_all\bottleneck16\mlp\c-dann\seed_0.pt,D:\thesis\tables\opensource_da_48_54\posthoc_lr_bottleneck16\checkpoints\48D\S1_train_I_test_all\c-dann\seed_0.joblib,source labels only,selected checkpoint; no refit,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"[[62, 18, 1], [15, 78, 3], [2, 9, 85]]",1.0,1.0,1.0,0.8241758241758241,0.8211162551440329,0.8233461073013312
48D,S1_train_I_test_all,uda,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,1,48,16,D:\thesis\tables\opensource_da_48_54\checkpoints\48D\S1_train_I_test_all\bottleneck16\mlp\c-dann\seed_1.pt,D:\thesis\tables\opensource_da_48_54\posthoc_lr_bottleneck16\checkpoints\48D\S1_train_I_test_all\c-dann\seed_1.joblib,source labels only,selected checkpoint; no refit,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"[[41, 39, 1], [18, 72, 6], [1, 8, 87]]",1.0,1.0,1.0,0.7326007326007326,0.7208076131687243,0.7223723997442063
48D,S1_train_I_test_all,uda,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,2,48,16,D:\thesis\tables\opensource_da_48_54\checkpoints\48D\S1_train_I_test_all\bottleneck16\mlp\c-dann\seed_2.pt,D:\thesis\tables\opensource_da_48_54\posthoc_lr_bottleneck16\checkpoints\48D\S1_train_I_test_all\c-dann\seed_2.joblib,source labels only,selected checkpoint; no refit,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"[[43, 37, 1], [9, 86, 1], [3, 37, 56]]",1.0,1.0,1.0,0.6776556776556777,0.6700102880658436,0.6771668894830659
48D,S1_train_I_test_all,uda,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,3,48,16,D:\thesis\tables\opensource_da_48_54\checkpoints\48D\S1_train_I_test_all\bottleneck16\mlp\c-dann\seed_3.pt,D:\thesis\tables\opensource_da_48_54\posthoc_lr_bottleneck16\checkpoints\48D\S1_train_I_test_all\c-dann\seed_3.joblib,source labels only,selected checkpoint; no refit,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"[[48, 31, 2], [12, 83, 1], [9, 39, 48]]",1.0,1.0,1.0,0.6556776556776557,0.652391975308642,0.6532426303854875
48D,S1_train_I_test_all,uda,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,4,48,16,D:\thesis\tables\opensource_da_48_54\checkpoints\48D\S1_train_I_test_all\bottleneck16\mlp\c-dann\seed_4.pt,D:\thesis\tables\opensource_da_48_54\posthoc_lr_bottleneck16\checkpoints\48D\S1_train_I_test_all\c-dann\seed_4.joblib,source labels only,selected checkpoint; no refit,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"[[50, 31, 0], [1, 90, 5], [1, 39, 56]]",1.0,1.0,1.0,0.717948717948718,0.7127057613168725,0.7227934984754881
48D,S1_train_I_test_all,uda,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,0,48,16,D:\thesis\tables\opensource_da_48_54\checkpoints\48D\S1_train_I_test_all\bottleneck16\mlp\cdan\seed_0.pt,D:\thesis\tables\opensource_da_48_54\posthoc_lr_bottleneck16\checkpoints\48D\S1_train_I_test_all\cdan\seed_0.joblib,source labels only,selected checkpoint; no refit,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"[[60, 20, 1], [7, 88, 1], [1, 14, 81]]",1.0,1.0,1.0,0.8388278388278388,0.8337191358024691,0.8392455033396523
48D,S1_train_I_test_all,uda,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,1,48,16,D:\thesis\tables\opensource_da_48_54\checkpoints\48D\S1_train_I_test_all\bottleneck16\mlp\cdan\seed_1.pt,D:\thesis\tables\opensource_da_48_54\posthoc_lr_bottleneck16\checkpoints\48D\S1_train_I_test_all\cdan\seed_1.joblib,source labels only,selected checkpoint; no refit,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"[[48, 33, 0], [30, 61, 5], [4, 4, 88]]",1.0,1.0,1.0,0.7216117216117216,0.7148919753086419,0.7163466552710328
48D,S1_train_I_test_all,uda,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,2,48,16,D:\thesis\tables\opensource_da_48_54\checkpoints\48D\S1_train_I_test_all\bottleneck16\mlp\cdan\seed_2.pt,D:\thesis\tables\opensource_da_48_54\posthoc_lr_bottleneck16\checkpoints\48D\S1_train_I_test_all\cdan\seed_2.joblib,source labels only,selected checkpoint; no refit,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"[[47, 31, 3], [6, 83, 7], [5, 27, 64]]",1.0,1.0,1.0,0.7106227106227107,0.7038323045267489,0.7098740367348713
48D,S1_train_I_test_all,uda,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,3,48,16,D:\thesis\tables\opensource_da_48_54\checkpoints\48D\S1_train_I_test_all\bottleneck16\mlp\cdan\seed_3.pt,D:\thesis\tables\opensource_da_48_54\posthoc_lr_bottleneck16\checkpoints\48D\S1_train_I_test_all\cdan\seed_3.joblib,source labels only,selected checkpoint; no refit,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"[[38, 43, 0], [40, 55, 1], [15, 17, 64]]",1.0,1.0,1.0,0.575091575091575,0.5695730452674898,0.5843798931046776
48D,S1_train_I_test_all,uda,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,4,48,16,D:\thesis\tables\opensource_da_48_54\checkpoints\48D\S1_train_I_test_all\bottleneck16\mlp\cdan\seed_4.pt,D:\thesis\tables\opensource_da_48_54\posthoc_lr_bottleneck16\checkpoints\48D\S1_train_I_test_all\cdan\seed_4.joblib,source labels only,selected checkpoint; no refit,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"[[44, 37, 0], [5, 86, 5], [4, 25, 67]]",1.0,1.0,1.0,0.7216117216117216,0.7123199588477366,0.7197511661054602
