feature_set,split,method,representation,classifier_strategy,seed_count,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
48D,S1_train_I_test_all,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7216117216117216,0.6556776556776557,0.8241758241758241,0.06506344200854068,0.7154063786008231,0.652391975308642,0.8211162551440329,0.06565566374175615,0.7197843050779158,0.6532426303854875,0.8233461073013312,0.06516294756517041
48D,S1_train_I_test_all,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7135531135531135,0.575091575091575,0.8388278388278388,0.09354654458451825,0.7068672839506174,0.5695730452674898,0.8337191358024691,0.09360079958105633,0.7139194509111388,0.5843798931046776,0.8392455033396523,0.09019892190732925
48D,S1_train_I_test_all,cdan+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.6879120879120879,0.5677655677655677,0.7948717948717948,0.10116125910392007,0.6815329218106996,0.5632716049382717,0.7888374485596708,0.1009276677900345,0.6901945331639425,0.5755949555270993,0.7973856209150326,0.0995882590173139
48D,S1_train_I_test_all,dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7619047619047619,0.7435897435897436,0.8058608058608059,0.02497835475638436,0.7548868312757203,0.7305812757201647,0.798611111111111,0.02565852309932447,0.7591867290398608,0.7328042328042329,0.8017933557191538,0.025545454157143616
48D,S1_train_I_test_all,deep-coral,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.6915750915750916,0.5970695970695971,0.7582417582417582,0.05863094791125817,0.6877057613168724,0.5955504115226337,0.7457561728395062,0.05551100370302631,0.6931369962005881,0.6015260846655393,0.7512169258368862,0.055349356492396015
48D,S1_train_I_test_all,mk-mmd,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7443223443223442,0.6556776556776557,0.7802197802197802,0.05078249619230291,0.736548353909465,0.6504629629629629,0.7762345679012346,0.04996026944934209,0.7405725468852047,0.6570849580396477,0.7805726864621546,0.04864258598973439
48D,S1_train_I_test_all,source-only,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.6761904761904762,0.5824175824175825,0.7582417582417582,0.06576086326743247,0.6729938271604938,0.5810185185185185,0.7560442386831275,0.06610316233791187,0.6763145219519726,0.5808341222781405,0.7648561082523347,0.0681605638251155
48D,S2_train_I_internal_val_test_all,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7135531135531136,0.6410256410256411,0.7545787545787546,0.04436621810590404,0.7062242798353909,0.6320730452674898,0.738940329218107,0.04406080779116183,0.7105176392853191,0.6371482835944436,0.7462840748684668,0.043363514211580245
48D,S2_train_I_internal_val_test_all,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.706959706959707,0.5201465201465202,0.7765567765567766,0.10682539612760207,0.7029320987654322,0.5162037037037037,0.7746913580246914,0.10694876971174136,0.7107641543710277,0.5326527752757261,0.7774788348400058,0.1018895637899537
48D,S2_train_I_internal_val_test_all,cdan+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.7626373626373626,0.6410256410256411,0.8571428571428571,0.08298138455469077,0.7564814814814815,0.6404320987654321,0.8465792181069959,0.07979360338656366,0.7625284617007152,0.646687119545143,0.8514970565718961,0.07987695773618066
