family,feature_set,split,mode,method,method_family,representation,head,seed,model,input_dimensions,selected_epoch,selection_usage,label_usage,final_training,checkpoint,confusion_matrix,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,linear,0,source-only:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\source-only\seed_0.pt,"[[68, 13, 0], [1, 95, 0], [33, 30, 33]]",1.0,1.0,1.0,0.717948717948718,0.7242798353909464,0.68892103928322
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,linear,1,source-only:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\source-only\seed_1.pt,"[[68, 13, 0], [0, 96, 0], [18, 31, 47]]",1.0,1.0,1.0,0.7728937728937729,0.7763631687242798,0.7617577456205286
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,linear,2,source-only:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\source-only\seed_2.pt,"[[69, 12, 0], [0, 96, 0], [6, 53, 37]]",1.0,1.0,1.0,0.73992673992674,0.7457561728395062,0.7293626913737502
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,linear,3,source-only:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\source-only\seed_3.pt,"[[68, 13, 0], [1, 95, 0], [1, 50, 45]]",1.0,1.0,1.0,0.7619047619047619,0.7659465020576132,0.7623305400196824
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,linear,4,source-only:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\source-only\seed_4.pt,"[[67, 14, 0], [2, 93, 1], [1, 46, 49]]",1.0,1.0,1.0,0.7655677655677655,0.768775720164609,0.7685460156875347
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,linear,0,dann:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\dann\seed_0.pt,"[[67, 14, 0], [4, 92, 0], [3, 12, 81]]",1.0,1.0,1.0,0.8791208791208791,0.8764146090534979,0.879861150144181
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,linear,1,dann:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\dann\seed_1.pt,"[[66, 12, 3], [1, 94, 1], [2, 11, 83]]",1.0,1.0,1.0,0.8901098901098901,0.8861882716049383,0.8899109777059442
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,linear,2,dann:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\dann\seed_2.pt,"[[66, 15, 0], [2, 91, 3], [2, 14, 80]]",1.0,1.0,1.0,0.8681318681318682,0.8653549382716049,0.8702065088754694
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,linear,3,dann:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\dann\seed_3.pt,"[[67, 14, 0], [1, 95, 0], [3, 12, 81]]",1.0,1.0,1.0,0.8901098901098901,0.8868312757201645,0.890803073840972
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,linear,4,dann:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\dann\seed_4.pt,"[[67, 14, 0], [0, 95, 1], [1, 10, 85]]",1.0,1.0,1.0,0.9047619047619048,0.9007201646090536,0.9057052411196316
domain-adaptation,54D,S2_train_I_internal_val_test_all,uda,source-only,opensource-core,bottleneck16,linear,0,source-only:bottleneck16:linear,54,30.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S2_train_I_internal_val_test_all\bottleneck16\linear\source-only\seed_0.pt,"[[70, 11, 0], [1, 95, 0], [4, 27, 65]]",1.0,1.0,1.0,0.8424908424908425,0.8436213991769548,0.8448612122430236
domain-adaptation,54D,S2_train_I_internal_val_test_all,uda,source-only,opensource-core,bottleneck16,linear,1,source-only:bottleneck16:linear,54,30.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S2_train_I_internal_val_test_all\bottleneck16\linear\source-only\seed_1.pt,"[[69, 12, 0], [4, 92, 0], [21, 18, 57]]",1.0,1.0,1.0,0.7985347985347986,0.8013117283950617,0.7925687216782737
domain-adaptation,54D,S2_train_I_internal_val_test_all,uda,source-only,opensource-core,bottleneck16,linear,2,source-only:bottleneck16:linear,54,100.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S2_train_I_internal_val_test_all\bottleneck16\linear\source-only\seed_2.pt,"[[67, 14, 0], [1, 95, 0], [9, 31, 56]]",1.0,1.0,1.0,0.7985347985347986,0.800025720164609,0.7966760389495514
