family,feature_set,split,method,method_family,representation,head,seed_count,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
domain-adaptation,54D,S1_train_I_test_all,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.7516483516483516,0.022490961806606216,0.717948717948718,0.7728937728937729,0.756224279835391,0.021140387294800785,0.7242798353909464,0.7763631687242798,0.7421836063969431,0.033486188951281935,0.68892103928322,0.7685460156875347
domain-adaptation,54D,S1_train_I_test_all,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.8864468864468865,0.01370570471345765,0.8681318681318682,0.9047619047619048,0.8831018518518517,0.013167305073184577,0.8653549382716049,0.9007201646090536,0.8872973903372398,0.013279359204590268,0.8702065088754694,0.9057052411196316
domain-adaptation,54D,S2_train_I_internal_val_test_all,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.8021978021978022,0.026159078492830938,0.7692307692307693,0.8424908424908425,0.803883744855967,0.025707783799986034,0.7716049382716049,0.8436213991769548,0.8010005245764417,0.02794668249798607,0.7677456411843044,0.8448612122430236
domain-adaptation,54D,S2_train_I_internal_val_test_all,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9866666666666667,0.02981423969999724,0.9333333333333332,1.0,0.8578754578754578,0.035833837659767345,0.8168498168498168,0.8974358974358975,0.8551183127572017,0.03771629967290371,0.8103137860082303,0.8963477366255144,0.8584426956635204,0.03807433688974317,0.8136520234537855,0.8996249761820246
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.789010989010989,0.04716606183976519,0.7106227106227107,0.8351648351648352,0.792283950617284,0.04560448834637422,0.7173353909465021,0.8386059670781892,0.7825692826446321,0.056207286485532276,0.6863074249824783,0.8328389392900603
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9933333333333334,0.014907119849998545,0.9666666666666668,1.0,0.8527472527472526,0.0532963886047379,0.7802197802197802,0.9047619047619048,0.8502572016460904,0.051239851753954964,0.7852366255144032,0.9000771604938271,0.8514855297016565,0.05631044873797278,0.7723620295048866,0.9050205134712178
domain-adaptation,54D,S4_train_I_val_D1_2,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9896551724137932,0.023131737698273633,0.9482758620689656,1.0,0.9044897959183673,0.008942409102125176,0.889795918367347,0.9142857142857144,0.9055750238929596,0.007649949289420916,0.8932781140490601,0.9144632048423066,0.9070942267382247,0.010704580566322286,0.8889736252640116,0.9175977219045104
domain-adaptation,54D,S4_train_I_val_D1_2,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.9281632653061225,0.018615108981210347,0.9061224489795918,0.946938775510204,0.9272273547839017,0.018468202769180837,0.9046405436975684,0.9468514388871192,0.9294647210087505,0.018027507431594945,0.9085088583638932,0.9480068401721868
domain-adaptation,54D,S5_train_I_D1_val_D2_3,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9972222222222221,0.006211299937499394,0.9861111111111112,1.0,0.922077922077922,0.010152415064552806,0.9134199134199136,0.935064935064935,0.9227768831633565,0.010131365141097706,0.914117015566291,0.9354088387904812,0.924842123547783,0.01004354008602813,0.9155502164424836,0.937513181060152
domain-adaptation,54D,S5_train_I_D1_val_D2_3,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9916666666666668,0.01863389981249823,0.9583333333333334,1.0,0.9290043290043289,0.009966116392399381,0.9134199134199136,0.9393939393939394,0.9275004473072105,0.010243549984034461,0.9112542494185004,0.93952406512793,0.9302996349393924,0.009326137521525845,0.9158315887100732,0.941584806227112
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.9648780487804878,0.008015452061051165,0.951219512195122,0.9707317073170731,0.9648856099560325,0.008428048061699321,0.9506669647514716,0.9712348163052388,0.9658180897923059,0.007885369689650206,0.9524353313370214,0.9716543696981652
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9938775510204081,0.013690212107141584,0.9693877551020408,1.0,0.953170731707317,0.01224380526635222,0.9414634146341464,0.9658536585365852,0.9531410686340264,0.01227151733790851,0.9412772933899696,0.9665399806244878,0.9537636353457957,0.011798650390574211,0.9417791806404944,0.9662466876892188
domain-adaptation,54D,S7_train_I_D1_3_val_D4_5,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.9717073170731707,0.004081268422117486,0.9658536585365852,0.975609756097561,0.972173783441389,0.003927981345230379,0.9665399806244878,0.97592965198599,0.9725886986654168,0.00391768017241872,0.9669674957231216,0.9763336291038156
domain-adaptation,54D,S7_train_I_D1_3_val_D4_5,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.9619512195121951,0.011123662683894022,0.951219512195122,0.9804878048780488,0.9613533050152767,0.011651741925972289,0.9500707951412176,0.9806244876667412,0.9624857787977484,0.011142003273218069,0.951560225330717,0.9809818754925138
