family,feature_set,split,mode,method,method_family,representation,head,seed,model,input_dimensions,selected_epoch,selection_usage,label_usage,final_training,checkpoint,confusion_matrix,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
classical-ml,54D,S1_train_I_test_all,ml,logistic-regression,classical-ml,raw,logistic-regression,-1,logistic-regression,54,,fixed default; no validation,train labels; validation labels for selection/refit,train only; fixed default,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\classical-ml\logistic-regression\seed_-1.joblib,"[[66, 15, 0], [1, 94, 1], [0, 32, 64]]",1.0,1.0,1.0,0.8205128205128205,0.820216049382716,0.8267239643133975
classical-ml,54D,S1_train_I_test_all,ml,mlp,classical-ml,raw,mlp,0,mlp,54,,fixed default; no validation,train labels; validation labels for selection/refit,train only; fixed default,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\classical-ml\mlp\seed_0.joblib,"[[70, 11, 0], [6, 73, 17], [13, 8, 75]]",1.0,1.0,1.0,0.7985347985347986,0.8019547325102879,0.7993324989570295
classical-ml,54D,S1_train_I_test_all,ml,mlp,classical-ml,raw,mlp,1,mlp,54,,fixed default; no validation,train labels; validation labels for selection/refit,train only; fixed default,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\classical-ml\mlp\seed_1.joblib,"[[68, 13, 0], [2, 90, 4], [3, 34, 59]]",1.0,1.0,1.0,0.7948717948717948,0.7971965020576132,0.7992624789126529
classical-ml,54D,S1_train_I_test_all,ml,mlp,classical-ml,raw,mlp,2,mlp,54,,fixed default; no validation,train labels; validation labels for selection/refit,train only; fixed default,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\classical-ml\mlp\seed_2.joblib,"[[67, 14, 0], [5, 68, 23], [13, 18, 65]]",1.0,1.0,1.0,0.7326007326007326,0.737525720164609,0.735876068604498
classical-ml,54D,S1_train_I_test_all,ml,mlp,classical-ml,raw,mlp,3,mlp,54,,fixed default; no validation,train labels; validation labels for selection/refit,train only; fixed default,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\classical-ml\mlp\seed_3.joblib,"[[66, 14, 1], [5, 81, 10], [19, 25, 52]]",1.0,1.0,1.0,0.7289377289377289,0.7334104938271605,0.7253392916252897
classical-ml,54D,S1_train_I_test_all,ml,mlp,classical-ml,raw,mlp,4,mlp,54,,fixed default; no validation,train labels; validation labels for selection/refit,train only; fixed default,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\classical-ml\mlp\seed_4.joblib,"[[67, 13, 1], [4, 69, 23], [2, 30, 64]]",1.0,1.0,1.0,0.7326007326007326,0.737525720164609,0.7430811941681507
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,linear,0,source-only:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\source-only\seed_0.pt,"[[68, 13, 0], [1, 95, 0], [33, 30, 33]]",1.0,1.0,1.0,0.717948717948718,0.7242798353909464,0.68892103928322
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,linear,1,source-only:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\source-only\seed_1.pt,"[[68, 13, 0], [0, 96, 0], [18, 31, 47]]",1.0,1.0,1.0,0.7728937728937729,0.7763631687242798,0.7617577456205286
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,linear,2,source-only:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\source-only\seed_2.pt,"[[69, 12, 0], [0, 96, 0], [6, 53, 37]]",1.0,1.0,1.0,0.73992673992674,0.7457561728395062,0.7293626913737502
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,linear,3,source-only:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\source-only\seed_3.pt,"[[68, 13, 0], [1, 95, 0], [1, 50, 45]]",1.0,1.0,1.0,0.7619047619047619,0.7659465020576132,0.7623305400196824
