family,feature_set,split,method,method_family,representation,head,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
classical-ml,54D,S1_train_I_test_all,logistic-regression,classical-ml,raw,logistic-regression,-1,1.0,1.0,1.0,,0.8205128205128205,0.8205128205128205,0.8205128205128205,,0.820216049382716,0.820216049382716,0.820216049382716,,0.8267239643133975,0.8267239643133975,0.8267239643133975,
classical-ml,54D,S1_train_I_test_all,mlp,classical-ml,raw,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7575091575091576,0.7289377289377289,0.7985347985347986,0.03583383765976735,0.761522633744856,0.7334104938271605,0.8019547325102879,0.0348187292433302,0.7605783064535241,0.7253392916252897,0.7993324989570295,0.03590435312948741
domain-adaptation,54D,S1_train_I_test_all,source-only,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7516483516483516,0.717948717948718,0.7728937728937729,0.022490961806606216,0.756224279835391,0.7242798353909464,0.7763631687242798,0.021140387294800785,0.7421836063969431,0.68892103928322,0.7685460156875347,0.033486188951281935
domain-adaptation,54D,S1_train_I_test_all,dann,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8864468864468865,0.8681318681318682,0.9047619047619048,0.01370570471345765,0.8831018518518517,0.8653549382716049,0.9007201646090536,0.013167305073184577,0.8872973903372398,0.8702065088754694,0.9057052411196316,0.013279359204590268
domain-adaptation,54D,S1_train_I_test_all,deep-coral,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9076923076923077,0.8864468864468864,0.9304029304029304,0.01801959542307523,0.904269547325103,0.8833590534979424,0.926954732510288,0.017905234419628234,0.9084712966957355,0.8877849652963915,0.9298508863269692,0.017288895557481403
domain-adaptation,54D,S1_train_I_test_all,mk-mmd,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8981684981684982,0.8717948717948718,0.9267399267399268,0.020129863244006,0.8944701646090536,0.8656121399176954,0.9221965020576132,0.020509029279572988,0.8977296896996168,0.8712571006383004,0.9251996296069894,0.019634181609616774
domain-adaptation,54D,S1_train_I_test_all,cdan,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8893772893772894,0.8534798534798534,0.9413919413919414,0.03361192599840136,0.8867798353909466,0.851466049382716,0.9405864197530864,0.03579617250014137,0.8906566079819396,0.8587057153707894,0.9419517279485632,0.03337443562859452
domain-adaptation,54D,S1_train_I_test_all,source-only,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7208791208791208,0.6593406593406593,0.7765567765567766,0.055757124701788584,0.7265432098765432,0.6648662551440329,0.7830504115226337,0.054233164256658264,0.7035998247682426,0.6227186796699175,0.7769194603645538,0.07285855658726331
domain-adaptation,54D,S1_train_I_test_all,dann,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8454212454212454,0.8131868131868132,0.8791208791208791,0.028655834748143514,0.8424125514403291,0.8113425925925926,0.8744855967078188,0.028488435018067516,0.8470574056487804,0.8156345326913889,0.8763957873038399,0.027113383505008623
domain-adaptation,54D,S1_train_I_test_all,deep-coral,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8637362637362637,0.8205128205128205,0.9047619047619048,0.037391355766080145,0.8629886831275719,0.816358024691358,0.9039351851851852,0.03886390491659175,0.8664130074747021,0.8225787013603437,0.9066758395760076,0.0370503786506512
domain-adaptation,54D,S1_train_I_test_all,mk-mmd,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8725274725274726,0.8131868131868132,0.912087912087912,0.03639116251141327,0.8678497942386831,0.8016975308641975,0.911522633744856,0.04040098781206708,0.8722818354469665,0.80731574483282,0.9135012081214612,0.03936564360389571
