mode,split_id,group,classifier,case,removed_sensor,n_original_point_columns,accuracy,balanced_accuracy,macro_f1,delta_balanced_accuracy_vs_all,delta_macro_f1_vs_all
original_points_stratified_random_holdout,0,,original_points_centroid,all,,4320,0.7833333333333333,0.8030303030303031,0.7837440389907776,0.0,0.0
original_points_stratified_random_holdout,0,,original_points_centroid,without_s1,s1,3600,0.7166666666666667,0.7367424242424242,0.7162335937084862,0.0662878787878789,0.06751044528229144
original_points_stratified_random_holdout,0,,original_points_centroid,without_s2,s2,3600,0.7333333333333333,0.7575757575757575,0.7320384294068504,0.045454545454545636,0.051705609583927226
original_points_stratified_random_holdout,0,,original_points_centroid,without_s3,s3,3600,0.7333333333333333,0.7575757575757575,0.7316866140395554,0.045454545454545636,0.05205742495122223
original_points_stratified_random_holdout,0,,original_points_centroid,without_s4,s4,3600,0.8,0.8181818181818182,0.8022680433941144,-0.015151515151515138,-0.01852400440333679
original_points_stratified_random_holdout,0,,original_points_centroid,without_s5,s5,3600,0.7333333333333333,0.7518939393939393,0.7357198378185332,0.05113636363636376,0.048024201172244374
original_points_stratified_random_holdout,0,,original_points_centroid,without_s6,s6,3600,0.75,0.7727272727272728,0.7469220246238031,0.030303030303030276,0.03682201436697452
original_points_stratified_random_holdout,0,,original_points_gnb,all,,4320,0.6666666666666666,0.6458333333333334,0.6513890580386744,0.0,0.0
original_points_stratified_random_holdout,0,,original_points_gnb,without_s1,s1,3600,0.6666666666666666,0.6458333333333334,0.6513890580386744,0.0,0.0
original_points_stratified_random_holdout,0,,original_points_gnb,without_s2,s2,3600,0.65,0.6306818181818182,0.6361104511496528,0.015151515151515138,0.015278606889021606
original_points_stratified_random_holdout,0,,original_points_gnb,without_s3,s3,3600,0.65,0.6306818181818182,0.6340854194115063,0.015151515151515138,0.017303638627168105
original_points_stratified_random_holdout,0,,original_points_gnb,without_s4,s4,3600,0.7,0.6761363636363636,0.6840764499353238,-0.030303030303030276,-0.032687391896649376
original_points_stratified_random_holdout,0,,original_points_gnb,without_s5,s5,3600,0.6666666666666666,0.6401515151515151,0.6431938431938432,0.005681818181818232,0.008195214844831211
original_points_stratified_random_holdout,0,,original_points_gnb,without_s6,s6,3600,0.85,0.8522727272727272,0.8563202878992353,-0.2064393939393938,-0.2049312298605609
original_points_stratified_random_holdout,1,,original_points_centroid,all,,4320,0.85,0.8636363636363636,0.8492822966507177,0.0,0.0
original_points_stratified_random_holdout,1,,original_points_centroid,without_s1,s1,3600,0.8333333333333334,0.8484848484848485,0.8324535061377167,0.015151515151515138,0.016828790513001013
original_points_stratified_random_holdout,1,,original_points_centroid,without_s2,s2,3600,0.8,0.8181818181818182,0.7996206733048838,0.045454545454545414,0.049661623345833905
original_points_stratified_random_holdout,1,,original_points_centroid,without_s3,s3,3600,0.7666666666666667,0.7878787878787877,0.7672229353872485,0.07575757575757591,0.08205936126346924
original_points_stratified_random_holdout,1,,original_points_centroid,without_s4,s4,3600,0.85,0.8636363636363636,0.8492822966507177,0.0,0.0
original_points_stratified_random_holdout,1,,original_points_centroid,without_s5,s5,3600,0.8333333333333334,0.8484848484848485,0.8324535061377167,0.015151515151515138,0.016828790513001013
original_points_stratified_random_holdout,1,,original_points_centroid,without_s6,s6,3600,0.85,0.8636363636363636,0.8492822966507177,0.0,0.0
original_points_stratified_random_holdout,1,,original_points_gnb,all,,4320,0.8666666666666667,0.8617424242424243,0.8658309967562813,0.0,0.0
original_points_stratified_random_holdout,1,,original_points_gnb,without_s1,s1,3600,0.8666666666666667,0.8617424242424243,0.8658309967562813,0.0,0.0
original_points_stratified_random_holdout,1,,original_points_gnb,without_s2,s2,3600,0.85,0.8465909090909092,0.8518518518518517,0.015151515151515138,0.01397914490442953
original_points_stratified_random_holdout,1,,original_points_gnb,without_s3,s3,3600,0.8333333333333334,0.8314393939393939,0.8361427236241684,0.030303030303030387,0.029688273132112863
original_points_stratified_random_holdout,1,,original_points_gnb,without_s4,s4,3600,0.8833333333333333,0.8768939393939394,0.8811155028546332,-0.015151515151515138,-0.015284506098351969
original_points_stratified_random_holdout,1,,original_points_gnb,without_s5,s5,3600,0.85,0.8465909090909092,0.8503968253968255,0.015151515151515138,0.015434171359455795
original_points_stratified_random_holdout,1,,original_points_gnb,without_s6,s6,3600,0.95,0.9545454545454546,0.9543331603528801,-0.09280303030303028,-0.08850216359659879
original_points_stratified_random_holdout,2,,original_points_centroid,all,,4320,0.8833333333333333,0.893939393939394,0.8822890559732666,0.0,0.0
original_points_stratified_random_holdout,2,,original_points_centroid,without_s1,s1,3600,0.85,0.8636363636363636,0.8506913890634821,0.030303030303030387,0.031597666909784494
original_points_stratified_random_holdout,2,,original_points_centroid,without_s2,s2,3600,0.7666666666666667,0.787878787878788,0.7671803240958687,0.10606060606060608,0.1151087318773979
original_points_stratified_random_holdout,2,,original_points_centroid,without_s3,s3,3600,0.7833333333333333,0.8030303030303031,0.7836668751302897,0.09090909090909094,0.09862218084297691
original_points_stratified_random_holdout,2,,original_points_centroid,without_s4,s4,3600,0.8833333333333333,0.893939393939394,0.8822890559732666,0.0,0.0
original_points_stratified_random_holdout,2,,original_points_centroid,without_s5,s5,3600,0.8666666666666667,0.8787878787878789,0.8664160401002506,0.015151515151515138,0.015873015873015928
original_points_stratified_random_holdout,2,,original_points_centroid,without_s6,s6,3600,0.8666666666666667,0.8787878787878789,0.8660676080445016,0.015151515151515138,0.01622144792876501
original_points_stratified_random_holdout,2,,original_points_gnb,all,,4320,0.7,0.7045454545454545,0.715138554753631,0.0,0.0
original_points_stratified_random_holdout,2,,original_points_gnb,without_s1,s1,3600,0.7,0.7045454545454545,0.715138554753631,0.0,0.0
original_points_stratified_random_holdout,2,,original_points_gnb,without_s2,s2,3600,0.7,0.7045454545454545,0.7168376787216149,0.0,-0.0016991239679838843
original_points_stratified_random_holdout,2,,original_points_gnb,without_s3,s3,3600,0.7,0.7045454545454545,0.715138554753631,0.0,0.0
original_points_stratified_random_holdout,2,,original_points_gnb,without_s4,s4,3600,0.7166666666666667,0.7196969696969697,0.7293768081945422,-0.015151515151515249,-0.01423825344091123
original_points_stratified_random_holdout,2,,original_points_gnb,without_s5,s5,3600,0.7,0.7045454545454545,0.715138554753631,0.0,0.0
original_points_stratified_random_holdout,2,,original_points_gnb,without_s6,s6,3600,0.8666666666666667,0.8731060606060606,0.8749615975422427,-0.16856060606060608,-0.1598230427886117
original_points_stratified_random_holdout,3,,original_points_centroid,all,,4320,0.8,0.8181818181818182,0.8013366750208856,0.0,0.0
original_points_stratified_random_holdout,3,,original_points_centroid,without_s1,s1,3600,0.7833333333333333,0.7916666666666666,0.7848058584900689,0.026515151515151603,0.016530816530816672
original_points_stratified_random_holdout,3,,original_points_centroid,without_s2,s2,3600,0.7833333333333333,0.8030303030303031,0.7849989524408129,0.015151515151515138,0.01633772258007271
original_points_stratified_random_holdout,3,,original_points_centroid,without_s3,s3,3600,0.7166666666666667,0.7424242424242423,0.7165728580362726,0.07575757575757591,0.084763816984613
original_points_stratified_random_holdout,3,,original_points_centroid,without_s4,s4,3600,0.85,0.8636363636363636,0.8505430242272348,-0.045454545454545414,-0.049206349206349254
original_points_stratified_random_holdout,3,,original_points_centroid,without_s5,s5,3600,0.8333333333333334,0.8484848484848486,0.8356567093409198,-0.030303030303030387,-0.034320034320034276
original_points_stratified_random_holdout,3,,original_points_centroid,without_s6,s6,3600,0.7833333333333333,0.8030303030303031,0.7840733791953305,0.015151515151515138,0.01726329582555508
