mode,classifier,removed_sensor,mean_delta_balanced_accuracy,mean_delta_macro_f1,positive_delta_rate,mean_balanced_accuracy_without,single_sensor_mean_balanced_accuracy,single_sensor_mean_macro_f1
original_points_leave_collection_date_out,original_points_centroid,s1,0.018627450980392136,0.018328185975244802,0.23529411764705882,0.7679738562091503,0.6176470588235294,0.5540663232704754
original_points_leave_collection_date_out,original_points_centroid,s2,0.008496732026143771,0.005734243969538069,0.35294117647058826,0.7781045751633987,0.6785947712418301,0.6291321967792556
original_points_leave_collection_date_out,original_points_centroid,s3,0.042810457516339856,0.046974792476522594,0.47058823529411764,0.7437908496732026,0.5991830065359478,0.5678328783865116
original_points_leave_collection_date_out,original_points_centroid,s4,-0.040849673202614366,-0.05497411085646381,0.0,0.8274509803921568,0.60359477124183,0.5450799936959106
original_points_leave_collection_date_out,original_points_centroid,s5,0.013725490196078423,0.01219236357644662,0.17647058823529413,0.7728758169934641,0.5738562091503268,0.5051039374568786
original_points_leave_collection_date_out,original_points_centroid,s6,0.007843137254901959,0.008967067790597201,0.058823529411764705,0.7787581699346405,0.37598039215686274,0.2941191257800254
original_points_leave_collection_date_out,original_points_gnb,s1,0.02254901960784313,0.0237953767365532,0.17647058823529413,0.713562091503268,0.677124183006536,0.6403831334627182
original_points_leave_collection_date_out,original_points_gnb,s2,0.01437908496732028,0.013865110923934458,0.4117647058823529,0.7217320261437908,0.746078431372549,0.7190811367281955
original_points_leave_collection_date_out,original_points_gnb,s3,0.005228758169934635,0.005664488017429196,0.17647058823529413,0.7308823529411765,0.5140522875816993,0.4711985182573417
original_points_leave_collection_date_out,original_points_gnb,s4,-0.03366013071895426,-0.0356078561960915,0.0,0.7697712418300654,0.6892156862745098,0.6534108592932123
original_points_leave_collection_date_out,original_points_gnb,s5,0.009150326797385607,0.007932263814616744,0.11764705882352941,0.7269607843137256,0.6660130718954249,0.6338887691828868
original_points_leave_collection_date_out,original_points_gnb,s6,-0.09199346405228759,-0.09843283078577196,0.0,0.8281045751633986,0.3333333333333333,0.23829600625266262
original_points_new_bottle_holdout,original_points_centroid,s1,0.04166666666666663,0.035397452788757056,1.0,0.8916666666666666,0.8666666666666667,0.8653198653198654
original_points_new_bottle_holdout,original_points_centroid,s2,-0.03333333333333344,-0.03392319181792869,0.0,0.9666666666666667,0.7666666666666666,0.7517027863777089
original_points_new_bottle_holdout,original_points_centroid,s3,0.033333333333333215,0.03496172294126254,1.0,0.9,0.7583333333333333,0.7563131313131312
original_points_new_bottle_holdout,original_points_centroid,s4,0.0,0.0,0.0,0.9333333333333332,0.7583333333333334,0.7561612364243944
original_points_new_bottle_holdout,original_points_centroid,s5,0.0,0.0,0.0,0.9333333333333332,0.7333333333333334,0.7306397306397306
original_points_new_bottle_holdout,original_points_centroid,s6,0.0,0.0,0.0,0.9333333333333332,0.45,0.41111111111111115
original_points_new_bottle_holdout,original_points_gnb,s1,0.04166666666666674,0.03407992973210372,1.0,0.8249999999999998,0.7999999999999999,0.7802197802197802
original_points_new_bottle_holdout,original_points_gnb,s2,0.0,0.0,0.0,0.8666666666666666,0.8333333333333334,0.8245950554134697
original_points_new_bottle_holdout,original_points_gnb,s3,0.033333333333333215,0.03582284912208189,1.0,0.8333333333333334,0.5750000000000001,0.5402298850574713
original_points_new_bottle_holdout,original_points_gnb,s4,0.0,0.0,0.0,0.8666666666666666,0.8333333333333334,0.8222222222222223
original_points_new_bottle_holdout,original_points_gnb,s5,0.0,0.0,0.0,0.8666666666666666,0.6666666666666666,0.6336996336996338
original_points_new_bottle_holdout,original_points_gnb,s6,-0.03333333333333344,-0.032378344398804715,0.0,0.9,0.3333333333333333,0.22222222222222224
original_points_stratified_random_holdout,original_points_centroid,s1,0.01492424242424245,0.012807044641603735,0.59,0.8022348484848485,0.6222727272727273,0.5811372497340188
original_points_stratified_random_holdout,original_points_centroid,s2,0.02842803030303033,0.03257591961775349,0.75,0.7887310606060606,0.7006060606060607,0.6943947308638895
original_points_stratified_random_holdout,original_points_centroid,s3,0.048295454545454586,0.05403330734210104,0.95,0.7688636363636363,0.6309090909090909,0.6151194549879969
original_points_stratified_random_holdout,original_points_centroid,s4,-0.027481060606060623,-0.029346883820761737,0.02,0.8446401515151516,0.6533522727272727,0.636374004758784
original_points_stratified_random_holdout,original_points_centroid,s5,0.009526515151515147,0.00842243835977537,0.59,0.8076325757575757,0.6042424242424242,0.5564816140794011
original_points_stratified_random_holdout,original_points_centroid,s6,0.0009280303030302995,0.0009295104730045234,0.21,0.8162310606060607,0.3984469696969697,0.3481234578382948
original_points_stratified_random_holdout,original_points_gnb,s1,0.01102272727272727,0.011649170570933103,0.56,0.6937878787878787,0.6651136363636364,0.6586033921578206
original_points_stratified_random_holdout,original_points_gnb,s2,0.04428030303030304,0.04460207221953832,0.84,0.660530303030303,0.8108712121212122,0.8164390328328721
original_points_stratified_random_holdout,original_points_gnb,s3,0.005624999999999998,0.005734657554371053,0.43,0.6991856060606061,0.5150757575757576,0.5137334437547133
original_points_stratified_random_holdout,original_points_gnb,s4,-0.01649621212121212,-0.015762801490163337,0.13,0.7213068181818181,0.7031060606060606,0.7045124315739553
original_points_stratified_random_holdout,original_points_gnb,s5,0.006363636363636357,0.00656661682254068,0.49,0.6984469696969697,0.6737310606060606,0.6651923780700726
original_points_stratified_random_holdout,original_points_gnb,s6,-0.1669886363636364,-0.16253088904089608,0.01,0.8717992424242424,0.3065340909090909,0.2559735742936168
