model,split,mode,seed,epoch,classification_loss,alignment_loss,total_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
linear48-dann,S1_train_I_test_all,uda,0,1,1.1603915691375732,0.5883225798606873,1.7487142086029053,,,
linear48-dann,S1_train_I_test_all,uda,0,10,0.46592965722084045,0.24047726392745972,0.7064069509506226,,,
linear48-dann,S1_train_I_test_all,uda,0,20,0.29391348361968994,0.24903474748134613,0.5429482460021973,,,
linear48-dann,S1_train_I_test_all,uda,0,30,0.18941514194011688,0.37267953157424927,0.5620946884155273,,,
linear48-dann,S1_train_I_test_all,uda,0,40,0.11165783554315567,0.5266797542572021,0.6383376121520996,,,
linear48-dann,S1_train_I_test_all,uda,0,50,0.06072767823934555,0.8145037889480591,0.8752314448356628,,,
linear48-dann,S1_train_I_test_all,uda,0,60,0.03395045921206474,0.3608960807323456,0.39484652876853943,,,
linear48-dann,S1_train_I_test_all,uda,0,70,0.02070809341967106,0.35367560386657715,0.37438368797302246,,,
linear48-dann,S1_train_I_test_all,uda,0,80,0.014051873236894608,0.26370540261268616,0.27775728702545166,,,
linear48-dann,S1_train_I_test_all,uda,0,90,0.010151414200663567,0.25345489382743835,0.26360630989074707,,,
linear48-dann,S1_train_I_test_all,uda,0,100,0.007891923189163208,0.2844536602497101,0.2923455834388733,,,
linear48-dann,S1_train_I_test_all,uda,0,110,0.0064943768084049225,0.3629506230354309,0.36944499611854553,,,
linear48-dann,S1_train_I_test_all,uda,0,120,0.005524173378944397,0.28485795855522156,0.29038214683532715,,,
linear48-dann,S1_train_I_test_all,uda,0,130,0.004911414813250303,0.21944566071033478,0.22435706853866577,,,
linear48-dann,S1_train_I_test_all,uda,0,140,0.00436038663610816,0.20414668321609497,0.20850707590579987,,,
linear48-dann,S1_train_I_test_all,uda,0,150,0.0037693690974265337,0.20365013182163239,0.2074194997549057,,,
linear48-dann,S1_train_I_test_all,uda,0,160,0.003598086768761277,0.23957842588424683,0.24317651987075806,,,
linear48-dann,S1_train_I_test_all,uda,0,170,0.0036213009152561426,0.39866217970848083,0.4022834897041321,,,
linear48-dann,S1_train_I_test_all,uda,0,180,0.003196141216903925,0.3543792963027954,0.3575754463672638,,,
linear48-dann,S1_train_I_test_all,uda,0,190,0.0026728245429694653,0.28298312425613403,0.2856559455394745,,,
linear48-dann,S1_train_I_test_all,uda,0,200,0.002383975777775049,0.2253943234682083,0.22777830064296722,,,
linear48-dann,S1_train_I_test_all,uda,0,210,0.002160442527383566,0.19003081321716309,0.1921912580728531,,,
linear48-dann,S1_train_I_test_all,uda,0,220,0.001970643410459161,0.1749345064163208,0.17690515518188477,,,
linear48-dann,S1_train_I_test_all,uda,0,230,0.0018637727480381727,0.20450124144554138,0.20636501908302307,,,
linear48-dann,S1_train_I_test_all,uda,0,240,0.0022661236580461264,0.6010289192199707,0.6032950282096863,,,
linear48-dann,S1_train_I_test_all,uda,0,250,0.00240451842546463,0.321851521730423,0.324256032705307,,,
linear48-dann,S1_train_I_test_all,uda,0,260,0.0025564180687069893,0.19079039990901947,0.1933468133211136,,,
linear48-dann,S1_train_I_test_all,uda,0,270,0.0020282594487071037,0.14983145892620087,0.15185971558094025,,,
linear48-dann,S1_train_I_test_all,uda,0,280,0.0018502408638596535,0.16125993430614471,0.1631101816892624,,,
linear48-dann,S1_train_I_test_all,uda,0,290,0.0019184156553819776,0.22444263100624084,0.22636105120182037,,,
linear48-dann,S1_train_I_test_all,uda,0,300,0.001866200822405517,0.27929162979125977,0.28115782141685486,,,
linear48-dann,S1_train_I_test_all,uda,0,310,0.001708716619759798,0.17963363230228424,0.18134234845638275,,,
