model,model_label,family,split,mode,seed,best_params,best_epoch,final_training,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
linear48-dann,linear48-dann,DA 48D,S1_train_I_test_all,uda,0,alignment_strength=0.2;LR_C=1.0,400,source-only; no refit,1.0,1.0,1.0,0.8058608058608059,0.8031121399176954,0.8124812492901358
linear48-dann,linear48-dann,DA 48D,S1_train_I_test_all,uda,1,alignment_strength=0.2;LR_C=1.0,400,source-only; no refit,1.0,1.0,1.0,0.6190476190476191,0.6240997942386831,0.6072284761309151
linear48-dann,linear48-dann,DA 48D,S1_train_I_test_all,uda,2,alignment_strength=0.2;LR_C=1.0,400,source-only; no refit,1.0,1.0,1.0,0.6227106227106227,0.6243569958847737,0.6123655606259145
linear48-dann,linear48-dann,DA 48D,S1_train_I_test_all,uda,3,alignment_strength=0.2;LR_C=1.0,400,source-only; no refit,1.0,1.0,1.0,0.7252747252747253,0.7254372427983539,0.7322475529286674
linear48-dann,linear48-dann,DA 48D,S1_train_I_test_all,uda,4,alignment_strength=0.2;LR_C=1.0,400,source-only; no refit,1.0,1.0,1.0,0.6923076923076923,0.6896862139917695,0.6982254125894757
linear48-dann,linear48-dann,DA 48D,S4_train_I_val_D1_2,semi,0,alignment_strength=0.2;LR_C=1.0,270,Source+Target refit,1.0,1.0,1.0,0.8448979591836735,0.8465010088138473,0.8488941165791744
linear48-dann,linear48-dann,DA 48D,S4_train_I_val_D1_2,semi,1,alignment_strength=0.2;LR_C=1.0,30,Source+Target refit,0.9655172413793104,0.9696969696969697,0.9619047619047619,0.8244897959183674,0.8215992354252947,0.8294273008776067
linear48-dann,linear48-dann,DA 48D,S4_train_I_val_D1_2,semi,2,alignment_strength=0.2;LR_C=1.0,200,Source+Target refit,1.0,1.0,1.0,0.8530612244897959,0.8514919825846873,0.8577133159343401
linear48-dann,linear48-dann,DA 48D,S4_train_I_val_D1_2,semi,3,alignment_strength=0.2;LR_C=1.0,310,Source+Target refit,1.0,1.0,1.0,0.8571428571428571,0.8560581926303494,0.8607654358277329
linear48-dann,linear48-dann,DA 48D,S4_train_I_val_D1_2,semi,4,alignment_strength=0.2;LR_C=1.0,200,Source+Target refit,1.0,1.0,1.0,0.8448979591836735,0.8423595624933631,0.8470238771491329
linear48-dann,linear48-dann,DA 48D,S7_train_I_D1_3_val_D4_5,semi,0,alignment_strength=0.2;LR_C=1.0,30,Source+Target refit,0.9795918367346939,0.981981981981982,0.9774074074074074,0.9317073170731708,0.9300991131977048,0.9331936763309313
linear48-dann,linear48-dann,DA 48D,S7_train_I_D1_3_val_D4_5,semi,1,alignment_strength=0.2;LR_C=1.0,30,Source+Target refit,0.9795918367346939,0.981981981981982,0.9774074074074074,0.9414634146341463,0.9400849541694613,0.9426534250063662
linear48-dann,linear48-dann,DA 48D,S7_train_I_D1_3_val_D4_5,semi,2,alignment_strength=0.2;LR_C=1.0,70,Source+Target refit,0.9897959183673469,0.990990990990991,0.9886310688659025,0.9317073170731708,0.9300991131977048,0.9331936763309313
linear48-dann,linear48-dann,DA 48D,S7_train_I_D1_3_val_D4_5,semi,3,alignment_strength=0.2;LR_C=1.0,30,Source+Target refit,0.9795918367346939,0.981981981981982,0.9774074074074074,0.9121951219512195,0.9095312616439378,0.9138638703036541
linear48-dann,linear48-dann,DA 48D,S7_train_I_D1_3_val_D4_5,semi,4,alignment_strength=0.2;LR_C=1.0,30,Source+Target refit,0.9795918367346939,0.981981981981982,0.9774074074074074,0.9365853658536586,0.93539011848871,0.9380923934687376
