model,model_label,family,split,seed,best_params,final_training,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
logistic-regression,Logistic Regression,ML raw 48D,S1_train_I_test_all,,C=1.0,train only; fixed default,0.9333333333333333,0.9166666666666666,0.9166666666666666,0.706959706959707,0.7067901234567903,0.7149530651174386
logistic-regression,Logistic Regression,ML raw 48D,S4_train_I_val_D1_2,,C=10.0,train+validation refit,1.0,1.0,1.0,0.8775510204081632,0.8775087607518318,0.8820899597297114
logistic-regression,Logistic Regression,ML raw 48D,S7_train_I_D1_3_val_D4_5,,C=1.0,train+validation refit,0.9795918367346939,0.981981981981982,0.9774074074074074,0.9804878048780488,0.9812206572769954,0.9812057441598835
random-forest,Random Forest,ML raw 48D,S1_train_I_test_all,0.0,max_features=sqrt;max_depth=4;min_samples_leaf=2,train only; fixed default,1.0,1.0,1.0,0.9230769230769231,0.9257973251028807,0.926705486195015
random-forest,Random Forest,ML raw 48D,S1_train_I_test_all,1.0,max_features=sqrt;max_depth=4;min_samples_leaf=2,train only; fixed default,1.0,1.0,1.0,0.9157509157509157,0.9188528806584362,0.9197962813800511
random-forest,Random Forest,ML raw 48D,S1_train_I_test_all,2.0,max_features=sqrt;max_depth=4;min_samples_leaf=2,train only; fixed default,1.0,1.0,1.0,0.9194139194139194,0.9223251028806585,0.9231562074647183
random-forest,Random Forest,ML raw 48D,S1_train_I_test_all,3.0,max_features=sqrt;max_depth=4;min_samples_leaf=2,train only; fixed default,1.0,1.0,1.0,0.9230769230769231,0.9257973251028807,0.926705486195015
random-forest,Random Forest,ML raw 48D,S1_train_I_test_all,4.0,max_features=sqrt;max_depth=4;min_samples_leaf=2,train only; fixed default,1.0,1.0,1.0,0.9267399267399268,0.9286265432098765,0.9297739870233007
random-forest,Random Forest,ML raw 48D,S4_train_I_val_D1_2,0.0,max_features=sqrt;max_depth=2;min_samples_leaf=1,train+validation refit,0.9482758620689655,0.9545454545454546,0.9543331603528801,0.8612244897959184,0.8675268132101518,0.8635482775480319
random-forest,Random Forest,ML raw 48D,S4_train_I_val_D1_2,1.0,max_features=sqrt;max_depth=2;min_samples_leaf=1,train+validation refit,0.9655172413793104,0.9696969696969697,0.9696342305037957,0.8489795918367347,0.8552086651799936,0.8512010552444668
random-forest,Random Forest,ML raw 48D,S4_train_I_val_D1_2,2.0,max_features=sqrt;max_depth=2;min_samples_leaf=1,train+validation refit,0.9482758620689655,0.9545454545454546,0.9543331603528801,0.8612244897959184,0.8675268132101518,0.8635482775480319
random-forest,Random Forest,ML raw 48D,S4_train_I_val_D1_2,3.0,max_features=sqrt;max_depth=2;min_samples_leaf=1,train+validation refit,0.9482758620689655,0.9545454545454546,0.9543331603528801,0.8612244897959184,0.8675268132101518,0.8635482775480319
random-forest,Random Forest,ML raw 48D,S4_train_I_val_D1_2,4.0,max_features=sqrt;max_depth=2;min_samples_leaf=1,train+validation refit,0.9482758620689655,0.9545454545454546,0.9504105090311986,0.8612244897959184,0.8675268132101518,0.8635482775480319
random-forest,Random Forest,ML raw 48D,S7_train_I_D1_3_val_D4_5,0.0,max_features=log2;max_depth=None;min_samples_leaf=1,train+validation refit,1.0,1.0,1.0,0.9317073170731708,0.9336761308592294,0.9338270721526536
random-forest,Random Forest,ML raw 48D,S7_train_I_D1_3_val_D4_5,1.0,max_features=log2;max_depth=None;min_samples_leaf=1,train+validation refit,1.0,1.0,1.0,0.9219512195121952,0.924286459497727,0.9242079803315724
random-forest,Random Forest,ML raw 48D,S7_train_I_D1_3_val_D4_5,2.0,max_features=log2;max_depth=None;min_samples_leaf=1,train+validation refit,1.0,1.0,1.0,0.926829268292683,0.9289812951784784,0.9290278662420383
random-forest,Random Forest,ML raw 48D,S7_train_I_D1_3_val_D4_5,3.0,max_features=log2;max_depth=None;min_samples_leaf=1,train+validation refit,1.0,1.0,1.0,0.9219512195121952,0.924286459497727,0.9242079803315724
random-forest,Random Forest,ML raw 48D,S7_train_I_D1_3_val_D4_5,4.0,max_features=log2;max_depth=None;min_samples_leaf=1,train+validation refit,1.0,1.0,1.0,0.926829268292683,0.9289812951784784,0.9290278662420383
rbf-svm,RBF SVM,ML raw 48D,S1_train_I_test_all,,C=1.0;gamma=scale,train only; fixed default,0.8,0.8055555555555557,0.7857142857142857,0.6007326007326007,0.6093106995884773,0.5968021388776866
rbf-svm,RBF SVM,ML raw 48D,S4_train_I_val_D1_2,,C=1.0;gamma=0.01,train+validation refit,0.8448275862068966,0.8549783549783551,0.841696030068123,0.7959183673469388,0.8041308272273548,0.7904086606169711
rbf-svm,RBF SVM,ML raw 48D,S7_train_I_D1_3_val_D4_5,,C=10.0;gamma=scale,train+validation refit,0.9897959183673469,0.990990990990991,0.9886310688659025,0.9560975609756097,0.9559579700424771,0.9567373256862761
