sample_id,label,target_file,period,day,day_num,day_label,batch,source_kind,s1_delta_r,s1_delta_r_norm,s1_ema_rise_a0001,s1_ema_decay_a0001,s1_ema_rise_a001,s1_ema_decay_a001,s1_ema_rise_a01,s1_ema_decay_a01,s2_delta_r,s2_delta_r_norm,s2_ema_rise_a0001,s2_ema_decay_a0001,s2_ema_rise_a001,s2_ema_decay_a001,s2_ema_rise_a01,s2_ema_decay_a01,s3_delta_r,s3_delta_r_norm,s3_ema_rise_a0001,s3_ema_decay_a0001,s3_ema_rise_a001,s3_ema_decay_a001,s3_ema_rise_a01,s3_ema_decay_a01,s4_delta_r,s4_delta_r_norm,s4_ema_rise_a0001,s4_ema_decay_a0001,s4_ema_rise_a001,s4_ema_decay_a001,s4_ema_rise_a01,s4_ema_decay_a01,s5_delta_r,s5_delta_r_norm,s5_ema_rise_a0001,s5_ema_decay_a0001,s5_ema_rise_a001,s5_ema_decay_a001,s5_ema_rise_a01,s5_ema_decay_a01,s6_delta_r,s6_delta_r_norm,s6_ema_rise_a0001,s6_ema_decay_a0001,s6_ema_rise_a001,s6_ema_decay_a001,s6_ema_rise_a01,s6_ema_decay_a01
acetone_1,acetone,acetone\acetone_1.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,18.0,0.9,0.016727955429967682,-0.006955162524903486,0.1307605591207253,-0.045621894042958064,0.5361556229857629,-0.2682466552377515,55.0,0.2894736842105263,0.05303305175627941,-0.020530630694458953,0.40663572042704543,-0.12904716690531007,1.503912255139858,-0.5578940680907329,5.0,0.03125,0.0047161536903721855,-0.001,0.03318935517629317,-0.01,0.23851000000000003,-0.10150613143566369,44.0,0.27848101265822783,0.04063733629132806,-0.019106136256068558,0.2816993532338456,-0.10606384136325643,0.9245006764956125,-0.4213176215276324,24.0,1.263157894736842,0.02259765417322207,-0.00957526146477812,0.1936489294941335,-0.06847313674102343,1.1173775546103062,-0.39089993440561144,1.0,0.08333333333333333,0.001,0.0,0.01,0.0,0.1,0.0
acetone_2,acetone,acetone\acetone_2.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,29.0,1.0357142857142858,0.028572504745533633,-0.015961454288317908,0.26267898991426086,-0.10557346115970573,1.8687343279000004,-0.42339990821252604,71.0,0.3212669683257919,0.0700142242769547,-0.04128792231918827,0.6346269332518297,-0.2594835022481528,3.9960000000000004,-0.8321832358560289,5.0,0.02717391304347826,0.003992006000997001,-0.002853953647630203,0.039206009701,-0.01953248726646167,0.326071,-0.11176425558099752,55.0,0.28350515463917525,0.05005948486113045,-0.031296074736544464,0.4304077022009184,-0.17433651185636675,2.3176622613001587,-0.5589693249151609,54.0,1.8,0.052652978939853254,-0.01586397456663199,0.49616921692033317,-0.10870303186317133,4.081500886790535,-0.4587211241830882,1.0,0.07692307692307693,0.001,-0.001,0.01,-0.01,0.1,-0.1
acetone_3,acetone,acetone\acetone_3.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,24.0,0.8275862068965517,0.02329030371040563,-0.004258725903260793,0.20207770104010475,-0.028295666547581762,1.5873100000000002,-0.12227481524051406,59.0,0.2645739910313901,0.05698912476167231,-0.010378790872312086,0.5033481408797759,-0.07076032537180023,3.3031300000000003,-0.24310532165582122,4.0,0.021505376344086023,0.003941581168586086,-0.0010009626946373158,0.03464829753345233,-0.010068255459501038,0.18100000000000002,-0.10018248003631401,49.0,0.25,0.04732325439291105,-0.018501445384382288,0.34992901925420306,-0.10696642507336193,1.5979432739996848,-0.3351467366505486,42.0,1.4,0.04171932977440694,-0.007395918625705174,0.39309265954760425,-0.04927509292810779,2.5180945363535043,-0.19484695760281784,1.0,0.07692307692307693,0.001,-0.001,0.01,-0.01,0.1,-0.1
acetone_4,acetone,acetone\acetone_4.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,20.0,0.6896551724137931,0.018055469684949435,-0.0064611081309871145,0.1537735446459508,-0.040867822782136805,0.9167951000000001,-0.20923432609193854,48.0,0.21428571428571427,0.04519209385450364,-0.017608323482034442,0.3868047913076764,-0.11624007548145236,2.0035170310000003,-0.4342152526652734,4.0,0.021505376344086023,0.0029535262495897557,-2.9660422162081372e-05,0.02579411081651197,-0.002250947908488189,0.19531441,-0.0911370618803475,37.0,0.185,0.03195943911364206,-0.015441793225270969,0.26161793814286066,-0.09205410255840793,1.2179188613001584,-0.3677563602118207,28.0,0.9032258064516129,0.027440895895533956,-0.00727125816570433,0.2433706606,-0.05087403677573817,1.9974000000000003,-0.31889820096990007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetone_5,acetone,acetone\acetone_5.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,24.0,0.7272727272727273,0.023912165813129944,-0.0055364703235312755,0.23136414294611984,-0.037334453940739226,1.66854719,-0.1974642800718218,49.0,0.2094017094017094,0.048779502289653616,-0.013249613305754956,0.4683959550094768,-0.09026391756063742,3.3645138700000006,-0.355562633462548,5.0,0.02564102564102564,0.004986019985005999,-0.0019783250952592306,0.048619850599,-0.018092994783592657,0.3785590000000001,-0.11813182446671258,30.0,0.13274336283185842,0.029837487895419547,-0.010258292921664814,0.28417816714636523,-0.06793580171363663,1.9358591329998247,-0.2919886771468735,46.0,1.2105263157894737,0.04578245248135387,-0.005141403550790976,0.43864784525434963,-0.03997890594323334,3.5586,-0.21645290583137294,1.0,0.06666666666666667,0.001,-0.001,0.01,-0.01,0.1,-0.1
acetone_10,acetone,acetone\acetone_10.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,22.0,0.9166666666666666,0.020816773400261397,-0.005270799701968906,0.19235895282978158,-0.0318478010335551,1.3488801061701425,-0.15872198402518972,56.0,0.2679425837320574,0.0554271475314122,-0.01323055976830267,0.5054470771314088,-0.08585079070919437,3.06896213364703,-0.321984547079372,5.0,0.028901734104046242,0.003977074905782437,-0.0018778705203920574,0.03777403950103393,-0.013288477111572144,0.23451191309885192,-0.10193812537678,33.0,0.16923076923076924,0.03112646544442963,-0.010779441952638143,0.25631605677974284,-0.061253049820509164,1.3961878690134912,-0.2386797516270107,32.0,1.28,0.030884224796774308,-0.003695786223741543,0.2986229485778712,-0.025465731702603932,2.2705295413454962,-0.14882324139270106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetone_6,acetone,acetone\acetone_6.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,14.0,0.4,0.013869043957604264,-0.00353927168858867,0.12778405871488446,-0.02089594430508781,0.691596746784218,-0.13462541414314094,30.0,0.12605042016806722,0.029642253882645925,-0.00651145428201654,0.266941937547096,-0.040218556126748545,1.3776305414344978,-0.18100000000000002,3.0,0.015625,0.0027221520414262793,-0.0018906311318669634,0.017861416205193343,-0.013878418845857374,0.12489967787446592,-0.10198782316304203,20.0,0.08583690987124463,0.019379431395213052,-0.006217381829668636,0.14896878741185443,-0.03711131328803298,0.8069659680485439,-0.18510602763120318,20.0,0.5405405405405406,0.0194811092350642,-0.0028960651174225064,0.17126232810421152,-0.02188742340050024,1.0540421408800555,-0.12342542722409253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetone_7,acetone,acetone\acetone_7.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,12.0,0.36363636363636365,0.011936187659406676,-0.00292393554459682,0.1137846303737639,-0.02424040287448047,0.7176591018999999,-0.15576478316936337,27.0,0.11587982832618025,0.0268206484874372,-0.008425944568029088,0.25263509121719097,-0.05421498406072994,1.5189060728000003,-0.24313344556558722,3.0,0.015706806282722512,0.002884435910358845,-0.0010595194957722166,0.02101037731419253,-0.01317921914936495,0.1526927891491,-0.11085260272501507,18.0,0.08035714285714286,0.017265073671058923,-0.007502236489120257,0.1291087736731991,-0.04768932474181828,0.865513935829858,-0.23244271626084775,22.0,0.6111111111111112,0.021926138843109948,-0.003782041090119831,0.2127374409531099,-0.027515981240869167,1.5843540900000004,-0.18720163683449376,1.0,0.06666666666666667,4.315690424431563e-06,-0.001,0.0002892470199301004,-0.01,0.021219310000000005,-0.1
acetone_8,acetone,acetone\acetone_8.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,15.0,0.4411764705882353,0.014478661987459868,-0.004460823298828418,0.11641753354641289,-0.03198384449790862,0.917089113209465,-0.1560349998285518,30.0,0.12605042016806722,0.028934693223420377,-0.007674741178884879,0.22363512718044465,-0.05402821937464571,1.53281,-0.23210335355209916,2.0,0.010362694300518135,0.001999,-0.0019342994780756485,0.0199,-0.015086165819672988,0.19,-0.1001305439000779,21.0,0.09130434782608696,0.02044071428843058,-0.007529490858453428,0.1631967468054075,-0.04792411448569886,0.7422679543207711,-0.2174394731121849,23.0,0.6216216216216216,0.02160182276299514,-0.004753075994140486,0.18626890318272046,-0.03475256110889806,0.9273329611676104,-0.175707379,0.0,0.0,0.0,-0.001,0.0,-0.01,0.0,-0.1
acetone_9,acetone,acetone\acetone_9.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,16.0,0.5517241379310345,0.01565033576538273,-0.007932234688291696,0.13845503671512024,-0.0502180189292759,0.7705220370069701,-0.24455657050065363,41.0,0.18552036199095023,0.03903120559217473,-0.02041284500064208,0.3148608258070958,-0.12730229306485627,1.744387424067408,-0.4826815461341879,3.0,0.016304347826086956,0.002971210031101727,-0.0028354715019005966,0.02730158374174453,-0.02074181958619526,0.19,-0.12197445832885787,25.0,0.1201923076923077,0.022593588283573787,-0.015623345641992867,0.19319157067100665,-0.08297643017389687,0.7901204091785174,-0.35732262678090193,22.0,0.7333333333333333,0.020526765016490003,-0.008827431861891614,0.18788901133309097,-0.06249753340514753,1.1855556102300864,-0.33513648265716095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
