model,model_label,family,split,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
logistic-regression,Logistic Regression,ML raw 48D,S1_train_I_test_all,0.9333333333333333,,0.9333333333333333,0.9333333333333333,0.706959706959707,,0.706959706959707,0.706959706959707,0.7067901234567903,,0.7067901234567903,0.7067901234567903,0.7149530651174386,,0.7149530651174386,0.7149530651174386
logistic-regression,Logistic Regression,ML raw 48D,S4_train_I_val_D1_2,1.0,,1.0,1.0,0.8775510204081632,,0.8775510204081632,0.8775510204081632,0.8775087607518318,,0.8775087607518318,0.8775087607518318,0.8820899597297114,,0.8820899597297114,0.8820899597297114
logistic-regression,Logistic Regression,ML raw 48D,S7_train_I_D1_3_val_D4_5,0.9795918367346939,,0.9795918367346939,0.9795918367346939,0.9804878048780488,,0.9804878048780488,0.9804878048780488,0.9812206572769954,,0.9812206572769954,0.9812206572769954,0.9812057441598835,,0.9812057441598835,0.9812057441598835
random-forest,Random Forest,ML raw 48D,S1_train_I_test_all,1.0,0.0,1.0,1.0,0.9216117216117217,0.0041764667586049395,0.9157509157509157,0.9267399267399268,0.9242798353909466,0.0037673676410158174,0.9188528806584362,0.9286265432098765,0.9252274896516199,0.003834964768489076,0.9197962813800511,0.9297739870233007
random-forest,Random Forest,ML raw 48D,S4_train_I_val_D1_2,0.9517241379310344,0.0077105792327579106,0.9482758620689655,0.9655172413793104,0.8587755102040816,0.005476084842856644,0.8489795918367347,0.8612244897959184,0.8650631836041202,0.005508843270467766,0.8552086651799936,0.8675268132101518,0.8610788330873188,0.005521845680814625,0.8512010552444668,0.8635482775480319
random-forest,Random Forest,ML raw 48D,S7_train_I_D1_3_val_D4_5,1.0,0.0,1.0,1.0,0.9258536585365855,0.004081268422117446,0.9219512195121952,0.9317073170731708,0.928042328042328,0.003927981345230432,0.924286459497727,0.9336761308592294,0.9280597530599749,0.004025194470018712,0.9242079803315724,0.9338270721526536
rbf-svm,RBF SVM,ML raw 48D,S1_train_I_test_all,0.8,,0.8,0.8,0.6007326007326007,,0.6007326007326007,0.6007326007326007,0.6093106995884773,,0.6093106995884773,0.6093106995884773,0.5968021388776866,,0.5968021388776866,0.5968021388776866
rbf-svm,RBF SVM,ML raw 48D,S4_train_I_val_D1_2,0.8448275862068966,,0.8448275862068966,0.8448275862068966,0.7959183673469388,,0.7959183673469388,0.7959183673469388,0.8041308272273548,,0.8041308272273548,0.8041308272273548,0.7904086606169711,,0.7904086606169711,0.7904086606169711
rbf-svm,RBF SVM,ML raw 48D,S7_train_I_D1_3_val_D4_5,0.9897959183673469,,0.9897959183673469,0.9897959183673469,0.9560975609756097,,0.9560975609756097,0.9560975609756097,0.9559579700424771,,0.9559579700424771,0.9559579700424771,0.9567373256862761,,0.9567373256862761,0.9567373256862761
linear48-dann,linear48-dann,DA 48D,S1_train_I_test_all,1.0,0.0,1.0,1.0,0.693040293040293,0.0777644548808441,0.6190476190476191,0.8058608058608059,0.6933384773662551,0.07524354920622643,0.6240997942386831,0.8031121399176954,0.6925096503130217,0.08616975859527348,0.6072284761309151,0.8124812492901358
linear48-dann,linear48-dann,DA 48D,S4_train_I_val_D1_2,0.993103448275862,0.015421158465515774,0.9655172413793104,1.0,0.8448979591836736,0.012580436740753003,0.8244897959183674,0.8571428571428571,0.8436019963895085,0.013336773523059701,0.8215992354252947,0.8560581926303494,0.8487648092735973,0.01225844204166516,0.8294273008776067,0.8607654358277329
linear48-dann,linear48-dann,DA 48D,S7_train_I_D1_3_val_D4_5,0.9816326530612246,0.0045634040357138625,0.9795918367346939,0.9897959183673469,0.9307317073170731,0.011123662683894012,0.9121951219512195,0.9414634146341463,0.9290409121395038,0.011674216537337313,0.9095312616439378,0.9400849541694613,0.9321994082881242,0.010979330933008307,0.9138638703036541,0.9426534250063662
fusion48-mk-mmd,fusion48-mk-mmd,DA 48D,S1_train_I_test_all,1.0,0.0,1.0,1.0,0.7406593406593407,0.029915775808198396,0.706959706959707,0.7838827838827839,0.7379629629629629,0.029433242089412913,0.7055041152263374,0.7797067901234568,0.7410227725537375,0.02971382257430792,0.7096145124716552,0.7830595700257724
fusion48-mk-mmd,fusion48-mk-mmd,DA 48D,S4_train_I_val_D1_2,0.9965517241379309,0.0077105792327579106,0.9827586206896551,1.0,0.8775510204081634,0.02140426220755413,0.8530612244897959,0.9020408163265307,0.8751619411702241,0.022549369842541092,0.8487310183710312,0.8993840925984921,0.8808127786988406,0.021060903094019236,0.8564267395804549,0.9039386582625872
fusion48-mk-mmd,fusion48-mk-mmd,DA 48D,S7_train_I_D1_3_val_D4_5,0.9959183673469388,0.0055890056888282325,0.9897959183673469,1.0,0.9326829268292682,0.00999702513752152,0.9170731707317074,0.9414634146341463,0.9311573142559059,0.009408637370156006,0.9166107757657054,0.9400849541694613,0.9340843630523853,0.009236301328166472,0.9197040984524781,0.9426534250063662
