split,description,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,selected_epoch,selection_status,final_training,validation_labels_consumed,test_labels_used_for_training,train_n,test_n,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,0,54->64->32->3,"64,32",0.05,0.0001,0.001,400,fixed default; no validation,train only,False,False,30,273,1.0,1.0,1.0,0.8351648351648352,0.8347479423868313,0.837288241474288
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,1,54->64->32->3,"64,32",0.05,0.0001,0.001,400,fixed default; no validation,train only,False,False,30,273,1.0,1.0,1.0,0.8058608058608059,0.8063271604938271,0.8064386720001776
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,2,54->64->32->3,"64,32",0.05,0.0001,0.001,400,fixed default; no validation,train only,False,False,30,273,1.0,1.0,1.0,0.8021978021978022,0.8034979423868314,0.8020186335403726
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,3,54->64->32->3,"64,32",0.05,0.0001,0.001,400,fixed default; no validation,train only,False,False,30,273,1.0,1.0,1.0,0.8168498168498168,0.8180298353909464,0.8163188544231018
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,4,54->64->32->3,"64,32",0.05,0.0001,0.001,400,fixed default; no validation,train only,False,False,30,273,1.0,1.0,1.0,0.8168498168498168,0.8173868312757202,0.817942401143862
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,0,54->64->32->3,"64,32",0.0,1e-05,0.001,12,validation-selected; fresh train+validation refit,train+validation refit,True,False,30,273,0.8333333333333334,0.8333333333333334,0.8193732193732194,0.706959706959707,0.7119341563786009,0.7169436138508303
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,1,54->64->32->3,"64,32",0.0,1e-05,0.001,38,validation-selected; fresh train+validation refit,train+validation refit,True,False,30,273,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.6813186813186813,0.6902006172839505,0.6814391776127927
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,2,54->64->32->3,"64,32",0.0,1e-05,0.001,22,validation-selected; fresh train+validation refit,train+validation refit,True,False,30,273,0.8,0.8055555555555557,0.7857142857142857,0.6703296703296703,0.6823559670781894,0.6474130359062893
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,3,54->64->32->3,"64,32",0.0,1e-05,0.001,12,validation-selected; fresh train+validation refit,train+validation refit,True,False,30,273,0.7333333333333333,0.7222222222222222,0.7207098205283323,0.6227106227106227,0.6224279835390947,0.6294005521104529
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,4,54->64->32->3,"64,32",0.0,1e-05,0.001,27,validation-selected; fresh train+validation refit,train+validation refit,True,False,30,273,0.8666666666666667,0.8888888888888888,0.8545548654244306,0.706959706959707,0.7183641975308642,0.6813821044987196
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,0,54->64->32->3,"64,32",0.0,1e-05,0.001,8,validation-selected; fresh train+validation refit,train+validation refit,True,False,30,273,0.8,0.8055555555555555,0.7868131868131868,0.6996336996336996,0.7075617283950617,0.7098415807924495
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,1,54->64->32->3,"64,32",0.0,1e-05,0.001,17,validation-selected; fresh train+validation refit,train+validation refit,True,False,30,273,0.6333333333333333,0.6944444444444443,0.6212121212121212,0.6336996336996337,0.6508487654320988,0.596296211989003
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,2,54->64->32->3,"64,32",0.0,1e-05,0.001,20,validation-selected; fresh train+validation refit,train+validation refit,True,False,30,273,0.8,0.8055555555555557,0.7857142857142857,0.6813186813186813,0.692772633744856,0.6555399038228008
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,3,54->64->32->3,"64,32",0.0,1e-05,0.001,13,validation-selected; fresh train+validation refit,train+validation refit,True,False,30,273,0.7666666666666667,0.7777777777777778,0.7553142114545622,0.6666666666666666,0.6724537037037037,0.6753255521118887
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,4,54->64->32->3,"64,32",0.0,1e-05,0.001,18,validation-selected; fresh train+validation refit,train+validation refit,True,False,30,273,0.7,0.7222222222222222,0.710415348935273,0.5494505494505495,0.5484825102880658,0.5096679837497913
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,0,54->16->3,16,0.05,1e-05,0.001,52,validation-selected; fresh train+validation refit,train+validation refit,True,False,58,245,0.7586206896551724,0.787878787878788,0.7533875338753386,0.6816326530612244,0.6976744186046512,0.6815613094955818
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,1,54->16->3,16,0.05,1e-05,0.001,35,validation-selected; fresh train+validation refit,train+validation refit,True,False,58,245,0.7068965517241379,0.7424242424242425,0.7009557945041816,0.6448979591836734,0.6627906976744186,0.6440810367163335
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,2,54->16->3,16,0.05,1e-05,0.001,55,validation-selected; fresh train+validation refit,train+validation refit,True,False,58,245,0.7068965517241379,0.7424242424242425,0.7078477078477078,0.7061224489795919,0.7209302325581395,0.6950981193229017
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,3,54->16->3,16,0.05,1e-05,0.001,27,validation-selected; fresh train+validation refit,train+validation refit,True,False,58,245,0.5862068965517241,0.6363636363636364,0.5846320346320346,0.4163265306122449,0.4457364341085271,0.35528974945033337
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,4,54->16->3,16,0.05,1e-05,0.001,27,validation-selected; fresh train+validation refit,train+validation refit,True,False,58,245,0.7068965517241379,0.7424242424242423,0.7129717953247364,0.5673469387755102,0.5891472868217055,0.5356450855321423
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,0,54->64->32->3,"64,32",0.0,1e-05,0.001,11,validation-selected; fresh train+validation refit,train+validation refit,True,False,72,231,0.8055555555555556,0.8209876543209876,0.8035159285159285,0.7402597402597403,0.7502236536052962,0.7356271140702278
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,1,54->64->32->3,"64,32",0.0,1e-05,0.001,107,validation-selected; fresh train+validation refit,train+validation refit,True,False,72,231,1.0,1.0,1.0,0.8787878787878788,0.8804795133297549,0.8788865096839994
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,2,54->64->32->3,"64,32",0.0,1e-05,0.001,79,validation-selected; fresh train+validation refit,train+validation refit,True,False,72,231,0.9583333333333334,0.9629629629629629,0.9567876911530163,0.8874458874458875,0.8894256575415995,0.8876735926751856
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,3,54->64->32->3,"64,32",0.0,1e-05,0.001,11,validation-selected; fresh train+validation refit,train+validation refit,True,False,72,231,0.75,0.7716049382716049,0.753920857286376,0.7186147186147186,0.731794596528896,0.7027937027937029
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,4,54->64->32->3,"64,32",0.0,1e-05,0.001,53,validation-selected; fresh train+validation refit,train+validation refit,True,False,72,231,0.9444444444444444,0.9506172839506172,0.9424054522093738,0.8571428571428571,0.8606190731794596,0.8571039307741876
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,0,54->64->32->3,"64,32",0.0,1e-05,0.001,87,validation-selected; fresh train+validation refit,train+validation refit,True,False,98,205,0.9795918367346939,0.981981981981982,0.9774074074074074,0.9219512195121952,0.9219017810567106,0.9212089624795293
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,1,54->64->32->3,"64,32",0.0,1e-05,0.001,5,validation-selected; fresh train+validation refit,train+validation refit,True,False,98,205,0.5714285714285714,0.6118618618618619,0.4846153846153846,0.6146341463414634,0.627915642000149,0.5161203980825851
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,2,54->64->32->3,"64,32",0.0,1e-05,0.001,19,validation-selected; fresh train+validation refit,train+validation refit,True,False,98,205,0.8163265306122449,0.8329579579579579,0.8137364849321371,0.8682926829268293,0.872643267009464,0.8689972342756924
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,3,54->64->32->3,"64,32",0.0,1e-05,0.001,9,validation-selected; fresh train+validation refit,train+validation refit,True,False,98,205,0.7346938775510204,0.756006006006006,0.7426541274817137,0.751219512195122,0.7581787018406736,0.7395703801233755
