split,description,stage,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,best_epoch,epochs_executed,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,0,54->16->3,16,0.0,0.0001,0.001,2,42,0.4,0.5,0.35555555555555557
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,1,54->16->3,16,0.0,0.0001,0.001,1,41,0.4,0.5,0.35555555555555557
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,2,54->16->3,16,0.0,0.0001,0.001,11,51,0.4,0.5,0.35555555555555557
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,3,54->16->3,16,0.0,0.0001,0.001,2,42,0.4,0.5,0.35555555555555557
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,4,54->16->3,16,0.0,0.0001,0.001,25,65,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,0,54->32->3,32,0.0,0.0001,0.001,8,48,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,1,54->32->3,32,0.0,0.0001,0.001,10,50,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,2,54->32->3,32,0.0,0.0001,0.001,5,45,0.6,0.5,0.4444444444444444
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,3,54->32->3,32,0.0,0.0001,0.001,3,43,0.4,0.5,0.38888888888888884
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,4,54->32->3,32,0.0,0.0001,0.001,10,50,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,0,54->32->16->3,"32,16",0.0,0.0001,0.001,40,80,0.6,0.5,0.48888888888888893
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,1,54->32->16->3,"32,16",0.0,0.0001,0.001,1,41,0.4,0.5,0.3333333333333333
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,2,54->32->16->3,"32,16",0.0,0.0001,0.001,14,54,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,3,54->32->16->3,"32,16",0.0,0.0001,0.001,18,58,0.8,0.8333333333333334,0.7777777777777777
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,4,54->32->16->3,"32,16",0.0,0.0001,0.001,1,41,0.4,0.5,0.35555555555555557
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,0,54->64->32->3,"64,32",0.0,0.0001,0.001,12,52,0.8,0.8333333333333334,0.7777777777777777
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,1,54->64->32->3,"64,32",0.0,0.0001,0.001,38,78,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,2,54->64->32->3,"64,32",0.0,0.0001,0.001,22,62,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,3,54->64->32->3,"64,32",0.0,0.0001,0.001,12,52,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,architecture,4,54->64->32->3,"64,32",0.0,0.0001,0.001,27,67,0.8,0.8333333333333334,0.7777777777777777
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,0,54->16->3,16,0.0,0.0001,0.001,1,41,0.4,0.5,0.3703703703703704
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,1,54->16->3,16,0.0,0.0001,0.001,45,85,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,2,54->16->3,16,0.0,0.0001,0.001,10,50,0.4,0.5,0.35555555555555557
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,3,54->16->3,16,0.0,0.0001,0.001,2,42,0.3,0.3333333333333333,0.24444444444444446
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,4,54->16->3,16,0.0,0.0001,0.001,51,91,0.6,0.5833333333333334,0.5833333333333334
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,0,54->32->3,32,0.0,0.0001,0.001,10,50,0.6,0.5833333333333334,0.5833333333333334
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,1,54->32->3,32,0.0,0.0001,0.001,11,51,0.4,0.4166666666666667,0.4166666666666667
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,2,54->32->3,32,0.0,0.0001,0.001,4,44,0.7,0.5833333333333334,0.5281385281385281
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,3,54->32->3,32,0.0,0.0001,0.001,2,42,0.6,0.6666666666666666,0.5090909090909091
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,4,54->32->3,32,0.0,0.0001,0.001,11,51,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,0,54->32->16->3,"32,16",0.0,0.0001,0.001,37,77,0.6,0.5833333333333334,0.5833333333333334
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,1,54->32->16->3,"32,16",0.0,0.0001,0.001,21,61,0.4,0.4166666666666667,0.4166666666666667
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,2,54->32->16->3,"32,16",0.0,0.0001,0.001,19,59,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,3,54->32->16->3,"32,16",0.0,0.0001,0.001,48,88,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,4,54->32->16->3,"32,16",0.0,0.0001,0.001,1,41,0.4,0.5,0.35555555555555557
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,0,54->64->32->3,"64,32",0.0,0.0001,0.001,8,48,0.7,0.6666666666666666,0.6518518518518519
