split,description,stage,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,best_epoch,epochs_executed,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.0001,18,58,0.4,0.3333333333333333,0.38888888888888884
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.4,0.3333333333333333,0.1904761904761905
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.0001,16,56,0.4,0.3333333333333333,0.1904761904761905
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.6,0.5,0.4444444444444444
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.0001,6,46,0.4,0.3333333333333333,0.1904761904761905
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.0005,24,64,0.8,0.8333333333333334,0.7777777777777777
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.0005,8,48,0.6,0.6666666666666666,0.48888888888888893
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.0005,16,56,0.4,0.3333333333333333,0.3
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.0005,1,41,0.6,0.5,0.4444444444444444
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.0005,2,42,0.4,0.3333333333333333,0.1904761904761905
