split,description,stage,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,best_epoch,epochs_executed,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,0,54->64->32->3,"64,32",0.0,1e-05,0.001,12,52,0.8,0.8333333333333334,0.7777777777777777
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,1,54->64->32->3,"64,32",0.0,1e-05,0.001,38,78,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,2,54->64->32->3,"64,32",0.0,1e-05,0.001,22,62,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,3,54->64->32->3,"64,32",0.0,1e-05,0.001,12,52,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,4,54->64->32->3,"64,32",0.0,1e-05,0.001,27,67,0.8,0.8333333333333334,0.7777777777777777
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,0,54->64->32->3,"64,32",0.0,0.0001,0.001,12,52,0.8,0.8333333333333334,0.7777777777777777
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,1,54->64->32->3,"64,32",0.0,0.0001,0.001,38,78,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,2,54->64->32->3,"64,32",0.0,0.0001,0.001,22,62,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,3,54->64->32->3,"64,32",0.0,0.0001,0.001,12,52,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,4,54->64->32->3,"64,32",0.0,0.0001,0.001,27,67,0.8,0.8333333333333334,0.7777777777777777
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,0,54->64->32->3,"64,32",0.0,0.001,0.001,12,52,0.8,0.8333333333333334,0.7777777777777777
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,1,54->64->32->3,"64,32",0.0,0.001,0.001,38,78,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,2,54->64->32->3,"64,32",0.0,0.001,0.001,22,62,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,3,54->64->32->3,"64,32",0.0,0.001,0.001,12,52,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,regularization,4,54->64->32->3,"64,32",0.0,0.001,0.001,27,67,0.8,0.8333333333333334,0.7777777777777777
