sample_name,source_file,gas,group,day,date
alcohol_1,alcohol_1.csv,alcohol,1,Day1,14.05.2026
alcohol_2,alcohol_2.csv,alcohol,2,Day1,14.05.2026
alcohol_3,alcohol_3.csv,alcohol,3,Day1,14.05.2026
alcohol_4,alcohol_4.csv,alcohol,4,Day1,14.05.2026
alcohol_5,alcohol_5.csv,alcohol,5,Day1,14.05.2026
acetone_1,acetone_1.csv,acetone,1,Day1,14.05.2026
acetone_2,acetone_2.csv,acetone,2,Day1,14.05.2026
acetone_3,acetone_3.csv,acetone,3,Day1,14.05.2026
acetone_4,acetone_4.csv,acetone,4,Day1,14.05.2026
acetone_5,acetone_5.csv,acetone,5,Day1,14.05.2026
air_1,air_1.csv,air,1,Day1,14.05.2026
air_2,air_2.csv,air,2,Day1,14.05.2026
alcohol_6,alcohol_6.csv,alcohol,6,Day2,15.05.2026
alcohol_7,alcohol_7.csv,alcohol,7,Day2,15.05.2026
alcohol_8,alcohol_8.csv,alcohol,8,Day2,15.05.2026
alcohol_9,alcohol_9.csv,alcohol,9,Day2,15.05.2026
alcohol_10,alcohol_10.csv,alcohol,10,Day2,15.05.2026
acetone_6,acetone_6.csv,acetone,6,Day2,15.05.2026
acetone_7,acetone_7.csv,acetone,7,Day2,15.05.2026
acetone_8,acetone_8.csv,acetone,8,Day2,15.05.2026
acetone_9,acetone_9.csv,acetone,9,Day2,15.05.2026
acetone_10,acetone_10.csv,acetone,10,Day2,15.05.2026
air_3,air_3.csv,air,3,Day2,15.05.2026
air_4,air_4.csv,air,4,Day2,15.05.2026
alcohol_11,alcohol_11.csv,alcohol,11,Day3,19.05.2026
alcohol_12,alcohol_12.csv,alcohol,12,Day3,19.05.2026
alcohol_13,alcohol_13.csv,alcohol,13,Day3,19.05.2026
alcohol_14,alcohol_14.csv,alcohol,14,Day3,19.05.2026
alcohol_15,alcohol_15.csv,alcohol,15,Day3,19.05.2026
acetone_11,acetone_11.csv,acetone,11,Day3,19.05.2026
acetone_12,acetone_12.csv,acetone,12,Day3,19.05.2026
acetone_13,acetone_13.csv,acetone,13,Day3,19.05.2026
acetone_14,acetone_14.csv,acetone,14,Day3,19.05.2026
acetone_15,acetone_15.csv,acetone,15,Day3,19.05.2026
air_5,air_5.csv,air,5,Day3,19.05.2026
air_6,air_6.csv,air,6,Day3,19.05.2026
alcohol_16,alcohol_16.csv,alcohol,16,Day4,20.05.2026
alcohol_17,alcohol_17.csv,alcohol,17,Day4,20.05.2026
alcohol_18,alcohol_18.csv,alcohol,18,Day4,20.05.2026
alcohol_19,alcohol_19.csv,alcohol,19,Day4,20.05.2026
alcohol_20,alcohol_20.csv,alcohol,20,Day4,20.05.2026
acetone_16,acetone_16.csv,acetone,16,Day4,20.05.2026
acetone_17,acetone_17.csv,acetone,17,Day4,20.05.2026
acetone_18,acetone_18.csv,acetone,18,Day4,20.05.2026
acetone_19,acetone_19.csv,acetone,19,Day4,20.05.2026
acetone_20,acetone_20.csv,acetone,20,Day4,20.05.2026
air_7,air_7.csv,air,7,Day4,20.05.2026
air_8,air_8.csv,air,8,Day4,20.05.2026
alcohol_21,alcohol_21.csv,alcohol,21,Day5,21.05.2026
alcohol_22,alcohol_22.csv,alcohol,22,Day5,21.05.2026
alcohol_23,alcohol_23.csv,alcohol,23,Day5,21.05.2026
alcohol_24,alcohol_24.csv,alcohol,24,Day5,21.05.2026
alcohol_25,alcohol_25.csv,alcohol,25,Day5,21.05.2026
acetone_21,acetone_21.csv,acetone,21,Day5,21.05.2026
acetone_22,acetone_22.csv,acetone,22,Day5,21.05.2026
acetone_23,acetone_23.csv,acetone,23,Day5,21.05.2026
acetone_24,acetone_24.csv,acetone,24,Day5,21.05.2026
acetone_25,acetone_25.csv,acetone,25,Day5,21.05.2026
air_9,air_9.csv,air,9,Day5,21.05.2026
air_10,air_10.csv,air,10,Day5,21.05.2026
alcohol_26,alcohol_26.csv,alcohol,26,Day6,22.05.2026
alcohol_27,alcohol_27.csv,alcohol,27,Day6,22.05.2026
alcohol_28,alcohol_28.csv,alcohol,28,Day6,22.05.2026
alcohol_29,alcohol_29.csv,alcohol,29,Day6,22.05.2026
alcohol_30,alcohol_30.csv,alcohol,30,Day6,22.05.2026
alcohol_31,alcohol_31.csv,alcohol,31,Day6,22.05.2026
alcohol_32,alcohol_32.csv,alcohol,32,Day6,22.05.2026
acetone_26,acetone_26.csv,acetone,26,Day6,22.05.2026
acetone_27,acetone_27.csv,acetone,27,Day6,22.05.2026
acetone_28,acetone_28.csv,acetone,28,Day6,22.05.2026
acetone_29,acetone_29.csv,acetone,29,Day6,22.05.2026
acetone_30,acetone_30.csv,acetone,30,Day6,22.05.2026
acetone_31,acetone_31.csv,acetone,31,Day6,22.05.2026
acetone_32,acetone_32.csv,acetone,32,Day6,22.05.2026
air_11,air_11.csv,air,11,Day6,22.05.2026
air_12,air_12.csv,air,12,Day6,22.05.2026
air_13,air_13.csv,air,13,Day6,22.05.2026
alcohol_33,alcohol_33.csv,alcohol,33,Day6,23.05.2026
alcohol_34,alcohol_34.csv,alcohol,34,Day6,23.05.2026
alcohol_35,alcohol_35.csv,alcohol,35,Day6,23.05.2026
acetone_33,acetone_33.csv,acetone,33,Day6,23.05.2026
acetone_34,acetone_34.csv,acetone,34,Day6,23.05.2026
acetone_35,acetone_35.csv,acetone,35,Day6,23.05.2026
