experiment,split,seed,selected_alpha,selected_beta,selected_C,selected_l1_ratio,best_epoch,test_accuracy,test_balanced_accuracy,test_macro_f1
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,0,1.0,,1.0,0.0,40,0.9306122448979592,0.9320378039715408,0.9334887647123934
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,1,1.0,,1.0,0.0,20,0.9306122448979592,0.9320378039715408,0.9334887647123934
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,2,1.0,,1.0,0.0,20,0.9306122448979592,0.9320378039715408,0.9334887647123934
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,3,1.0,,1.0,0.0,30,0.9306122448979592,0.9320378039715408,0.9334887647123934
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,4,1.0,,1.0,0.0,20,0.9306122448979592,0.9320378039715408,0.9334887647123934
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,0,1.0,,1.0,0.0,400,0.9307359307359307,0.9320093039899804,0.9332263814616756
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,1,1.0,,1.0,0.0,260,0.9307359307359307,0.9320093039899804,0.9332263814616756
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,2,1.0,,1.0,0.0,380,0.9307359307359307,0.9320093039899804,0.9332263814616756
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,3,1.0,,1.0,0.0,110,0.9307359307359307,0.9320093039899804,0.9332263814616756
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,4,1.0,,1.0,0.0,30,0.9307359307359307,0.9320093039899804,0.9332263814616756
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,0.0,,1.0,0.0,170,0.9560975609756096,0.9547656308219687,0.956696509899138
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,0.0,,1.0,0.0,50,0.9658536585365852,0.9647514717937252,0.9662168383897788
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,0.0,,1.0,0.0,60,0.951219512195122,0.9506669647514716,0.9523560624059556
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,0.0,,1.0,0.0,90,0.9560975609756096,0.955361800432223,0.9565178917095296
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,0.0,,1.0,0.0,90,0.946341463414634,0.9447797898502124,0.9470603649530706
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,0.0,,1.0,0.0,280,0.951219512195122,0.9500707951412176,0.9521306206337464
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,0.0,,1.0,0.0,170,0.9609756097560976,0.960056636112974,0.9612718104521384
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,0.0,,1.0,0.0,50,0.946341463414634,0.9447797898502124,0.9472027415994784
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,0.0,,1.0,0.0,120,0.9658536585365852,0.9647514717937252,0.9662168383897788
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,0.0,,1.0,0.0,90,0.951219512195122,0.9494746255309636,0.9517416730231376
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,0,,2.0,1.0,0.0,20,0.9224489795918368,0.9222151428268028,0.924271234736175
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,1,,2.0,1.0,0.0,20,0.9102040816326532,0.9112774769034724,0.9130869231209868
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,2,,2.0,1.0,0.0,20,0.9224489795918368,0.9222151428268028,0.9246189205115024
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,3,,2.0,1.0,0.0,20,0.9306122448979592,0.9313475629181268,0.933041958041958
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,4,,2.0,1.0,0.0,20,0.926530612244898,0.9274715939258787,0.9294955162911736
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,0,,0.5,1.0,0.0,40,0.9134199134199136,0.9134013240293432,0.9163053850863486
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,1,,0.5,1.0,0.0,320,0.9134199134199136,0.9134013240293432,0.9167003367003368
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,2,,0.5,1.0,0.0,250,0.9134199134199136,0.9134013240293432,0.9167003367003368
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,3,,0.5,1.0,0.0,40,0.9177489177489178,0.9182322419037394,0.9202678384599288
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,4,,0.5,1.0,0.0,30,0.9177489177489178,0.9175165503667918,0.9203588066210724
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,,0.5,1.0,0.0,50,0.946341463414634,0.9447797898502124,0.9470603649530706
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,,0.5,1.0,0.0,360,0.9560975609756096,0.9547656308219687,0.956696509899138
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,,0.5,1.0,0.0,100,0.951219512195122,0.9494746255309636,0.9517416730231376
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,,0.5,1.0,0.0,130,0.9560975609756096,0.9547656308219687,0.9562780845848132
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,,0.5,1.0,0.0,100,0.951219512195122,0.9494746255309636,0.9517416730231376
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,,0.5,1.0,0.0,240,0.9560975609756096,0.9541694612117148,0.9562715390601428
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,,0.5,1.0,0.0,30,0.946341463414634,0.9447797898502124,0.9470603649530706
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,,0.5,1.0,0.0,50,0.951219512195122,0.9500707951412176,0.9520132654207212
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,,0.5,1.0,0.0,190,0.9560975609756096,0.9547656308219687,0.9562780845848132
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,,0.5,1.0,0.0,310,0.946341463414634,0.9447797898502124,0.9470603649530706
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,0,,,1.0,0.25,40,0.8979591836734694,0.8968886057130722,0.8998424144922218
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,1.0,0.25,20,0.9142857142857143,0.9144632048423066,0.9169172764642771
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,2,,,1.0,0.25,20,0.9061224489795918,0.9060210258043964,0.9083189153340299
