experiment,split,selected_alpha,selected_beta,selected_C,selected_l1_ratio,seeds,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,best_epoch,best_epoch_std,best_epoch_min,best_epoch_max
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,1.0,,1.0,0.0,"0,1,2,3,4",0.9306122448979594,1.2412670766236366e-16,0.9306122448979592,0.9306122448979592,0.9320378039715408,0.0,0.9320378039715408,0.9320378039715408,0.9334887647123933,1.2412670766236366e-16,0.9334887647123934,0.9334887647123934,26.0,8.94427190999916,20.0,40.0
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,1.0,,1.0,0.0,"0,1,2,3,4",0.9307359307359307,0.0,0.9307359307359307,0.9307359307359307,0.9320093039899804,0.0,0.9320093039899804,0.9320093039899804,0.9332263814616756,0.0,0.9332263814616756,0.9332263814616756,236.0,163.18700928689145,30.0,400.0
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,0.0,,1.0,0.0,"0,1,2,3,4",0.9551219512195122,0.007235315597166477,0.946341463414634,0.9658536585365852,0.9540651315299202,0.00731667659011335,0.9447797898502124,0.9647514717937252,0.9557695334714944,0.00703681224708722,0.9470603649530706,0.9662168383897788,92.0,47.11687595755899,50.0,170.0
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,0.0,,1.0,0.0,"0,1,2,3,4",0.9551219512195122,0.008015452061051205,0.946341463414634,0.9658536585365852,0.9538266636858186,0.008262213678257052,0.9447797898502124,0.9647514717937252,0.9557127368196559,0.0077823578069187585,0.9472027415994784,0.9662168383897788,142.0,88.7130204648675,50.0,280.0
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,,2.0,1.0,0.0,"0,1,2,3,4",0.9224489795918368,0.0076360354832120825,0.9102040816326532,0.9306122448979592,0.9229053838802168,0.007554497785635535,0.9112774769034724,0.9313475629181268,0.9249029105403592,0.007540446690490934,0.9130869231209868,0.933041958041958,20.0,0.0,20.0,20.0
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,,0.5,1.0,0.0,"0,1,2,3,4",0.9151515151515153,0.002371093322533106,0.9134199134199136,0.9177489177489178,0.9151905528717121,0.0024630345138551718,0.9134013240293432,0.9182322419037394,0.9180665407136047,0.0020576011951824206,0.9163053850863486,0.9203588066210724,136.0,138.31124321616085,30.0,320.0
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,,0.5,1.0,0.0,"0,1,2,3,4",0.9521951219512195,0.004081268422117419,0.946341463414634,0.9560975609756096,0.9506520605112154,0.004216016792677082,0.9447797898502124,0.9547656308219687,0.9527036610966594,0.003950220826218508,0.9470603649530706,0.956696509899138,148.0,121.94260945215171,50.0,360.0
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,,0.5,1.0,0.0,"0,1,2,3,4",0.9512195121951219,0.004878048780487809,0.946341463414634,0.9560975609756096,0.9497130933750653,0.0048525835087622725,0.9447797898502124,0.9547656308219687,0.9517367237943637,0.004609816878683074,0.9470603649530706,0.9562780845848132,164.0,121.16104984688768,30.0,310.0
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,,,1.0,0.25,"0,1,2,3,4",0.9118367346938776,0.010643595763596162,0.8979591836734694,0.926530612244898,0.9114473823935437,0.010843726868802315,0.8968886057130722,0.9260911118190508,0.9138480240939033,0.010457645021005872,0.8998424144922218,0.9278142167031057,26.0,8.94427190999916,20.0,40.0
elastic-net,SI2_train_I_D1_val_D2_3_test_D4plus,,,1.0,0.5,"0,1,2,3,4",0.8978354978354979,0.019504554677175434,0.8787878787878788,0.9307359307359307,0.8975845410628018,0.018591026175683402,0.8797638217928073,0.92914653784219,0.9009793210567704,0.018545558953184767,0.8835918561434234,0.9325304261526867,236.0,163.18700928689145,30.0,400.0
elastic-net,SI3_train_I_D1_2_val_D3_5_test_D6plus,,,1.0,0.25,"0,1,2,3,4",0.9317073170731707,0.009756097560975577,0.9219512195121952,0.9463414634146341,0.9304568149638571,0.009991178377672308,0.9201132722259483,0.9453759594604665,0.9325255492829733,0.009687733017562917,0.9225108534898144,0.9468915815316384,92.0,47.11687595755899,50.0,170.0
elastic-net,SI4_train_I_D1_3_val_D4_5_test_D6plus,,,10.0,0.25,"0,1,2,3,4",0.9453658536585365,0.0063601974684903565,0.9365853658536586,0.9512195121951219,0.9443177584022653,0.006232084691647387,0.9359862880989641,0.9506669647514717,0.9458879452525375,0.0060278613894432795,0.9376829247661101,0.9514662377437899,142.0,88.7130204648675,50.0,280.0
