experiment,split,seed,parameter,parameter_value,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,alpha,beta,C,l1_ratio
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.0,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.25,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.5,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.75,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,0,,,,1.0,1.0,1.0,1.0,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.0,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.25,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.5,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.75,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,1,,,,1.0,1.0,1.0,1.0,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,2,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.0,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,2,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.25,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,2,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.5,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,2,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.75,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,2,,,,1.0,1.0,1.0,1.0,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,3,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.0,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,3,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.25,,,
probability-ensemble,SI1_train_I_D1_val_D2_test_D3plus,3,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.5,,,
