protocol,split_id,train_days,validation_days,test_days,test_dates,model,case,sensor_removed,best_params_from_all_sensors,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,all_test_balanced_accuracy,delta_ba_without_minus_all,importance_all_minus_without
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",LDA,all,none,shrinkage=0.1,0.8909090909090909,0.875,0.8925729442970822,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",LDA,without_s1,s1,shrinkage=0.1,0.8545454545454545,0.8396739130434782,0.8454344700843301,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",LDA,without_s2,s2,shrinkage=0.1,0.8363636363636363,0.8188405797101449,0.8300199709513435,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",LDA,without_s3,s3,shrinkage=0.1,0.8545454545454545,0.8333333333333334,0.855379188712522,0.9642857142857143,0.9666666666666667,0.9628482972136223,1.0,-0.033333333333333326,0.033333333333333326
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",LDA,without_s4,s4,shrinkage=0.1,0.8909090909090909,0.875,0.8925729442970822,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",LDA,without_s5,s5,shrinkage=0.1,0.8727272727272727,0.8605072463768115,0.8753211629479377,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",LDA,without_s6,s6,shrinkage=0.1,0.9272727272727272,0.9166666666666666,0.928888888888889,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Logistic Regression,all,none,l2=0.001,0.8909090909090909,0.875,0.8874431493027318,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Logistic Regression,without_s1,s1,l2=0.001,0.8363636363636363,0.8188405797101449,0.8332261127960052,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Logistic Regression,without_s2,s2,l2=0.001,0.8909090909090909,0.875,0.8874431493027318,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Logistic Regression,without_s3,s3,l2=0.001,0.8909090909090909,0.875,0.8874431493027318,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Logistic Regression,without_s4,s4,l2=0.001,0.8545454545454545,0.8396739130434782,0.8528658775338092,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Logistic Regression,without_s5,s5,l2=0.001,0.8727272727272727,0.8605072463768115,0.8707142857142857,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Logistic Regression,without_s6,s6,l2=0.001,0.9636363636363636,0.9583333333333334,0.9638888888888889,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",kNN,all,none,k=7;weighted=False,0.8909090909090909,0.875,0.8756238508011558,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",kNN,without_s1,s1,k=7;weighted=False,0.8909090909090909,0.875,0.8756238508011558,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",kNN,without_s2,s2,k=7;weighted=False,0.7636363636363637,0.7291666666666666,0.6921326076199902,0.9285714285714286,0.9333333333333332,0.9326599326599326,1.0,-0.06666666666666676,0.06666666666666676
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",kNN,without_s3,s3,k=7;weighted=False,0.8727272727272727,0.8541666666666666,0.8577160493827161,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",kNN,without_s4,s4,k=7;weighted=False,0.9090909090909091,0.8958333333333334,0.8992763772175537,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",kNN,without_s5,s5,k=7;weighted=False,0.8545454545454545,0.8460144927536232,0.8502532928064843,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",kNN,without_s6,s6,k=7;weighted=False,0.9090909090909091,0.9021739130434782,0.9034054401370742,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Random Forest,all,none,max_depth=4;min_leaf=1,0.9272727272727272,0.9166666666666666,0.9153439153439153,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Random Forest,without_s1,s1,max_depth=4;min_leaf=1,0.8909090909090909,0.875,0.8704453441295547,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Random Forest,without_s2,s2,max_depth=4;min_leaf=1,0.9272727272727272,0.9166666666666666,0.9153439153439153,0.9642857142857143,0.9666666666666667,0.9665831244778613,1.0,-0.033333333333333326,0.033333333333333326
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Random Forest,without_s3,s3,max_depth=4;min_leaf=1,0.9090909090909091,0.8958333333333334,0.8932265598932266,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Random Forest,without_s4,s4,max_depth=4;min_leaf=1,0.9272727272727272,0.9166666666666666,0.9153439153439153,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Random Forest,without_s5,s5,max_depth=4;min_leaf=1,0.9272727272727272,0.9166666666666666,0.9153439153439153,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",Random Forest,without_s6,s6,max_depth=4;min_leaf=1,0.9090909090909091,0.8958333333333334,0.8932265598932266,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",RBF LS-SVM,all,none,gamma_mult=0.5;c_value=100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",RBF LS-SVM,without_s1,s1,gamma_mult=0.5;c_value=100.0,0.9454545454545454,0.9438405797101449,0.9444515279017383,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",RBF LS-SVM,without_s2,s2,gamma_mult=0.5;c_value=100.0,0.9272727272727272,0.9166666666666666,0.9153439153439153,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",RBF LS-SVM,without_s3,s3,gamma_mult=0.5;c_value=100.0,0.9818181818181818,0.9791666666666666,0.9821551132463967,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",RBF LS-SVM,without_s4,s4,gamma_mult=0.5;c_value=100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",RBF LS-SVM,without_s5,s5,gamma_mult=0.5;c_value=100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
A_fixed_chronological,A,Day1-Day10,Day11-Day15,Day16-Day17,"2026-06-04, 2026-06-05",RBF LS-SVM,without_s6,s6,gamma_mult=0.5;c_value=100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,LDA,all,none,shrinkage=0.01,1.0,1.0,1.0,0.6,0.6666666666666666,0.611111111111111,0.6666666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,LDA,without_s1,s1,shrinkage=0.01,0.9545454545454546,0.9629629629629629,0.9433551198257081,0.4,0.5,0.3925925925925926,0.6666666666666666,-0.16666666666666663,0.16666666666666663
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,LDA,without_s2,s2,shrinkage=0.01,0.7727272727272727,0.7685185185185185,0.7529239766081871,0.6,0.6666666666666666,0.5857142857142857,0.6666666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,LDA,without_s3,s3,shrinkage=0.01,0.9545454545454546,0.9629629629629629,0.943355119825708,0.8,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.16666666666666674,-0.16666666666666674
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,LDA,without_s4,s4,shrinkage=0.01,0.9545454545454546,0.9629629629629629,0.943355119825708,0.6,0.6666666666666666,0.611111111111111,0.6666666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,LDA,without_s5,s5,shrinkage=0.01,1.0,1.0,1.0,0.7,0.75,0.6984126984126985,0.6666666666666666,0.08333333333333337,-0.08333333333333337
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,LDA,without_s6,s6,shrinkage=0.01,1.0,1.0,1.0,0.6,0.6666666666666666,0.5857142857142857,0.6666666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Logistic Regression,all,none,l2=0.001,0.9545454545454546,0.9629629629629629,0.943355119825708,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Logistic Regression,without_s1,s1,l2=0.001,0.9545454545454546,0.9629629629629629,0.943355119825708,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Logistic Regression,without_s2,s2,l2=0.001,0.8181818181818182,0.8518518518518517,0.8201058201058201,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Logistic Regression,without_s3,s3,l2=0.001,0.9545454545454546,0.9629629629629629,0.9628482972136223,0.8,0.8333333333333334,0.8222222222222223,0.9166666666666666,-0.08333333333333326,0.08333333333333326
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Logistic Regression,without_s4,s4,l2=0.001,1.0,1.0,1.0,0.9,0.9166666666666666,0.8857142857142857,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Logistic Regression,without_s5,s5,l2=0.001,0.9545454545454546,0.9629629629629629,0.943355119825708,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Logistic Regression,without_s6,s6,l2=0.001,1.0,1.0,1.0,0.9,0.9166666666666666,0.8857142857142857,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,kNN,all,none,k=3;weighted=False,0.9545454545454546,0.9629629629629629,0.9628482972136223,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,kNN,without_s1,s1,k=3;weighted=False,0.9545454545454546,0.9629629629629629,0.943355119825708,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,kNN,without_s2,s2,k=3;weighted=False,0.8181818181818182,0.8518518518518517,0.85,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,kNN,without_s3,s3,k=3;weighted=False,0.9545454545454546,0.9629629629629629,0.9628482972136223,0.8,0.8333333333333334,0.8333333333333334,0.9166666666666666,-0.08333333333333326,0.08333333333333326
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,kNN,without_s4,s4,k=3;weighted=False,0.8636363636363636,0.8888888888888888,0.8857142857142858,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,kNN,without_s5,s5,k=3;weighted=False,0.9090909090909091,0.9259259259259259,0.9249999999999999,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,kNN,without_s6,s6,k=3;weighted=False,0.9090909090909091,0.9259259259259259,0.9259259259259259,0.8,0.8333333333333334,0.8222222222222223,0.9166666666666666,-0.08333333333333326,0.08333333333333326
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Random Forest,all,none,max_depth=3;min_leaf=1,1.0,1.0,1.0,0.7,0.75,0.7090909090909091,0.75,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Random Forest,without_s1,s1,max_depth=3;min_leaf=1,0.9545454545454546,0.9629629629629629,0.9628482972136223,0.7,0.75,0.7090909090909091,0.75,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Random Forest,without_s2,s2,max_depth=3;min_leaf=1,0.6818181818181818,0.7407407407407408,0.6945454545454545,0.8,0.8333333333333334,0.8222222222222223,0.75,0.08333333333333337,-0.08333333333333337
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Random Forest,without_s3,s3,max_depth=3;min_leaf=1,0.9545454545454546,0.9629629629629629,0.9628482972136223,0.7,0.75,0.7090909090909091,0.75,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Random Forest,without_s4,s4,max_depth=3;min_leaf=1,0.9545454545454546,0.9629629629629629,0.9628482972136223,0.7,0.75,0.7090909090909091,0.75,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Random Forest,without_s5,s5,max_depth=3;min_leaf=1,0.9090909090909091,0.9259259259259259,0.9063180827886711,0.7,0.75,0.7111111111111111,0.75,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,Random Forest,without_s6,s6,max_depth=3;min_leaf=1,0.9545454545454546,0.9629629629629629,0.9628482972136223,0.7,0.75,0.7090909090909091,0.75,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,RBF LS-SVM,all,none,gamma_mult=0.5;c_value=1.0,1.0,1.0,1.0,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,RBF LS-SVM,without_s1,s1,gamma_mult=0.5;c_value=1.0,1.0,1.0,1.0,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,RBF LS-SVM,without_s2,s2,gamma_mult=0.5;c_value=1.0,0.7727272727272727,0.8148148148148149,0.7741517741517742,0.8,0.8333333333333334,0.8222222222222223,0.9166666666666666,-0.08333333333333326,0.08333333333333326
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,RBF LS-SVM,without_s3,s3,gamma_mult=0.5;c_value=1.0,0.9545454545454546,0.9629629629629629,0.9628482972136223,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,RBF LS-SVM,without_s4,s4,gamma_mult=0.5;c_value=1.0,1.0,1.0,1.0,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,RBF LS-SVM,without_s5,s5,gamma_mult=0.5;c_value=1.0,1.0,1.0,1.0,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day11,Day1-Day8,Day9-Day10,Day11,2026-05-28,RBF LS-SVM,without_s6,s6,gamma_mult=0.5;c_value=1.0,1.0,1.0,1.0,0.9,0.9166666666666666,0.9153439153439153,0.9166666666666666,0.0,0.0
B_rolling_chronological,B_Day12,Day1-Day9,Day10-Day11,Day12,2026-05-29,LDA,all,none,shrinkage=0.25,0.95,0.9583333333333334,0.9407407407407407,0.4,0.5,0.3925925925925926,0.5,0.0,0.0
B_rolling_chronological,B_Day12,Day1-Day9,Day10-Day11,Day12,2026-05-29,LDA,without_s1,s1,shrinkage=0.25,0.85,0.875,0.8368024132730015,0.4,0.5,0.3925925925925926,0.5,0.0,0.0
B_rolling_chronological,B_Day12,Day1-Day9,Day10-Day11,Day12,2026-05-29,LDA,without_s2,s2,shrinkage=0.25,0.85,0.875,0.8490028490028491,0.4,0.5,0.3333333333333333,0.5,0.0,0.0
