mode,split_id,group,classifier,case,removed_sensor,n_features,accuracy,balanced_accuracy,macro_f1,delta_balanced_accuracy_vs_all,delta_macro_f1_vs_all
stratified_random_holdout,0,,lda,all,,54,0.95,0.9545454545454546,0.9478036175710595,0.0,0.0
stratified_random_holdout,0,,lda,without_s1,s1,45,0.95,0.9545454545454546,0.9493676258382141,0.0,-0.0015640082671546374
stratified_random_holdout,0,,lda,without_s2,s2,45,0.9333333333333333,0.9393939393939394,0.9337796907380839,0.015151515151515138,0.014023926832975597
stratified_random_holdout,0,,lda,without_s3,s3,45,0.9333333333333333,0.9393939393939394,0.930820781076028,0.015151515151515138,0.016982836495031517
stratified_random_holdout,0,,lda,without_s4,s4,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,-0.030303030303030276,-0.03434343434343434
stratified_random_holdout,0,,lda,without_s5,s5,45,0.9666666666666667,0.9696969696969697,0.9648882808937529,-0.015151515151515138,-0.017084663322693427
stratified_random_holdout,0,,lda,without_s6,s6,45,0.95,0.9545454545454546,0.9470383275261324,0.0,0.0007652900449270916
stratified_random_holdout,0,,gnb,all,,54,0.9166666666666666,0.9242424242424242,0.9232513518227803,0.0,0.0
stratified_random_holdout,0,,gnb,without_s1,s1,45,0.9166666666666666,0.9242424242424242,0.9232513518227803,0.0,0.0
stratified_random_holdout,0,,gnb,without_s2,s2,45,0.85,0.8636363636363636,0.8576819407008086,0.06060606060606055,0.06556941112197168
stratified_random_holdout,0,,gnb,without_s3,s3,45,0.9166666666666666,0.9242424242424242,0.9232513518227803,0.0,0.0
stratified_random_holdout,0,,gnb,without_s4,s4,45,0.9333333333333333,0.9393939393939394,0.9388888888888888,-0.015151515151515249,-0.015637537066108487
stratified_random_holdout,0,,gnb,without_s5,s5,45,0.9166666666666666,0.9242424242424242,0.9232513518227803,0.0,0.0
stratified_random_holdout,0,,gnb,without_s6,s6,45,0.9,0.9090909090909092,0.9083333333333333,0.015151515151515027,0.01491801848944696
stratified_random_holdout,0,,centroid,all,,54,0.85,0.8636363636363636,0.8523603695228409,0.0,0.0
stratified_random_holdout,0,,centroid,without_s1,s1,45,0.85,0.8636363636363636,0.8504715241557347,0.0,0.0018888453671062067
stratified_random_holdout,0,,centroid,without_s2,s2,45,0.8666666666666667,0.8787878787878789,0.8668531231460294,-0.015151515151515249,-0.01449275362318847
stratified_random_holdout,0,,centroid,without_s3,s3,45,0.8,0.8181818181818182,0.8057142857142857,0.045454545454545414,0.04664608380855517
stratified_random_holdout,0,,centroid,without_s4,s4,45,0.8833333333333333,0.8939393939393939,0.8852152678239635,-0.030303030303030276,-0.03285489830112265
stratified_random_holdout,0,,centroid,without_s5,s5,45,0.85,0.8636363636363636,0.8504715241557347,0.0,0.0018888453671062067
stratified_random_holdout,0,,centroid,without_s6,s6,45,0.8333333333333334,0.8484848484848485,0.8360701126658574,0.015151515151515138,0.016290256856983487
stratified_random_holdout,1,,lda,all,,54,0.95,0.9545454545454546,0.9470383275261324,0.0,0.0
stratified_random_holdout,1,,lda,without_s1,s1,45,0.9333333333333333,0.9337121212121212,0.9289866624156438,0.02083333333333337,0.018051665110488613
stratified_random_holdout,1,,lda,without_s2,s2,45,0.8833333333333333,0.8882575757575758,0.883583736524913,0.06628787878787878,0.06345459100121942
stratified_random_holdout,1,,lda,without_s3,s3,45,0.9,0.9090909090909092,0.8981620718462824,0.045454545454545414,0.04887625567984999
stratified_random_holdout,1,,lda,without_s4,s4,45,0.9333333333333333,0.9337121212121212,0.9289866624156438,0.02083333333333337,0.018051665110488613
stratified_random_holdout,1,,lda,without_s5,s5,45,0.9333333333333333,0.9337121212121212,0.9289866624156438,0.02083333333333337,0.018051665110488613
stratified_random_holdout,1,,lda,without_s6,s6,45,0.9333333333333333,0.9393939393939394,0.9296296296296296,0.015151515151515138,0.01740869789650279
stratified_random_holdout,1,,gnb,all,,54,0.8833333333333333,0.8882575757575758,0.8916282642089094,0.0,0.0
stratified_random_holdout,1,,gnb,without_s1,s1,45,0.8833333333333333,0.8882575757575758,0.8916282642089094,0.0,0.0
stratified_random_holdout,1,,gnb,without_s2,s2,45,0.7833333333333333,0.7973484848484849,0.7928123742165488,0.09090909090909094,0.09881588999236057
