classifier,removed_sensor,mean_delta_balanced_accuracy,std_delta_balanced_accuracy,mean_delta_macro_f1,mean_balanced_accuracy_without,mean_macro_f1_without,positive_delta_rate,full_mean_balanced_accuracy,full_mean_macro_f1,full_std_balanced_accuracy
centroid,s1,0.009477124183006542,0.04713082273530361,0.01401126107008458,0.8369281045751634,0.8110779771770484,0.11764705882352941,0.8464052287581699,0.825089238247133,0.1553562857643903
centroid,s2,0.014052287581699342,0.06640915680446507,0.017418093888682123,0.8323529411764706,0.8076711443584508,0.35294117647058826,0.8464052287581699,0.825089238247133,0.1553562857643903
centroid,s3,0.041503267973856194,0.05856823230963259,0.051646232451186005,0.8049019607843138,0.7734430057959469,0.5882352941176471,0.8464052287581699,0.825089238247133,0.1553562857643903
centroid,s4,-0.03137254901960785,0.048905504455153834,-0.03480038480038481,0.8777777777777778,0.8598896230475177,0.0,0.8464052287581699,0.825089238247133,0.1553562857643903
centroid,s5,-0.020261437908496733,0.04513103249880436,-0.022349545878957662,0.8666666666666666,0.8474387841260906,0.058823529411764705,0.8464052287581699,0.825089238247133,0.1553562857643903
centroid,s6,0.006862745098039217,0.04210553190488709,0.007326007326007326,0.8395424836601307,0.8177632309211257,0.11764705882352941,0.8464052287581699,0.825089238247133,0.1553562857643903
gnb,s1,0.003921568627450973,0.01616904166908883,0.00420875420875421,0.8787581699346405,0.8735829529947177,0.058823529411764705,0.8826797385620915,0.877791707203472,0.13012461905847245
gnb,s2,0.08692810457516338,0.10154936266353964,0.10602730602730599,0.795751633986928,0.771764401176166,0.6470588235294118,0.8826797385620915,0.877791707203472,0.13012461905847245
gnb,s3,0.011764705882352932,0.02619684159977917,0.013175821999351411,0.8709150326797386,0.8646158852041205,0.17647058823529413,0.8826797385620915,0.877791707203472,0.13012461905847245
gnb,s4,-0.013725490196078442,0.03075174685510604,-0.013484989955578185,0.89640522875817,0.8912766971590501,0.0,0.8826797385620915,0.877791707203472,0.13012461905847245
gnb,s5,0.003921568627450973,0.01616904166908883,0.00420875420875421,0.8787581699346405,0.8735829529947177,0.058823529411764705,0.8826797385620915,0.877791707203472,0.13012461905847245
gnb,s6,0.007843137254901959,0.03233808333817772,0.008967067790597201,0.8748366013071895,0.8688246394128747,0.058823529411764705,0.8826797385620915,0.877791707203472,0.13012461905847245
lda,s1,-0.004901960784313734,0.046309910852184284,-0.0063180827886710235,0.9359477124183007,0.9284158107687519,0.058823529411764705,0.931045751633987,0.9220977279800809,0.11485126626372909
lda,s2,0.021568627450980368,0.04862628147971692,0.02561695641280417,0.9094771241830065,0.8964807715672768,0.4117647058823529,0.931045751633987,0.9220977279800809,0.11485126626372909
lda,s3,0.009803921568627442,0.03765551148754357,0.010760859367670513,0.9212418300653595,0.9113368686124104,0.17647058823529413,0.931045751633987,0.9220977279800809,0.11485126626372909
lda,s4,0.0,0.0,0.0,0.931045751633987,0.9220977279800809,0.0,0.931045751633987,0.9220977279800809,0.11485126626372909
lda,s5,0.0016339869281045694,0.03468134849148876,0.00017036054187755928,0.9294117647058823,0.9219273674382035,0.058823529411764705,0.931045751633987,0.9220977279800809,0.11485126626372909
lda,s6,-0.004901960784313728,0.02021130208636109,-0.006629318394024279,0.9359477124183007,0.9287270463741052,0.0,0.931045751633987,0.9220977279800809,0.11485126626372909
