classifier,removed_sensor,mean_delta_balanced_accuracy,std_delta_balanced_accuracy,mean_delta_macro_f1,mean_balanced_accuracy_without,mean_macro_f1_without,positive_delta_rate,full_mean_balanced_accuracy,full_mean_macro_f1,full_std_balanced_accuracy
centroid,s1,-0.033333333333333215,,-0.03496172294126254,0.9333333333333332,0.9326599326599326,0.0,0.9,0.8976982097186701,
centroid,s2,0.0,,-0.002051163714913873,0.9,0.899749373433584,0.0,0.9,0.8976982097186701,
centroid,s3,0.033333333333333326,,0.03658709860755904,0.8666666666666667,0.861111111111111,1.0,0.9,0.8976982097186701,
centroid,s4,-0.033333333333333215,,-0.03496172294126254,0.9333333333333332,0.9326599326599326,0.0,0.9,0.8976982097186701,
centroid,s5,0.0,,0.0051056171260773775,0.9,0.8925925925925927,0.0,0.9,0.8976982097186701,
centroid,s6,0.0,,0.0,0.9,0.8976982097186701,0.0,0.9,0.8976982097186701,
gnb,s1,0.0,,0.0,0.9,0.8976982097186701,0.0,0.9,0.8976982097186701,
gnb,s2,0.06666666666666665,,0.0682011935208866,0.8333333333333334,0.8294970161977835,1.0,0.9,0.8976982097186701,
gnb,s3,0.033333333333333326,,0.03658709860755904,0.8666666666666667,0.861111111111111,1.0,0.9,0.8976982097186701,
gnb,s4,0.0,,0.0,0.9,0.8976982097186701,0.0,0.9,0.8976982097186701,
gnb,s5,0.0,,0.0,0.9,0.8976982097186701,0.0,0.9,0.8976982097186701,
gnb,s6,0.033333333333333326,,0.03658709860755904,0.8666666666666667,0.861111111111111,1.0,0.9,0.8976982097186701,
lda,s1,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,
lda,s2,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,
lda,s3,0.033333333333333326,,0.037151702786377694,0.9666666666666667,0.9628482972136223,1.0,1.0,1.0,
lda,s4,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,
lda,s5,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,
lda,s6,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,
