sensor,label,n,median_exp_absmax,mean_exp_absmax,median_feature_abs
s1,air,52,0.02299154334038055,0.02722517710483682,0.009180362535478472
s1,alcohol,73,0.3235294117647059,0.35661755564539405,0.11001337861479883
s1,acetone,73,0.3902439024390244,0.4375120583995755,0.12086008676383762
s2,air,52,0.006493770039368481,0.00806828246406638,0.0030314359950793564
s2,alcohol,73,0.02727272727272727,0.03261500542037115,0.00948748850513644
s2,acetone,73,0.10909090909090909,0.11998413650224506,0.03488316063081417
s3,air,52,0.008733790999237222,0.007957171255830406,0.0023777846793110336
s3,alcohol,73,0.014285714285714285,0.015213486267551759,0.00541871921182266
s3,acetone,73,0.010050251256281407,0.011426692290353495,0.004008876798625528
s4,air,52,0.012320380489779396,0.013001067543435305,0.00445725114929416
s4,alcohol,73,0.027131782945736434,0.029435431221511404,0.012556228672108122
s4,acetone,73,0.058091286307053944,0.07523473813022767,0.024789915966386546
s5,air,52,0.024390243902439025,0.03145686930332835,0.009886578268895017
s5,alcohol,73,0.39473684210526316,0.39799489505055047,0.11131485446457862
s5,acetone,73,0.5,0.5644578277204393,0.12517730496453902
s6,air,52,0.06066176470588235,0.04102162669455477,0.0002155996954163881
s6,alcohol,73,0.05263157894736842,0.04004634740299951,0.0007653061224489796
s6,acetone,73,0.0,0.030362126089256165,0.0
