mode,classifier,sensor,mean_balanced_accuracy,mean_macro_f1,std_balanced_accuracy
leave_collection_date_out,centroid,s1,0.634313725490196,0.5930982960394725,0.13011502648116638
leave_collection_date_out,centroid,s2,0.7728758169934641,0.7517762386274497,0.15800260723329845
leave_collection_date_out,centroid,s3,0.6686274509803922,0.6213487521537057,0.12506080583514778
leave_collection_date_out,centroid,s4,0.6637254901960784,0.6242911964365252,0.17495719987040367
leave_collection_date_out,centroid,s5,0.6238562091503267,0.5771631418690243,0.15380669568289865
leave_collection_date_out,centroid,s6,0.40669934640522876,0.3408738576558646,0.12089341906280203
leave_collection_date_out,gnb,s1,0.70359477124183,0.6817400464459288,0.10465517262006943
leave_collection_date_out,gnb,s2,0.8173202614379085,0.8058376264258618,0.15433402268840996
leave_collection_date_out,gnb,s3,0.642483660130719,0.5988393443501803,0.11463073390734495
leave_collection_date_out,gnb,s4,0.673202614379085,0.6337930235854111,0.1768774434254912
leave_collection_date_out,gnb,s5,0.6826797385620915,0.6454919807860984,0.16433416855373797
leave_collection_date_out,gnb,s6,0.33464052287581697,0.20889229314834853,0.12617548240527293
leave_collection_date_out,lda,s1,0.6836601307189543,0.6452684570331629,0.11447125138165952
leave_collection_date_out,lda,s2,0.659640522875817,0.6370058590646825,0.14081346303727146
leave_collection_date_out,lda,s3,0.6700980392156862,0.643975523387288,0.1364067417731321
leave_collection_date_out,lda,s4,0.6292483660130719,0.605125321301792,0.16018687740741022
leave_collection_date_out,lda,s5,0.692156862745098,0.6449186978598743,0.12227048957798954
leave_collection_date_out,lda,s6,0.40931372549019607,0.33983674277791925,0.1495458053372692
new_bottle_holdout,centroid,s1,0.6,0.5874097007223943,
new_bottle_holdout,centroid,s2,0.7000000000000001,0.6793650793650793,
new_bottle_holdout,centroid,s3,0.6666666666666666,0.637410519763461,
new_bottle_holdout,centroid,s4,0.8333333333333334,0.8245950554134697,
new_bottle_holdout,centroid,s5,0.6,0.6000000000000001,
new_bottle_holdout,centroid,s6,0.35833333333333334,0.3197153723469513,
new_bottle_holdout,gnb,s1,0.6333333333333333,0.6324143692564745,
new_bottle_holdout,gnb,s2,0.7666666666666666,0.7517027863777089,
new_bottle_holdout,gnb,s3,0.7333333333333334,0.7166666666666667,
new_bottle_holdout,gnb,s4,0.8666666666666667,0.861111111111111,
new_bottle_holdout,gnb,s5,0.5666666666666667,0.5566922421142371,
new_bottle_holdout,gnb,s6,0.325,0.196969696969697,
new_bottle_holdout,lda,s1,0.7000000000000001,0.68,
new_bottle_holdout,lda,s2,0.5583333333333333,0.5665445665445664,
new_bottle_holdout,lda,s3,0.7166666666666668,0.7241830065359477,
new_bottle_holdout,lda,s4,0.7416666666666667,0.7533238366571701,
new_bottle_holdout,lda,s5,0.7333333333333333,0.706959706959707,
new_bottle_holdout,lda,s6,0.4166666666666667,0.3819291819291819,
stratified_random_holdout,centroid,s1,0.66,0.6366458248242737,0.04467342300504235
stratified_random_holdout,centroid,s2,0.7963068181818181,0.7911430637766482,0.04583348748541647
stratified_random_holdout,centroid,s3,0.6890719696969697,0.6677551196309003,0.04713185444791096
stratified_random_holdout,centroid,s4,0.7195643939393939,0.704108288794506,0.04783175092489471
stratified_random_holdout,centroid,s5,0.6537878787878788,0.6294953279468133,0.04110813281843357
stratified_random_holdout,centroid,s6,0.39600378787878787,0.3677399718836826,0.05374095779243384
stratified_random_holdout,gnb,s1,0.6907386363636364,0.6784400635209942,0.0425633737519379
stratified_random_holdout,gnb,s2,0.8614583333333334,0.8580649714896326,0.03464687856152692
stratified_random_holdout,gnb,s3,0.6767613636363636,0.659988480198976,0.0532267496718432
stratified_random_holdout,gnb,s4,0.7090719696969697,0.6954735833639403,0.04674500247510714
stratified_random_holdout,gnb,s5,0.6934659090909091,0.6800132218349995,0.03682472720327784
stratified_random_holdout,gnb,s6,0.33804924242424245,0.2491355520643923,0.04005594191376829
stratified_random_holdout,lda,s1,0.7087878787878787,0.6937553071886653,0.04162414002528477
stratified_random_holdout,lda,s2,0.6908333333333334,0.6945022710574142,0.05483948739633511
stratified_random_holdout,lda,s3,0.6855113636363636,0.6857893020627323,0.05086346580548663
stratified_random_holdout,lda,s4,0.6834280303030303,0.6898468472517915,0.07551776351308917
stratified_random_holdout,lda,s5,0.7210416666666666,0.7064211945023358,0.044559580881319096
stratified_random_holdout,lda,s6,0.37803030303030305,0.3606383544269074,0.048465175741824476
