variant,lambda,seed,best_epoch,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task
MLP source only,0.0,3,170,30,30,16,26,185,0.9,0.7692307692307693,0.6756756756756757,0.9166666666666666,0.7999999999999999,0.6839160839160838,0.8885375494071145,0.7602339181286549,0.6577750516822282,0.22432432432432436,0.5217391304347826,closer_to_0.5_is_more_invariant,three_class_with_air
MLP source only,0.0,7,310,30,30,16,26,185,1.0,0.6923076923076923,0.7297297297297297,1.0,0.7111111111111111,0.7342657342657343,1.0,0.6756613756613757,0.7183859845307986,0.2702702702702703,0.6304347826086957,closer_to_0.5_is_more_invariant,three_class_with_air
MLP source only,0.0,11,70,30,30,16,26,185,0.8666666666666667,0.9230769230769231,0.7945945945945946,0.8888888888888888,0.9111111111111111,0.7967365967365967,0.8545548654244306,0.9111111111111111,0.7956208006567719,0.07207207207207211,0.6304347826086957,closer_to_0.5_is_more_invariant,three_class_with_air
MLP source only,0.0,17,820,30,30,16,26,185,1.0,0.6923076923076923,0.6756756756756757,1.0,0.7333333333333333,0.6848484848484849,1.0,0.6696356275303644,0.6302121212121212,0.32432432432432434,0.6956521739130435,closer_to_0.5_is_more_invariant,three_class_with_air
MLP source only,0.0,23,800,30,30,16,26,185,1.0,0.7307692307692307,0.7945945945945946,1.0,0.7444444444444445,0.7967365967365967,1.0,0.7243292053663571,0.7884031572556163,0.20540540540540542,0.5869565217391305,closer_to_0.5_is_more_invariant,three_class_with_air
MLP source + Day1,0.0,3,100,46,30,16,26,185,0.8695652173913043,0.7692307692307693,0.7027027027027027,0.8823529411764706,0.7999999999999999,0.7160839160839161,0.8688172043010752,0.7659958720330238,0.6940985861605075,0.16686251468860158,0.5652173913043478,closer_to_0.5_is_more_invariant,three_class_with_air
MLP source + Day1,0.0,7,150,46,30,16,26,185,0.8913043478260869,0.8076923076923077,0.7783783783783784,0.9019607843137255,0.8333333333333334,0.786013986013986,0.8934766214177978,0.8055555555555555,0.7789958509382969,0.1129259694477085,0.5869565217391305,closer_to_0.5_is_more_invariant,three_class_with_air
MLP source + Day1,0.0,11,90,46,30,16,26,185,0.9130434782608695,0.9230769230769231,0.8054054054054054,0.9215686274509803,0.9333333333333332,0.8125874125874125,0.9100218777638133,0.9172932330827068,0.8058064455864432,0.10763807285546412,0.5434782608695652,closer_to_0.5_is_more_invariant,three_class_with_air
MLP source + Day1,0.0,17,80,46,30,16,26,185,0.8913043478260869,0.7307692307692307,0.7567567567567568,0.9019607843137255,0.7666666666666666,0.7682983682983684,0.8894373377827215,0.7126984126984127,0.7403497203045025,0.13454759106933012,0.6739130434782609,closer_to_0.5_is_more_invariant,three_class_with_air
MLP source + Day1,0.0,23,810,46,30,16,26,185,1.0,0.7307692307692307,0.827027027027027,1.0,0.7666666666666666,0.8331002331002332,1.0,0.7167919799498748,0.8203502415458938,0.17297297297297298,0.6086956521739131,closer_to_0.5_is_more_invariant,three_class_with_air
