variant,lambda,seed,label_usage,best_epoch,class_loss_last,domain_loss_last,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task,framework
PyTorch MLP source only,0.0,3,source labels only,340,0.0001661256974330172,0.0,30,30,16,26,185,1.0,0.9230769230769231,0.7837837837837838,1.0,0.9111111111111111,0.7855477855477856,1.0,0.9204906204906204,0.7837633381111643,0.21621621621621623,0.5652173913043478,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch
PyTorch MLP source only,0.0,7,source labels only,750,6.132004637038335e-05,0.0,30,30,16,26,185,0.9666666666666667,0.9230769230769231,0.7243243243243244,0.9722222222222222,0.9333333333333332,0.7375291375291374,0.9721739130434783,0.9172932330827068,0.7175731371127446,0.2423423423423423,0.34782608695652173,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch
PyTorch MLP source only,0.0,11,source labels only,710,0.00010725094034569338,0.0,30,30,16,26,185,1.0,0.9615384615384616,0.8648648648648649,1.0,0.9666666666666667,0.8671328671328671,1.0,0.9568151147098516,0.8642219934808715,0.1351351351351351,0.41304347826086957,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch
PyTorch MLP source only,0.0,17,source labels only,330,2.5322529836557806e-05,0.0,30,30,16,26,185,1.0,0.9230769230769231,0.8594594594594595,1.0,0.9333333333333332,0.863869463869464,1.0,0.9214489214489214,0.8602452786298153,0.14054054054054055,0.5,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch
PyTorch MLP source only,0.0,23,source labels only,470,1.3745008800469805e-05,0.0,30,30,16,26,185,1.0,0.8846153846153846,0.7513513513513513,1.0,0.9,0.7575757575757577,1.0,0.8852324146441793,0.7516815324406635,0.24864864864864866,0.3695652173913043,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch
PyTorch MLP source + Day1,0.0,3,source labels + Day1 target labels,20,5.9771413361886516e-05,0.0,46,30,16,26,185,0.9347826086956522,0.9615384615384616,0.8324324324324325,0.9411764705882352,0.9666666666666667,0.8372960372960373,0.9367557932263816,0.9568151147098516,0.8333588679076827,0.10235017626321974,0.5869565217391305,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch
PyTorch MLP source + Day1,0.0,7,source labels + Day1 target labels,20,4.6905399358365685e-05,0.0,46,30,16,26,185,0.9130434782608695,0.9615384615384616,0.8,0.9215686274509803,0.9666666666666667,0.8037296037296038,0.9130844645550528,0.9568151147098516,0.8033011332017738,0.11304347826086947,0.391304347826087,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch
PyTorch MLP source + Day1,0.0,11,source labels + Day1 target labels,80,0.0005755599704571068,0.0,46,30,16,26,185,1.0,0.9230769230769231,0.8,1.0,0.9333333333333332,0.8018648018648019,1.0,0.9326599326599326,0.7992257205940175,0.19999999999999996,0.34782608695652173,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch
PyTorch MLP source + Day1,0.0,17,source labels + Day1 target labels,20,0.0026977695524692535,0.0,46,30,16,26,185,0.9347826086956522,0.9615384615384616,0.8486486486486486,0.9411764705882352,0.9666666666666667,0.8536130536130536,0.9307048984468339,0.9568151147098516,0.8488614699141014,0.08613396004700358,0.5434782608695652,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch
PyTorch MLP source + Day1,0.0,23,source labels + Day1 target labels,20,8.091433846857399e-05,0.0,46,30,16,26,185,0.9130434782608695,0.9615384615384616,0.8486486486486486,0.9215686274509803,0.9666666666666667,0.8536130536130536,0.9111952861952862,0.9568151147098516,0.8488703182893621,0.06439482961222087,0.6304347826086957,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch
