experiment,family,method,split,seed,epoch,classification_loss,alignment_loss,centroid_loss,total_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,1,0.9835315346717834,0.6989117860794067,0.0,1.682443380355835,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,10,0.3150363564491272,0.3940449357032776,0.0,0.7090812921524048,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,20,0.1597791761159896,2.4833672046661377,0.0,2.643146276473999,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,30,0.0882134437561035,1.862686038017273,0.0,1.9508994817733765,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,40,0.0556212253868579,1.2457733154296875,0.0,1.3013945817947388,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,50,0.0351533219218254,0.6452857851982117,0.0,0.6804391145706177,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,60,0.0214480031281709,0.5958042144775391,0.0,0.6172522306442261,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,70,0.0146791888400912,0.6926191449165344,0.0,0.7072983384132385,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,80,0.0113689145073294,0.6689976453781128,0.0,0.680366575717926,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,90,0.0087371729314327,0.6276969909667969,0.0,0.6364341378211975,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,100,0.0066444678232073,0.5432416796684265,0.0,0.549886167049408,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,110,0.0058435406535863,0.4949584305286407,0.0,0.5008019804954529,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,120,0.004965525586158,0.4623781144618988,0.0,0.4673436284065246,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,130,0.0044602733105421,0.4637432098388672,0.0,0.4682034850120544,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,140,0.0049772150814533,0.5994654297828674,0.0,0.6044426560401917,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,150,0.0085541484877467,0.8527237176895142,0.0,0.8612778782844543,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,160,0.0046619935892522,0.67666095495224,0.0,0.6813229322433472,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,170,0.0040359916165471,0.8672436475753784,0.0,0.8712796568870544,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,180,0.0033883664291352,0.529888927936554,0.0,0.5332772731781006,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,190,0.003053254680708,0.3871132433414459,0.0,0.3901664912700653,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,200,0.002837615320459,0.3225563764572143,0.0,0.3253940045833587,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,210,0.0026772818528115,0.2898533344268799,0.0,0.2925306260585785,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,220,0.0024308178108185,0.2545280158519745,0.0,0.2569588422775268,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,230,0.0023882333189249,0.2436041980981826,0.0,0.245992437005043,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,0,240,0.0027704981621354,0.3292129039764404,0.0,0.3319833874702453,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,1,1.1244457960128784,0.7498236298561096,0.0,1.8742694854736328,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,10,0.3343406021595001,0.4696356058120727,0.0,0.8039761781692505,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,20,0.1689628362655639,0.472714364528656,0.0,0.64167720079422,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,30,0.0900602787733078,2.2716901302337646,0.0,2.361750364303589,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,40,0.0698664858937263,2.26562762260437,0.0,2.335494041442871,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,50,0.0609578974545002,1.1087746620178225,0.0,1.1697325706481934,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,60,0.0266987513750791,0.9694799184799194,0.0,0.9961786866188048,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,70,0.015554154291749,0.6888765096664429,0.0,0.7044306397438049,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,80,0.0112331006675958,0.6107977628707886,0.0,0.6220308542251587,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,90,0.0086637381464242,0.5490329265594482,0.0,0.5576966404914856,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,100,0.0077672828920185,0.4993990957736969,0.0,0.5071663856506348,,,
