experiment,family,backbone,method,probe,split,seed,latent_dimensions,probe_dimensions,alignment_strength,centroid_strength,best_epoch,lr_C,train_accuracy,train_balanced_accuracy,train_macro_f1,neural_test_accuracy,neural_test_balanced_accuracy,neural_test_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
linear54-dann,noncompressive-54D,linear54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,0,54,54,0.2,0.0,240,1.0,1.0,1.0,1.0,0.926530612244898,0.9267813528724648,0.929349661542076,0.9387755102040816,0.9404799830094508,0.9414282294717076
linear54-dann,noncompressive-54D,linear54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,1,54,54,0.2,0.0,390,1.0,1.0,1.0,1.0,0.8653061224489796,0.8665710948285016,0.8662339127313746,0.926530612244898,0.9274715939258787,0.928853046594982
linear54-dann,noncompressive-54D,linear54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,2,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8775510204081632,0.8802697249654879,0.8769826401898339,0.9224489795918368,0.9229053838802166,0.9248006806104224
linear54-dann,noncompressive-54D,linear54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,3,54,54,0.2,0.0,160,1.0,1.0,1.0,1.0,0.9142857142857144,0.9137729637888924,0.9170002300437082,0.9428571428571428,0.942975469894871,0.9449228065458852
linear54-dann,noncompressive-54D,linear54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,4,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8081632653061225,0.8123075289370288,0.8067247773951686,0.926530612244898,0.9267813528724648,0.9290005993407252
linear54-dann,noncompressive-54D,linear54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,0,54,54,0.2,0.0,240,1.0,1.0,1.0,1.0,0.9177489177489178,0.9175165503667918,0.9202094679514032,0.922077922077922,0.9244945428520308,0.924744294519407
linear54-dann,noncompressive-54D,linear54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,1,54,54,0.2,0.0,390,1.0,1.0,1.0,1.0,0.9177489177489178,0.9160851672928968,0.919541239083224,0.9437229437229436,0.9450706745392736,0.945052549369096
linear54-dann,noncompressive-54D,linear54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,2,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8787878787878788,0.8804795133297549,0.8788564862005431,0.9264069264069263,0.9264626945786366,0.9291446493328293
linear54-dann,noncompressive-54D,linear54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,3,54,54,0.2,0.0,290,1.0,1.0,1.0,1.0,0.8701298701298701,0.8679549114331723,0.8717230082492972,0.9264069264069263,0.927178386115584,0.9279300838057064
linear54-dann,noncompressive-54D,linear54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,4,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8268398268398268,0.829665414206477,0.8272609280118667,0.9307359307359307,0.9305779209160852,0.932841772001238
linear54-dann,noncompressive-54D,linear54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,54,54,0.2,0.0,240,1.0,0.9897959183673468,0.990990990990991,0.9886310688659026,0.9609756097560976,0.960056636112974,0.960556383899105,0.975609756097561,0.97592965198599,0.9760204972311148
linear54-dann,noncompressive-54D,linear54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,54,54,0.2,0.0,80,1.0,0.9897959183673468,0.990990990990991,0.9886310688659026,0.946341463414634,0.9447797898502124,0.9460638948475056,0.9560975609756096,0.9559579700424772,0.9569476335183832
linear54-dann,noncompressive-54D,linear54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,54,54,0.2,0.0,220,1.0,1.0,1.0,1.0,0.951219512195122,0.9500707951412176,0.950756214701535,0.9707317073170731,0.9712348163052388,0.971348528823216
linear54-dann,noncompressive-54D,linear54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,54,54,0.2,0.0,40,1.0,1.0,1.0,1.0,0.9414634146341464,0.9400849541694613,0.9410764394370952,0.9609756097560976,0.9612489753334824,0.9614913134865488
linear54-dann,noncompressive-54D,linear54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,54,54,0.2,0.0,110,1.0,1.0,1.0,1.0,0.946341463414634,0.9447797898502124,0.946149772068534,0.951219512195122,0.9506669647514716,0.9516866094706208
linear54-dann,noncompressive-54D,linear54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,54,54,0.2,0.0,320,1.0,1.0,1.0,1.0,0.9560975609756096,0.955361800432223,0.9559586827496798,0.9609756097560976,0.9606528057232282,0.9615674580611464
linear54-dann,noncompressive-54D,linear54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,54,54,0.2,0.0,40,1.0,0.9897959183673468,0.990990990990991,0.9886310688659026,0.9414634146341464,0.9400849541694613,0.9415250322770672,0.9560975609756096,0.9559579700424772,0.9569476335183832
linear54-dann,noncompressive-54D,linear54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,54,54,0.2,0.0,200,1.0,1.0,1.0,1.0,0.951219512195122,0.9500707951412176,0.950756214701535,0.9707317073170731,0.9712348163052388,0.971348528823216
linear54-dann,noncompressive-54D,linear54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,54,54,0.2,0.0,40,1.0,1.0,1.0,1.0,0.9414634146341464,0.9400849541694613,0.9410764394370952,0.9609756097560976,0.9612489753334824,0.9614913134865488
linear54-dann,noncompressive-54D,linear54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,54,54,0.2,0.0,250,1.0,1.0,1.0,1.0,0.9560975609756096,0.9547656308219687,0.9557952881864696,0.9560975609756096,0.9559579700424772,0.9567365401867506
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,0,54,54,0.2,0.0,270,1.0,1.0,1.0,1.0,0.8612244897959184,0.8626951258362535,0.8640628665259208,0.8734693877551021,0.879154720186896,0.8756711256711256
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,1,54,54,0.2,0.0,380,1.0,1.0,1.0,1.0,0.9306122448979592,0.9292768397578848,0.9310938865937568,0.9428571428571428,0.943665710948285,0.9430929026843616
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,2,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8775510204081632,0.8802697249654879,0.8769826401898339,0.9142857142857144,0.9151534458957205,0.9167481306267764
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,3,54,54,0.2,0.0,130,1.0,1.0,1.0,1.0,0.8734693877551021,0.8750132738664118,0.8765764812128737,0.926530612244898,0.9267813528724648,0.929347052899209
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,4,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8163265306122449,0.820059466921525,0.8153625482473141,0.9306122448979592,0.9306573218647128,0.9328381355325628
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,0,54,54,0.2,0.0,270,1.0,1.0,1.0,1.0,0.8961038961038961,0.8976561102164967,0.8991447641141258,0.9134199134199136,0.9141170155662908,0.9161800918128996
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,1,54,54,0.2,0.0,390,1.0,0.9861111111111112,0.9876543209876544,0.9876500857632934,0.8571428571428571,0.8577563070316693,0.8601587502995954,0.9090909090909092,0.9114331723027376,0.9115243824909156
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,2,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8787878787878788,0.8804795133297549,0.8788564862005431,0.9264069264069263,0.9264626945786366,0.9291446493328293
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,3,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8701298701298701,0.8722490606548577,0.8705491375217598,0.9134199134199136,0.9134013240293434,0.9166869166869166
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,4,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8268398268398268,0.829665414206477,0.8272609280118667,0.9307359307359307,0.9305779209160852,0.932841772001238
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,54,54,0.2,0.0,280,1.0,1.0,1.0,1.0,0.951219512195122,0.9494746255309636,0.9510582157317972,0.9658536585365852,0.9659438110142337,0.966465148378192
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,54,54,0.2,0.0,310,1.0,1.0,1.0,1.0,0.9414634146341464,0.9400849541694613,0.9422350138481872,0.9658536585365852,0.9659438110142337,0.9667982505350532
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,54,54,0.2,0.0,390,1.0,1.0,1.0,1.0,0.9560975609756096,0.9541694612117148,0.9558530471067956,0.975609756097561,0.975333482375736,0.9760915428289364
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,54,54,0.2,0.0,90,1.0,1.0,1.0,1.0,0.9414634146341464,0.9400849541694613,0.9415344062079876,0.951219512195122,0.9512631343617258,0.9523192072527934
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,54,54,0.2,0.0,110,1.0,0.9897959183673468,0.990990990990991,0.9886310688659026,0.9414634146341464,0.9400849541694613,0.9415344062079876,0.9707317073170731,0.9706386466949848,0.9711071252586972
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,54,54,0.2,0.0,150,1.0,1.0,1.0,1.0,0.9414634146341464,0.9400849541694613,0.941940939113936,0.9560975609756096,0.9565541396527312,0.9571598894591394
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,54,54,0.2,0.0,40,1.0,1.0,1.0,1.0,0.926829268292683,0.9254042775169536,0.9260696694558184,0.9609756097560976,0.9612489753334824,0.9618165318603276
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,54,54,0.2,0.0,280,1.0,1.0,1.0,1.0,0.9365853658536586,0.93539011848871,0.9376879310034392,0.9560975609756096,0.9559579700424772,0.9569476335183832
