experiment,family,backbone,method,probe,split,latent_dimensions,probe_dimensions,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,neural_test_balanced_accuracy,neural_test_balanced_accuracy_std,neural_test_balanced_accuracy_min,neural_test_balanced_accuracy_max,neural_test_macro_f1,neural_test_macro_f1_std,neural_test_macro_f1_min,neural_test_macro_f1_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,best_epoch,best_epoch_std,best_epoch_min,best_epoch_max
linear54-dann,noncompressive-54D,linear54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8783673469387756,0.04666289824335609,0.8081632653061225,0.926530612244898,0.8799405330784751,0.04497713102890017,0.8123075289370288,0.9267813528724648,0.8792582443804322,0.04839814814976911,0.8067247773951686,0.929349661542076,0.9314285714285715,0.00884876873007294,0.9224489795918368,0.9428571428571428,0.9321227567165764,0.008982601056717445,0.9229053838802166,0.942975469894871,0.9338010725127445,0.008809101099631143,0.9248006806104224,0.9449228065458852,162.0,161.46206984923734,10.0,390.0
linear54-dann,noncompressive-54D,linear54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8822510822510822,0.03791278622651312,0.8268398268398268,0.9177489177489178,0.8823403113258186,0.03660986951319708,0.829665414206477,0.9175165503667918,0.8835182258992669,0.03863174622056486,0.8272609280118667,0.9202094679514032,0.9298701298701297,0.008327006087303593,0.922077922077922,0.9437229437229436,0.930756843800322,0.008297277474093392,0.9244945428520308,0.9450706745392736,0.9319426698056553,0.007880731226558734,0.924744294519407,0.945052549369096,188.0,171.23083834403195,10.0,390.0
linear54-dann,noncompressive-54D,linear54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,54,54,"0,1,2,3,4",0.9959183673469386,0.005589005688828293,0.9897959183673468,1.0,0.9963963963963964,0.004934437455001507,0.990990990990991,1.0,0.995452427546361,0.006227020036867951,0.9886310688659026,1.0,0.9492682926829268,0.007397927262489368,0.9414634146341464,0.9609756097560976,0.9479543930248155,0.007632622816138478,0.9400849541694613,0.960056636112974,0.948920540990755,0.007350681175109965,0.9410764394370952,0.960556383899105,0.9629268292682926,0.010115337245525708,0.951219512195122,0.975609756097561,0.9630076756837319,0.010485082703847452,0.9506669647514716,0.97592965198599,0.9634989165059767,0.01006089923356472,0.9516866094706208,0.9760204972311148,138.0,87.86353054595519,40.0,240.0
linear54-dann,noncompressive-54D,linear54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,54,54,"0,1,2,3,4",0.9979591836734694,0.004563404035713911,0.9897959183673468,1.0,0.9981981981981981,0.00402895131081044,0.990990990990991,1.0,0.9977262137731806,0.0050843405694711245,0.9886310688659026,1.0,0.9492682926829268,0.007397927262489222,0.9414634146341464,0.9560975609756096,0.9480736269468665,0.00757507186273628,0.9400849541694613,0.955361800432223,0.9490223314703693,0.0073542327642966265,0.9410764394370952,0.9559586827496798,0.9609756097560975,0.005974365226300485,0.9560975609756096,0.9707317073170731,0.9610105074893808,0.006240544397985986,0.9559579700424772,0.9712348163052388,0.9616182948152089,0.005923317644827714,0.9567365401867506,0.971348528823216,170.0,126.09520212918491,40.0,320.0
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8718367346938776,0.04087750517078951,0.8163265306122449,0.9306122448979592,0.8734628862695125,0.03915291822310598,0.820059466921525,0.9292768397578848,0.8728156845539399,0.04124721396250421,0.8153625482473141,0.9310938865937568,0.9175510204081633,0.02667152531053801,0.8734693877551021,0.9428571428571428,0.9190825103536158,0.024531857676484206,0.879154720186896,0.943665710948285,0.9195394694828071,0.02626799663155615,0.8756711256711256,0.9430929026843616,160.0,163.0950643030009,10.0,380.0
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,54,54,"0,1,2,3,4",0.9972222222222221,0.006211299937499394,0.9861111111111112,1.0,0.9975308641975309,0.005521155499999457,0.9876543209876544,1.0,0.9975300171526588,0.005523049549913684,0.9876500857632934,1.0,0.8658008658008658,0.025974025974025972,0.8268398268398268,0.8961038961038961,0.8675612810878512,0.025626104779795402,0.829665414206477,0.8976561102164967,0.8671940132295781,0.026515405127962376,0.8272609280118667,0.8991447641141258,0.9186147186147187,0.009385057744016725,0.9090909090909092,0.9307359307359307,0.9191984254786186,0.008688912342241426,0.9114331723027376,0.9305779209160852,0.9212755624649598,0.00918973249474282,0.9115243824909156,0.932841772001238,138.0,180.3330252615976,10.0,390.0
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,54,54,"0,1,2,3,4",0.9979591836734694,0.004563404035713911,0.9897959183673468,1.0,0.9981981981981981,0.00402895131081044,0.990990990990991,1.0,0.9977262137731806,0.0050843405694711245,0.9886310688659026,1.0,0.9463414634146341,0.006898602743283318,0.9414634146341464,0.9560975609756096,0.9447797898502124,0.00663950029283143,0.9400849541694613,0.9541694612117148,0.9464430178205511,0.006628441300286356,0.9415344062079876,0.9558530471067956,0.9658536585365853,0.009125993626277869,0.951219512195122,0.975609756097561,0.9658245770921827,0.009023006617543317,0.9512631343617258,0.975333482375736,0.9665562548507344,0.00886555870918355,0.9523192072527934,0.9760915428289364,236.0,130.69047402163633,90.0,390.0
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9278048780487804,0.023495794300082504,0.8878048780487805,0.946341463414634,0.9267009464192564,0.02287410034452854,0.8878455920709442,0.9447797898502124,0.9279398831146466,0.023719142958973257,0.8877045650301465,0.9462963109698924,0.9551219512195122,0.008015452061051205,0.9414634146341464,0.9609756097560976,0.9548997689842761,0.008971900791743405,0.9394887845592071,0.9612489753334824,0.9559986534930485,0.008045126096492125,0.9422526807670644,0.9618165318603276,154.0,130.49904214207857,10.0,290.0
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI1_train_I_D1_val_D2_test_D3plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8522448979591836,0.022243961785206056,0.8244897959183674,0.8816326530612245,0.8537538494212594,0.02270561024101905,0.8278114049060211,0.883455452904322,0.8522074398284767,0.021388830523383875,0.8234062925551676,0.8810881453286518,0.9004081632653061,0.026388946735093243,0.8653061224489796,0.926530612244898,0.9003185727938835,0.02739910208965081,0.8631198895614314,0.9267813528724648,0.9030443095389401,0.025940201854594995,0.86927555584272,0.9290005993407252,30.0,44.721359549995796,10.0,110.0
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8943722943722943,0.017743637689973363,0.8787878787878788,0.9177489177489178,0.893433530148506,0.015390280466865965,0.8790481302558598,0.913938092682054,0.8943581080648993,0.017582763215961156,0.8793884326019565,0.9175595646952726,0.9142857142857143,0.02194595992318024,0.8831168831168831,0.9393939393939394,0.9129361245303274,0.022562239552537226,0.8810162819824655,0.9388083735909823,0.9158891264391498,0.02268310841064532,0.883144266646633,0.941293909597873,110.0,139.82131454109563,10.0,300.0
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9278048780487806,0.009997025137521568,0.9121951219512195,0.9365853658536586,0.9257470750428498,0.010135376517330923,0.9101274312541916,0.934793948878456,0.9275892978856362,0.009826077698755434,0.9125481934915106,0.9365495372297202,0.9365853658536587,0.0034493013716416984,0.9317073170731708,0.9414634146341464,0.934793948878456,0.00354935336585733,0.9300991131977048,0.9400849541694613,0.9365157273940004,0.003419565995613247,0.9319046487685118,0.9415431677103032,142.0,114.3241006962224,40.0,320.0
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9365853658536585,0.0077128723418740325,0.926829268292683,0.946341463414634,0.934793948878456,0.008365813915789274,0.9242119382964454,0.9453759594604664,0.9360756797089144,0.007945424024695091,0.926495513010202,0.9462252215366797,0.9473170731707319,0.008015452061051158,0.9365853658536586,0.9560975609756096,0.9460764587525151,0.008572303059226634,0.934793948878456,0.955361800432223,0.9474131112502583,0.00843266357780985,0.9365495372297202,0.956767305947634,56.0,20.73644135332772,30.0,80.0
residual54-dann,noncompressive-54D,residual54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8881632653061224,0.00939662402711944,0.8734693877551021,0.8979591836734694,0.8899330997132845,0.009711028580486713,0.8743230328129977,0.9003398109801424,0.8879279609634315,0.00987806975279581,0.8725639387878478,0.897387880533948,0.8620408163265306,0.03308389245577054,0.8122448979591836,0.8979591836734694,0.8642986088988,0.03339612778313072,0.8141127747690348,0.9003398109801424,0.8614066251801134,0.035291703955521454,0.8075700752880324,0.8992647564076135,16.0,8.94427190999916,10.0,30.0
residual54-dann,noncompressive-54D,residual54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8857142857142858,0.03879232349302137,0.8181818181818182,0.9177489177489178,0.8867775988548935,0.03807346968197376,0.8207192699946323,0.918947933440687,0.8865011983212183,0.039176546453062906,0.8183059279505981,0.9189953008691312,0.89004329004329,0.02516786468181581,0.8528138528138528,0.922077922077922,0.8910359634997317,0.025486935261767776,0.8529253891572731,0.9230631597781356,0.8918558668191654,0.026692654210392956,0.8511841514358102,0.9252307749641306,24.0,16.73320053068151,10.0,50.0
residual54-dann,noncompressive-54D,residual54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,54,54,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9268292682926831,0.015425744683748206,0.9121951219512195,0.951219512195122,0.9260004471272077,0.016206262557355196,0.910127431254192,0.9518593039719802,0.9264385998079646,0.016005844780418808,0.9109192598709128,0.9514042774644104,0.9268292682926831,0.01857505635576559,0.9073170731707316,0.9560975609756096,0.9250465757508011,0.019133483506991372,0.9054325955734406,0.955361800432223,0.9267015451260997,0.018962634360352063,0.9063795923077228,0.9565066365992128,90.0,78.74007874011811,10.0,190.0
residual54-dann,noncompressive-54D,residual54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,54,54,"0,1,2,3,4",0.9979591836734694,0.004563404035713911,0.9897959183673468,1.0,0.9972222222222221,0.006211299937499394,0.9861111111111112,1.0,0.9976926713947991,0.0051593436076591065,0.9884633569739952,1.0,0.9336585365853658,0.015655421010615834,0.9073170731707316,0.946341463414634,0.9330501527684627,0.015466390149674589,0.907221104404203,0.9459721290707206,0.9336855300684691,0.015772381570229515,0.907187688822947,0.9464932227924728,0.9336585365853658,0.02170594679149947,0.9073170731707316,0.9658536585365852,0.9324539831582086,0.022646084525306105,0.9048364259631866,0.9659438110142337,0.9338613081419653,0.021988738363705938,0.907022579410639,0.966465148378192,216.0,115.88787684654508,60.0,380.0
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI1_train_I_D1_val_D2_test_D3plus,16,70,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8448979591836736,0.037185443180180834,0.7836734693877551,0.8816326530612245,0.8492619730275035,0.03343882705268983,0.7945736434108527,0.883455452904322,0.8432392587754117,0.037685448846623115,0.782007757560744,0.8812941424396533,0.9183673469387756,0.0064536278778946415,0.9102040816326531,0.926530612244898,0.9190294148879687,0.006380409446438289,0.9112774769034724,0.9274715939258787,0.9210061608276888,0.006096865829987222,0.9131728600390373,0.9285544120449781,28.0,14.832396974191326,10.0,50.0
