architecture,split,variant,method,mode,seed,selected_C,selection_status,best_epoch,final_training,label_usage,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S1_train_I_test_all,MLP Source-only,source-only,uda,0,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7875457875457875,1.0,0.8021978021978022,0.8028549382716049,0.8054872585889955,0.014652014652014711
one-layer,S1_train_I_test_all,MLP Source-only,source-only,uda,1,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7985347985347986,1.0,0.8131868131868132,0.8132716049382717,0.8146044143608774,0.0146520146520146
one-layer,S1_train_I_test_all,MLP Source-only,source-only,uda,2,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8095238095238095,1.0,0.8315018315018315,0.831275720164609,0.833634665396452,0.02197802197802201
one-layer,S1_train_I_test_all,MLP Source-only,source-only,uda,3,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8058608058608059,1.0,0.8205128205128205,0.8195730452674898,0.8255659020364904,0.0146520146520146
one-layer,S1_train_I_test_all,MLP Source-only,source-only,uda,4,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7985347985347986,1.0,0.8205128205128205,0.820216049382716,0.8241828119429099,0.0219780219780219
one-layer,S1_train_I_test_all,DANN-UDA,dann,uda,0,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8131868131868132,1.0,0.8278388278388278,0.8265174897119342,0.8319398301956441,0.0146520146520146
one-layer,S1_train_I_test_all,DANN-UDA,dann,uda,1,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7692307692307693,1.0,0.7985347985347986,0.7987397119341564,0.8051360716031374,0.02930402930402931
one-layer,S1_train_I_test_all,DANN-UDA,dann,uda,2,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7985347985347986,1.0,0.8644688644688645,0.8612397119341564,0.8649459344775616,0.06593406593406592
one-layer,S1_train_I_test_all,DANN-UDA,dann,uda,3,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8461538461538461,1.0,0.8424908424908425,0.840406378600823,0.8467812336926267,-0.00366300366300365
one-layer,S1_train_I_test_all,DANN-UDA,dann,uda,4,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8241758241758241,1.0,0.8241758241758241,0.8224022633744856,0.8261658231058476,0.0
one-layer,S1_train_I_test_all,DEEP-CORAL-UDA,deep-coral,uda,0,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8278388278388278,1.0,0.8608058608058609,0.8584104938271605,0.8624796054923096,0.03296703296703307
one-layer,S1_train_I_test_all,DEEP-CORAL-UDA,deep-coral,uda,1,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8131868131868132,1.0,0.8241758241758241,0.8230452674897121,0.8231554522823928,0.01098901098901095
one-layer,S1_train_I_test_all,DEEP-CORAL-UDA,deep-coral,uda,2,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8681318681318682,1.0,0.8791208791208791,0.8757716049382717,0.8801707695970893,0.01098901098901095
one-layer,S1_train_I_test_all,DEEP-CORAL-UDA,deep-coral,uda,3,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8095238095238095,1.0,0.8424908424908425,0.840406378600823,0.8449966994858635,0.03296703296703296
one-layer,S1_train_I_test_all,DEEP-CORAL-UDA,deep-coral,uda,4,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8571428571428571,1.0,0.8754578754578755,0.871656378600823,0.8763563191703428,0.01831501831501836
one-layer,S1_train_I_test_all,MK-MMD-UDA,mk-mmd,uda,0,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8754578754578755,1.0,0.8901098901098901,0.8861882716049383,0.8918909726287089,0.0146520146520146
one-layer,S1_train_I_test_all,MK-MMD-UDA,mk-mmd,uda,1,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8681318681318682,1.0,0.8901098901098901,0.8861882716049383,0.8912222635381384,0.0219780219780219
one-layer,S1_train_I_test_all,MK-MMD-UDA,mk-mmd,uda,2,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8681318681318682,1.0,0.9047619047619048,0.9000771604938271,0.9050205134712176,0.03663003663003661
one-layer,S1_train_I_test_all,MK-MMD-UDA,mk-mmd,uda,3,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8498168498168498,1.0,0.8937728937728938,0.8896604938271605,0.8945680997856793,0.04395604395604402
one-layer,S1_train_I_test_all,MK-MMD-UDA,mk-mmd,uda,4,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8681318681318682,1.0,0.8864468864468864,0.8820730452674898,0.8872882990687304,0.01831501831501825
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,0,0.1,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6556776556776557,0.9,0.7216117216117216,0.7309670781893004,0.7328160610570039,0.06593406593406592
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,1,0.1,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.7032967032967034,0.9,0.7106227106227107,0.7186213991769548,0.7251317523056654,0.0073260073260073
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,2,0.1,validation-selected C,20,source train+source validation refit,source train + source validation labels,0.717948717948718,0.9666666666666667,0.7728937728937729,0.7757201646090536,0.779131803868646,0.05494505494505497
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,3,0.1,validation-selected C,20,source train+source validation refit,source train + source validation labels,0.6593406593406593,0.9333333333333333,0.7472527472527473,0.751414609053498,0.7538010091494091,0.08791208791208793
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,4,0.1,validation-selected C,80,source train+source validation refit,source train + source validation labels,0.7985347985347986,1.0,0.8131868131868132,0.8132716049382717,0.8170997346306943,0.0146520146520146
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,0,0.1,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6703296703296703,0.9,0.7289377289377289,0.7379115226337448,0.7409117892885192,0.05860805860805862
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,1,0.1,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6886446886446886,0.8666666666666667,0.7106227106227107,0.7186213991769547,0.7247924572479348,0.02197802197802201
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,2,0.1,validation-selected C,20,source train+source validation refit,source train + source validation labels,0.7289377289377289,0.9666666666666667,0.7875457875457875,0.7908950617283951,0.7954904965214243,0.05860805860805862
