architecture,split,variant,method,mode,seed,C,validation_kind,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,0,0.1,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,0,1.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,0,10.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,1,0.1,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,1,1.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,1,10.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,2,0.1,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,2,1.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,2,10.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,3,0.1,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,3,1.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,3,10.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,4,0.1,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,4,1.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,source-only,uda,4,10.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,0,0.1,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,0,1.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,0,10.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,1,0.1,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,1,1.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,1,10.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,2,0.1,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,2,1.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,2,10.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,3,0.1,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,3,1.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,3,10.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,4,0.1,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,4,1.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,4,10.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,0,0.1,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,0,1.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,0,10.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,1,0.1,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,1,1.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,1,10.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,2,0.1,source_val,1.0,1.0,1.0
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,2,1.0,source_val,1.0,1.0,1.0
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,2,10.0,source_val,1.0,1.0,1.0
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,3,0.1,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,3,1.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,3,10.0,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,4,0.1,source_val,0.6,0.6666666666666666,0.611111111111111
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,4,1.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,4,10.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,0,0.1,source_val,1.0,1.0,1.0
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,0,1.0,source_val,1.0,1.0,1.0
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,0,10.0,source_val,1.0,1.0,1.0
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,1,0.1,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,1,1.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,1,10.0,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,2,0.1,source_val,0.8,0.8333333333333334,0.7777777777777777
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,2,1.0,source_val,1.0,1.0,1.0
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,2,10.0,source_val,1.0,1.0,1.0
