feature_space,pc,feature,loading,abs_loading
s1_s2_s3,PC1,deltaR_s1,0.23949834202882328,0.23949834202882328
s1_s2_s3,PC1,normDeltaR_s1,0.24806891422885805,0.24806891422885805
s1_s2_s3,PC1,riseEMA_a0.1_s1,0.2307869784279249,0.2307869784279249
s1_s2_s3,PC1,riseEMA_a0.01_s1,0.2399994972697239,0.2399994972697239
s1_s2_s3,PC1,riseEMA_a0.001_s1,0.24036107037908816,0.24036107037908816
s1_s2_s3,PC1,recEMA_a0.1_s1,-0.17796161078935105,0.17796161078935105
s1_s2_s3,PC1,recEMA_a0.01_s1,-0.18413481195093745,0.18413481195093745
s1_s2_s3,PC1,recEMA_a0.001_s1,-0.18668405962959933,0.18668405962959933
s1_s2_s3,PC1,deltaR_s2,0.23003298902132763,0.23003298902132763
s1_s2_s3,PC1,normDeltaR_s2,0.2295889901014381,0.2295889901014381
s1_s2_s3,PC1,riseEMA_a0.1_s2,0.22741048014794785,0.22741048014794785
s1_s2_s3,PC1,riseEMA_a0.01_s2,0.2315537922787675,0.2315537922787675
s1_s2_s3,PC1,riseEMA_a0.001_s2,0.23137875790929638,0.23137875790929638
s1_s2_s3,PC1,recEMA_a0.1_s2,-0.19882870141220393,0.19882870141220393
s1_s2_s3,PC1,recEMA_a0.01_s2,-0.20200084799609247,0.20200084799609247
s1_s2_s3,PC1,recEMA_a0.001_s2,-0.2008175196505025,0.2008175196505025
s1_s2_s3,PC1,deltaR_s3,0.19505253002066614,0.19505253002066614
s1_s2_s3,PC1,normDeltaR_s3,0.18580918215614703,0.18580918215614703
s1_s2_s3,PC1,riseEMA_a0.1_s3,0.20460221293090303,0.20460221293090303
s1_s2_s3,PC1,riseEMA_a0.01_s3,0.21339045058503164,0.21339045058503164
s1_s2_s3,PC1,riseEMA_a0.001_s3,0.2088005936318988,0.2088005936318988
s1_s2_s3,PC1,recEMA_a0.1_s3,-0.059361203006248794,0.059361203006248794
s1_s2_s3,PC1,recEMA_a0.01_s3,-0.09752438902037493,0.09752438902037493
s1_s2_s3,PC1,recEMA_a0.001_s3,-0.10138598927382811,0.10138598927382811
s1_s2_s3,PC2,deltaR_s1,0.016679868016516126,0.016679868016516126
