architecture,split,description,variant,method,mode,seed,alignment_strength,centroid_strength,best_epoch,label_usage,selection_usage,final_training,algorithm_provenance,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,domain_accuracy,domain_balanced_accuracy,domain_source_recall,domain_target_recall
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MLP Source-only,source-only,uda,0,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7875457875457875,0.7889660493827161,0.7899568348301451,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MLP Source-only,source-only,uda,1,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7985347985347986,0.800025720164609,0.7984843922513299,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MLP Source-only,source-only,uda,2,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8095238095238095,0.809156378600823,0.8105542019569169,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MLP Source-only,source-only,uda,3,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8058608058608059,0.8056841563786007,0.8087759987332458,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MLP Source-only,source-only,uda,4,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7985347985347986,0.7980967078189302,0.8006307512951297,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DANN-UDA,dann,uda,0,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8131868131868132,0.8132716049382717,0.8152283417992909,0.8943894389438944,0.5408424908424908,0.1,0.9816849816849816
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DANN-UDA,dann,uda,1,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.7692307692307693,0.7716049382716049,0.7765921420872296,0.9075907590759076,0.5481684981684982,0.1,0.9963369963369964
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DANN-UDA,dann,uda,2,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.7985347985347986,0.7980967078189302,0.796459024660002,0.900990099009901,0.5148351648351649,0.03333333333333333,0.9963369963369964
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DANN-UDA,dann,uda,3,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8461538461538461,0.8438786008230452,0.849226799690376,0.9075907590759076,0.563003663003663,0.13333333333333333,0.9926739926739927
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DANN-UDA,dann,uda,4,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8241758241758241,0.8224022633744856,0.8268993967850812,0.9108910891089109,0.5648351648351648,0.13333333333333333,0.9963369963369964
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,0,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8278388278388278,0.8265174897119342,0.8277338706416857,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,1,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8131868131868132,0.8113425925925926,0.8117908570594681,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,2,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8681318681318682,0.8640689300411522,0.8691554694811702,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,3,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8095238095238095,0.807227366255144,0.8129958355492763,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,4,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8571428571428571,0.8536522633744855,0.857713894271717,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,0,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8754578754578755,0.871656378600823,0.8773205023205023,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,1,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8681318681318682,0.8659979423868314,0.8696760008794547,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,2,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8681318681318682,0.8653549382716049,0.8702026105089721,,,,
